:	dvije tačke
‘	apostrof, lijevi apostrof, navodnik, polunavodnik, tipografski navodnik
“	dvostruki navodnici, lijevi navodnik, navodnici, navodnik, tipografski navodnik
«	lijevi francuski navodnik
[	lijeva uglasta zagrada
{	lijeva vitičasta zagrada
〈	dijamantske zagrade, lijeva tupougla zagrada, n-torka, zagrada, šiljasta zagrada
《	lijeva dvostruka tupougla zagrada
「	lijeva jednouglasta zagrada
『	lijeva šuplja jednouglasta zagrada
【	crna lijeva konkavna zagrada
〔	lijeva saćasta zagrada
〖	lijeva konkavna šuplja zagrada
§	dio, odjeljak, paragraf, znak za odjeljak
*️	zvjezdica
⁂	asterizam, zvjezdice
°	stepen, udio, čas
←	lijevo, strelica, strelica koja pokazuje nalijevo
↚	kosa crta sa strelicom nalijevo
↓	dolje, strelica, strelica koja pokazuje nadolje
↜	talasasta strelica nalijevo
↞	strelica nalijevo sa dva vrha
↡	strelica nadolje sa dva vrha
↢	strelica sa repom nalijevo
↤	strelica sa crtom nalijevo
↧	strelica sa crtom nadolje
↨	strelica nagore i nadolje sa bazom
↫	strelica nalijevo sa petljom
↬	strelica nadesno sa petljom
↭	talasasta strelica sa vrhom nalijevo i nadesno
↯	cik-cak strelica nadolje
↰	strelica nagore sa vrhom nalijevo
↲	strelica nadolje sa vrhom nalijevo
↳	strelica nadolje sa vrhom nadesno
↴	strelica nadesno sa uglom nadolje
↵	strelica nadolje sa uglom nalijevo
↶	polukružna strelica u smjeru suprotnom od kazaljke na satu
↷	polukružna strelica u smjeru kazaljke na satu
↸	strelica sa dugom crtom u smjeru sjeverozapada
↹	strelica sa crtom nalijevo iznad strelice sa crtom nadesno
↺	otvorena kružna strelica u smjeru suprotnom od kazaljke na satu
↻	otvorena kružna strelica u smjeru kazaljke na satu
↼	harpun nalijevo sa kukicom nagore
↽	harpun nalijevo sa kukicom nadolje
↿	harpun nagore sa kukicom nalijevo
⇁	harpun nadesno sa kukicom nadolje, kukica
⇂	harpun nadolje sa kukicom nadesno, kukica
⇃	harpun nadolje sa kukicom nalijevo, kukica
⇄	strelica udesno iznad strelice nalijevo
⇅	dolje, gore, strelica, strelica nagore i strelica nadolje
⇆	desno, lijevo, strelica, strelica nalijevo iznad strelice nadesno
⇇	uparene strelice nalijevo
⇊	uparene strelice nadolje
⇋	harpun nalijevo iznad harpuna nadesno
⇌	harpun nadesno iznad harpuna nalijevo
⇐	dvostruka strelica nalijevo
⇍	precrtana dvostruka strelica nalijevo
⇓	dvostruka strelica nadolje
⇔	dvostruka strelica nalijevo i nadesno
⇎	precrtana dvostruka strelica nalijevo i nadesno
⇖	dvostruka strelica nagore i nalijevo
⇘	dvostruka strelica nadolje i nadesno
⇙	dvostruka strelica nadolje i nalijevo
⇚	trostruka strelica nalijevo
⇜	krivudava strelica nalijevo
⇟	dvostruko precrtana strelica nadolje
⇠	isprekidana crtica nalijevo
⇣	isprekidana crtica nadolje
⇤	strelica nalijevo sa crtom
⇦	prazna strelica nalijevo
⇩	prazna strelica nadolje
⇵	strelica nadolje i strelica nagore
∀	bilo koje, sve, univerzalno, za sve
∅	matematika, operator skupa, prazan skup
∉	element, nije element
∋	element, sadrži kao član
∏	N-ti proizvod, logički, proizvod
÷	dijeljenje, podijeliti, znak dijeljenja
∓	minus ili plus, plus-minus
∕	crta, kosa crta, kosa crta za dijeljenje, zapeta
⁄	kosa crta za dijeljenje, razlomačka kosa crta, zapeta
∗	operator u obliku zvjezdice, zvjezdica
√	korijen, kvadratni, kvadratni korijen, radikal
∟	matematika, prav ugao, pravi ugao
∣	dijeljenje, djelilac
∧	logička konjunkcija, logičko „i“
∩	presjek
∾	obrnuti lijeni s
≦	manje od iznad jednako, matematika, nejednakost
≪	matematika, mnogo manje od, nejednakost
≻	matematika, operator skupa, slijedi
⊁	matematika, ne slijedi, operator skupa
⊕	plus, plus u krugu
⊘	matematika, nalik dijeljenju, znak dijeljenja u krugu
⊛	operator, operator u obliku zaokružene zvjezdice, zvjezdica
⊱	matematika, operator skupa, slijedi ispod relacije
⋆	operator, operator u obliku zvijezde
⋒	dvostruki presjek, matematika, operator skupa, presjek
⋱	dijagonalna trotačka nadolje desno, matematika, trotačka
▧	kvadrat sa popunom od gore lijevo prema dolje desno
▨	kvadrat sa popunom od gore desno prema dolje lijevo
▼	dolje, ispunjen trougao okrenut nadolje, ispunjeno, strelica, trougao
▽	prazan trougao okrenut nadolje
▾	popunjeni mali trougao okrenut nadolje
▿	prazan mali trougao okrenut nadolje
◁	prazan trougao okrenut nalijevo
◂	popunjeni mali trougao okrenut nalijevo
◃	prazan mali trougao okrenut nalijevo
◄	popunjeni pokazivač okrenut nalijevo
◅	prazan pokazivač okrenut nalijevo
◐	krug sa popunjenom levom polovinom, krug sa popunjenom lijevom polovinom
◕	krug sa praznim gornjim lijevim kvadrantom
◖	lijeva popunjena polovina kruga
◜	kružni luk gornjeg lijevog kvadranta
◟	kružni luk donjeg lijevog kvadranta
◢	popunjeni trougao dolje desno
◣	popunjeni trougao dolje lijevo
◤	popunjeni trougao gore lijevo
⪺	slijedi iznad nije skoro jednako
😀	lice sa širokim osmijehom
😃	lice sa oduševljenim osmijehom
😄	lice koje se slatko smije
😁	lice sa kezom
😆	lice sa zločestim osmijehom
😅	lice sa nervoznim osmijehom
🤣	valjanje od smijeha
😂	lice sa suzama radosnicama
🙂	blago nasmijano lice
🫠	lice se topi, nestajanje, rastapanje, tečno, topljenje
😊	nasmijano lice sa nasmijanim očima
😇	nasmijano lice sa oreolom
😍	nasmijano lice sa očima u obliku srca
🤩	pod srećnom zvijezdom
😘	lice koje šalje poljubac
☺️	nasmijano lice
😙	lice koje ljubi sa nasmijanim očima
🥲	nasmijano lice sa suzom
😋	lice koje uživa u ukusnoj hrani
🤪	ludačko lice
🤑	pohlepno lice
😏	lice koje se zlobno smješka
🤥	laž, lažljivac, lice, pinokio
😷	lice sa medicinskom maskom
🤒	bolest, lice, lice sa toplomjerom, prehlada, toplomjer
😎	kul, lice, naočare za sunce, nasmijano lice sa naočarima za sunce, sunce
🧐	lice sa monoklom, uštogljen
😕	lice, meh, zbunjeno lice, zbunjenost
🫤	lice sa dijagonalnim ustima, meh, neubjedljivo, razočarano, skeptično
😲	lice, totalno, zapanjeno, šokirano
😱	krik, lice, lice koje vrišti od straha, munk, strah, uplašen
😓	lice obliveno hladnim znojem
🥱	dosadno, lice zijeva, umoran, zijev
😤	lice, lice kome iz nosa izlazi para, pobjeda, trijumf
😡	bijes, crvenilo, durenje, gnjev, lice, ljutnja, nadureno lice
😠	bijes, gnjev, lice, ljutito lice, ljutnja
😈	bajka, fantazija, lice, nasmijano lice sa rogovima, osmijeh, rogovi
☠️	lice, lobanja, lobanja sa ukrštenim kostima, smrt, ukrštene kosti, čudovište
👻	bajka, duh, fantazija, lice, stvorenje, čudovište
🤖	robotsko lice
😺	nasmijana mačka sa otvorenim ustima
😸	mačka sa širokim osmijehom i nasmijanim očima
😻	nasmijana mačka sa očima u obliku srca
😼	mačka sa kiselim osmijehom
😽	mačka koja ljubi sa zatvorenim očima
😿	uplakana mačka
😾	nadurena mačka
🙈	lice, majmun, majmun ne vidi zlo, ne vidi zlo, vidjeti, zabranjeno, zlo
🙊	govoriti, lice, majmun, majmun ne govori zlo, ne govori zlo, zabranjeno, zlo
💘	kupidon, srce probodeno strijelom, strelica
❣️	interpunkcija, ukrasni uzvičnik u obliku velikog srca, uzvičnik, uzvičnik u obliku srca
❤‍🩹	dobro, liječenje, liječenje srca, oporavak, oporavljanje, poboljšanje, srce koje zacjeljuje, zdravije
🩵	plava, srce, svijetloplavo, svijetloplavo srce, tirkiz
🤍	bijelo srce
💢	simbol ljutnje
💥	sudar
💫	vrtoglavica
💦	kapljice znoja
💨	bježanje
💬	oblačić za govor
👁‍🗨	dijalog, oblačić, oko, oko u oblačiću dijaloga, svjedok
🗨️	oblačić za govor usmjeren nalijevo
🗯️	oblačić za ljutiti govor usmjeren desno
💭	oblačić za misli
💤	spavanje
👋	ruka koja maše
👋🏻	ruka koja maše, ruka koja maše: svijetla koža, svijetla koža
👋🏼	ruka koja maše, ruka koja maše: srednje svijetla koža, srednje svijetla koža
👋🏽	ni svijetla ni tamna koža, ruka koja maše, ruka koja maše: ni svijetla ni tamna koža
👋🏾	ruka koja maše, srednje tamna koža
👋🏿	ruka koja maše, tamna koža
🤚🏻	dlan, podignut dlan, podignut dlan: svijetla koža, podignuto, svijetla koža
🤚🏼	dlan, podignut dlan, podignut dlan: srednje svijetla koža, podignuto, srednje svijetla koža
🤚🏽	dlan, ni svijetla ni tamna koža, podignut dlan, podignut dlan: ni svijetla ni tamna koža, podignuto
🖐🏻	prst, rašireno, ruka, stani, svijetla koža, šaka, šaka sa raširenim prstima, šaka sa raširenim prstima: svijetla koža
