‾	pruh
_	dlouhá čára, podtrhávací čára, podtržení, podtržítko
-	minus, pomlčka, spojovník, spojovník-minus
‐	pomlčka, spojovník
–	en-pomlčka, krátká, krátká pomlčka, pomlčka, půlčtverčíková pomlčka
—	dlouhá, dlouhá pomlčka, em-pomlčka, pomlčka, čtverčíková pomlčka
―	pomlčka, pruh, vodorovná čára, vodorovný pruh, čára
・	interpunkce, japonská středová tečka, katakana, střed, tečka, tečky
,	čárka
،	arabská, arabská čárka, čárka
、	ideografická, ideografická čárka, čárka
;	středník
؛	arabský, arabský středník, středník
:	dvojtečka
!	vykřičník
¡	obrácený, obrácený vykřičník, vykřičník
?	otazník
¿	obrácený, obrácený otazník, otazník
؟	arabský, arabský otazník, otazník
‽	interrobang, otazník, otazník a vykřičník, překvapník, vykřičník
.	bod, tečka
…	elipsa, tři tečky, výpustka
。	bod, ideografická, ideografická tečka, tečka
·	odrážka, puntík, střední, střední puntík, tečka
'	apostrof, jednoduchá uvozovka, rovná uvozovka
‘	jednoduchá uvozovka, jednoduchá uvozovka nahoře, poloviční uvozovky nahoře, pravá jednoduchá uvozovka, uvozovka, uvozovka nahoře, uzavírací jednoduchá uvozovka, uzavírací uvozovka
’	apostrof, obrácená jednoduchá uvozovka, obrácená jednoduchá uvozovka nahoře, obrácená pravá uvozovka, obrácená uvozovka, obrácená uvozovka nahoře, obrácená uzavírací uvozovka, obrácené poloviční uvozovky nahoře, uvozovka
‚	jednoduchá uvozovka, jednoduchá uvozovka dole, levá jednoduchá uvozovka, otevírací jednoduchá uvozovka, otevírací uvozovka, poloviční uvozovky dole, uvozovka
“	dvojitá uvozovka nahoře, pravá dvojitá uvozovka, pravé uvozovky, uvozovky, uvozovky nahoře, uzavírací dvojitá uvozovka, uzavírací uvozovky
”	obrácená dvojitá uvozovka, obrácená dvojitá uvozovka nahoře, obrácené pravé uvozovky, obrácené uvozovky, obrácené uvozovky nahoře, obrácené uzavírací uvozovky, uvozovky
„	dvojitá uvozovka dole, levá dvojitá uvozovka, levé uvozovky, otevírací dvojitá uvozovka, otevírací uvozovky, uvozovky, uvozovky dole
«	boční uvozovky, boční uvozovky mířící doleva, lomené uvozovky, uvozovky
»	boční uvozovky, boční uvozovky mířící doprava, lomené uvozovky, uvozovky
)	kulatá závorka, kulaté závorky, pravá kulatá závorka, pravá závorka, závorka, závorky
[	hranatá závorka, hranaté závorky, levá hranatá závorka, závorka, závorky
]	hranatá závorka, hranaté závorky, pravá hranatá závorka, závorka, závorky
{	levá složená závorka, složená závorka, složené závorky, závorka, závorky
}	pravá složená závorka, složená závorka, složené závorky, závorka, závorky
〈	levá lomená závorka, levá ostrá závorka, lomená závorka, lomené závorky, ostrá závorka, ostré závorky, úhlová závorka, úhlové závorky
〉	lomená závorka, lomené závorky, ostrá závorka, ostré závorky, pravá lomená závorka, pravá ostrá závorka, úhlová závorka, úhlové závorky
《	dvojitá levá lomená závorka, dvojitá lomená závorka, dvojitá ostrá závorka, dvojitá úhlová závorka, dvojitá špičatá závorka, dvojité lomené závorky, dvojité ostré závorky, dvojité úhlové závorky, levá dvojitá ostrá závorka
