‾	nadcrta
_	crta, donja crta, linija
-	crta, crtica, crtica-minus, minus
‐	crta, crtica
–	crta, pravopisni znak
—	duga crta, pravopisni znak
―	crta, horizontalna traka, linija, traka
・	katakana, srednja tačka, srednja tačka u pismu katakana, tačke
,	zarez
،	arapski, arapski zarez, zarez
、	ideografski, ideografski zarez, zarez
;	tačka i zarez
؛	arapska, arapska tačka i zarez, tačka i zarez
:	dve tačke
!	uzvičnik, znak uzvika
¡	obrnut, obrnut znak uzvika, uzvičnik, znak uzvika
?	upitnik, znak pitanja
¿	obrnut, obrnuti znak pitanja, upitnik, znak pitanja
؟	arapski, arapski znak pitanja, upitnik, znak pitanja
‽	uzvičnik‐upitnik
.	tačka, tačka na kraju rečenice
…	izostavljanje, tačke, tri tačke
。	ideografska tačka, ideografski, tačka, tačka na kraju rečenice
·	sredina, srednja tačka, tačka
'	apostrof, apostrof na pisaćoj mašini, navodnik, polunavodnik
‘	apostrof, levi apostrof, navodnik, polunavodnik, tipogrfski navodnik
’	apostrof, desni apostrof, navodnik, polunavodnik, tipografski navodnik
‚	apostrof, donji desni apostrof, donji polunavodnik, polunavodnik
“	dvostruki navodnici, levi navodnik, navodnici, navodnik, tipografski navodnik
”	desni navodnik, dvostruki navodnici, navodnici, navodnik, tipografski navodnik
„	donji desni navodnik, donji navodnik, dvostruki navodnici, navodnici, navodnik, tipografski navodni
«	kareti, levi francuski navodnik, levo, navodnik, uglasti, zagrade, ševron
»	desni francuski navodnik, desno, kareti, navodnik, uglasti, zagrade, ševron
)	desna zagrada, okrugla zagrada, zagrada
[	leva uglasta zagrada, uglasta zagrada, zagrada
]	desna uglasta zagrada, uglasta zagrada, zagrada
{	leva vitičasta zagrada, vitičasta zagrada, zagrada
}	desna vitičasta zagrada, vitičasta zagrada, zagrada
〈	dijamantske zagrade, leva tupougla zagrada, n-torka, zagrada, šiljasta zagrada
〉	desna tupougla zagrada, dijamantske zagrade, n-torka, zagrada, šiljasta zagrada
《	dvostruke tupougle zagrade, leva dvostruka tupougla zagrada, zagrada
》	desna dvostruka tupougla zagrada, dvostruka tupougla zagrada, zagrada
「	jednouglasta zagrada, leva jednouglasta zagrada, zagrada
」	desna jednouglasta zagrada, jednouglasta zagrada, zagrada
『	leva šuplja jednouglasta zagrada, zagrada, šuplja jednouglasta zagrada
』	desna šuplja jednouglasta zagrada, zagrada, šuplja jednouglasta zagrada
【	crna konkavna zagrada, crna leva konkavna zagrada, zagrada
】	crna desna konkavna zagrada, crna konkavna zagrada, zagrada
〔	leva saćasta zagrada, saćasta zagrada, zagrada
〕	desna saćasta zagrada, saćasta zagrada, zagrada
〖	konkavna šuplja zagrada, leva konkavna šuplja zagrada, zagrada
〗	desna konkavna šuplja zagrada, konkavna šuplja zagrada, zagrada
§	deo, odeljak, paragraf, znak za odeljak
¶	alineja, paragraf, pasus, znak za paragraf
@	znak „et”
*️	džoker, zvezda, zvezdica
/	kosa crta
\	obrnuta kosa crta
&	ampersand, i
#️	broj, heš, heštag, lb, taraba
%	posto, procenat
‰	na hiljadu, promil
†	bodež, obelisk, znak bodeža
‡	bodež, dvostruko, obelisk, znak dvostrukog bodeža
•	tačka, znak za nabrajanje
‧	crta, crtica, tačka, tačka u funkciji crtice
′	polunavodnik
″	navodnik
‴	trostruki navodnik
‸	karet
※	referentni znak
⁂	asterizam
`	kratkouzlazni, kratkouzlazni naglasak, naglasak, ton
´	dugouzlazni, dugouzlazni naglasak, naglasak, ton
^	cirkumfleks, kontrola, naglasak, pokazivač, znak za umetanje
¨	dijereza, preglas, trema
°	stepen, udeo, čas
℗	autorsko pravo, autorsko pravo o snimanju zvuka, snimanje, zvuk
←	levo, nalevo, strelica, strelica prema levo, ulevo
↚	levo, nalevo, precrtana strelica ulevo, precrtano, strelica, ulevo
→	desno, strelica, strelica koja pokazuje nadesno, strelica prema desno
↛	desno, nadesno, precrtana strelica udesno, precrtano, strelica, udesno
↑	gore, nagore, strelica, strelica prema gore
↓	dole, strelica, strelica koja pokazuje nadole, strelica prema dole
↜	talasasta strelica nalevo
↝	talasasta strelica nadesno
↞	strelica nalevo sa dva vrha
↟	strelica nagore sa dva vrha
↠	desno, dva, nadesno, strelica, strelica udesno sa dva vrha, udesno, vrh
↡	strelica nadole sa dva vrha
↢	strelica sa repom nalevo
↣	desno, nadesno, rep, strelica, strelica udesno sa repom, udesno
↤	strelica sa crtom nalevo
↥	strelica sa crtom nagore
↦	crta, desno, nadesno, strelica, strelica udesno sa crtom, udesno
↧	strelica sa crtom nadole
↨	strelica nagore i nadole sa bazom
↫	strelca nalevo sa petljom
↬	strelca nadesno sa petljom
↭	talasasta strelica sa vrhom nalevo i nadesno
↯	cik-cak strelica nadole
↰	strelica nagore sa vrhom nalevo
↱	strelica nagore sa vrhom nadesno
↲	strelica nadole sa vrhom nalevo
↳	strelica nadole sa vrhom nadesno
↴	strelica nadesno sa uglom nadole
↵	strelica nadole sa uglom nalevo
↶	polukružna strelica u smeru suprotnom od kazaljke na satu
↷	polukružna strelica u smeru kazaljke na satu
↸	strelica sa dugom crtom u smeru severozapada
↹	strelica sa crtom nalevo iznad strelice sa crtom nadesno
↺	otvorena kružna strelica u smeru suprotnom od kazaljke na satu
↻	otvorena kružna strelica u smeru kazaljke na satu
↼	harpun nalevo sa kukicom nagore
↽	harpun nalevo sa kukicom nadole
↾	harpun nagore sa kukicom nadesno
↿	harpun nagore sa kukicom nalevo
⇀	harpun nadesno sa kukicom nagore
⇁	harpun nadesno sa kukicom nadole
⇂	harpun nadole sa kukicom nadesno
⇃	harpun nadole sa kukicom nalevo
⇄	strelica udesno iznad strelice nalevo
⇅	dole, gore, strelica, strelica nagore i strelica nadole
⇆	desno, levo, strelica, strelica nalevo iznad strelice nadesno
⇇	uparene strelice nalevo
⇈	uparene strelice nagore
⇉	uparene strelice udesno
⇊	uparene strelice nadole
⇋	harpun nalevo iznad harpuna nadesno
⇌	harpun nadesno iznad harpuna nalevo
⇐	dvostruka strelica nalevo
⇍	precrtana dvostruka strelica nalevo
⇑	dvostruka strelica nagore
⇒	desno, dvostruka strelica udesno, dvostruko, nadesno, strelica, udesno
⇏	desno, dvostruko, nadesno, precrtana dvostruka strelica udesno, precrtano, strelica, udesno
⇓	dvostruka strelica nadole
⇔	desno, dvostruka strelica ulevo i udesno, dvostruko, levo, nadesno, nalevo, strelica, udesno, ulevo
⇎	desno, dvostruko, levo, nadesno, nalevo, precrtana dvostruka strelica ulevo i udesno, precrtano, strelica, udesno, ulevo
⇖	dvostruka strelica nagore i nalevo
⇗	dvostruka strelica nagore i nadesno
⇘	dvostruka strelica nadole i nadesno
⇙	dvostruka strelica nadole i nalevo
⇚	trostruka strelica nalevo
⇛	trostruka strelica nadesno
⇜	krivudava strelica nalevo
⇝	krivudava strelica nadesno
⇞	dvostruko precrtana strelica nagore
⇟	dvostruko precrtana strelica nadole
⇠	isprekidana crtica calevo
⇡	isprekidana crtica nagore
⇢	isprekidana crtica nadesno
⇣	isprekidana crtica nadole
⇤	strelica nalevo sa crtom
⇥	strelica nadesno sa crtom
⇦	prazna strelica nalevo
⇧	prazna strelica nagore
⇨	prazna strelica nadesno
⇩	prazna strelica nadole
⇪	prazna strelica sa crtom nagore
⇵	dole, gore, nadole, nagore, strelica, strelica nadole i strelica nagore
∀	bilo koji, kvantifikator, kvantor, logika, ma koji, proizvoljan, svaki, univerzalni, za sve
∂	izvod, parcijalni, parcijalni izvod
∃	postoji
∅	matematika, operator, prazan, prazan skup, skup
∆	inkrement, trougao
∇	nabla, trougao
∈	element, element skupa, sadrži, skup, član
∉	nije element
∋	element, sadrži, sadrži kao član, član
∎	Q.E.D., QED, kraj dokaza, kvadratić
∏	N-ti proizvod
∑	N-arno sumiranje, matematika, račun, sigma, suma, sumiranje
+	plus, sabiranje, znak, znak plus
±	plus-minus
÷	deljenje, podeliti, znak deljenja
×	množenje, pomnožiti, puta, znak množenja
<	manje, manje od, oznaka, početna oznaka
≮	matematika, nejednakost, nije manje od
=	jednako, jednako je
≠	nejednakost, nije jednako, različito od
>	oznaka, veće, veće od, završna oznaka
≯	matematika, nejednakost, nije veće od
¬	ne, negacija
|	crta, linija, uspravna, uspravna crta, vertikalna
~	tilda
−	minus, oduzimanje, znak, znak minus
⁻	eksponent, minus, minus u eksponentu
∓	minus, minus ili plus, minus-plus, plus
∕	deljenje, kosa crta, kosa crta za deljenje, podeljeno sa
