‾	oorheendruk, oorstreep, vinkulum
_	lyntjie, onder-streep, onderste streep
-	koppelteken, koppelteken-minus, minus
‐	koppelteken, leesteken
–	en, en-streep, streep
—	em, em-streep, streep
―	em-streep, horisontale balk, lyn
・	katakana, katakana-middelkol, kol, middelkol
,	komma
،	arabies, arabiese komma, komma
、	ideografies, ideografiese komma, komma
;	komma-punt, kommapunt
؛	arabies, arabiese kommapunt, komma-punt, kommapunt
:	dubbelpunt
!	knal, punt, teken, uitroep, uitroepteken
¡	knal, omgekeerd, omgekeerde uitroepteken, punt, teken, uitroep
?	teken, vraag, vraagteken
¿	omgekeerd, omgekeerde vraagteken, teken, vraag
؟	arabies, arabiese vraagteken, teken, vraag
‽	kombinasie, uitroepteken, vraag- en uitroepteken, vraagroepteken, vraagteken
.	kolletjie, punt
…	beletselteken, ellips, kolletjies, weglating
。	ideografies, ideografiese punt, punt
·	interpunkt, kol, middel, middelkol
'	aanhaling, afkappingsteken, apostroof, enkelaanhaling, tikmasjien-apostroof
‘	aanhaling, apostroof links, begin, enkelaanhaling, slimaanhaling
’	aanhaling, apostroof regs, enkelaanhaling, slimaanhaling, sluit
‚	aanhalingsteken, apostroof, onderste aanhalingsteken, onderste regter-apostroof
“	aanhaling, begin, dubbelaanhaling, linkeraanhalingsteken, slimaanhaling
”	aanhaling, dubbelaanhaling, regteraanhalingsteken, slimaanhaling, sluit
„	aanhaling, dubbelaanhaling, onder-aanhaling, onderste regter-enkelaanhaling, slimaanhaling
«	chevron, hakes, hoek, inlastekens, links, links-guillemet, quote
»	aanhaling, chevron, hakies, hoek, inlastekens, regs, regs-guillemet
)	parentese, ronde hakie, sluithakie
[	blokhakie, hakie, kwartnoot, oop-blokhakie
]	blokhakie, hakie, sluit-blokhakie
{	hakie, klamp, krulhakie, krulklamp, oop krulhakie, oop-krulhakie, vleuel
}	krulhakie, sluit, sluit-krulhakie
〈	chevron, diamanthakies, hakie, hoekhakie, oop-hoekhakie, oophoekhakie, punthakie, tal
〉	chevron, diamanthakies, hakie, hoekhakie, punthakie, sluit-hoekhakie, tuple
《	dubbelhoekhakie, hakie, oop-dubbelhoekhakie
》	dubbelhoekhakie, hakies, sluit-dubbelhoekhakie
「	hakie, oop-raamhakie, raamhakie
」	hakie, raamhakie, sluit, sluit-raamhakie
