_	dash, line, low dash, underdash, underline, underscore
،	Arabic, Arabic comma, comma
؛	Arabic, Arabic semicolon, semi-colon
؟	Arabic, Arabic question mark, question, question mark
.	full stop
。	full stop, ideographic, ideographic full stop, period
'	apostrophe, quote, single quote, straight apostrophe, typewriter apostrophe
‘	apostrophe, curly quote, left apostrophe, quote, single quote, smart quote
’	apostrophe, curly quote, quote, right apostrophe, single quote, smart quote
“	curly quotes, double quote, left quotation mark, quotation, quote, smart quotation
”	curly quotes, double quote, quotation, quote, right quotation mark, smart quotation
)	bracket, close parenthesis, parens, parenthesis, round bracket
[	bracket, crotchet, left square bracket, open square bracket, square bracket
]	bracket, close square bracket, crotchet, right square bracket, square bracket
{	brace, bracket, curly brace, curly bracket, gullwing, left curly bracket, open curly bracket
}	brace, bracket, close curly bracket, curly brace, curly bracket, gullwing, right curly bracket
〈	angle bracket, chevron, diamond bracket, left angle bracket, open angle bracket, pointy bracket, tuple
〉	angle bracket, chevron, close angle bracket, diamond bracket, pointy bracket, right angle bracket, tuple
《	bracket, double angle bracket, left double angle bracket, open double angle bracket
》	bracket, close double angle bracket, double angle bracket, right double angle bracket
「	bracket, corner bracket, left corner bracket, open corner bracket
」	bracket, close corner bracket, corner bracket, right corner bracket
『	bracket, hollow corner bracket, left hollow corner bracket, open hollow corner bracket
』	bracket, close hollow corner bracket, hollow corner bracket, right hollow corner bracket
【	bracket, left black lenticular bracket, lens bracket, lenticular bracket, open black lenticular bracket
】	bracket, close black lenticular bracket, lens bracket, lenticular bracket, right black lenticular bracket
〔	bracket, left tortoise shell bracket, open tortoise shell bracket, shell bracket, tortoise shell bracket
〕	bracket, close tortoise shell bracket, right tortoise shell bracket, shell bracket, tortoise shell bracket
〖	bracket, hollow lens bracket, hollow lenticular bracket, left hollow lenticular bracket, open hollow lenticular bracket
〗	bracket, close hollow lenticular bracket, hollow lens bracket, hollow lenticular bracket, right hollow lenticular bracket
@	ampersat, arobase, arroba, at mark, at sign, commercial at, strudel
%	per cent
‰	per mil, per mill, per mille, permil, permille
†	dagger, dagger sign, dagger symbol, obelisk, obelus
‡	dagger, double, double dagger sign, double dagger symbol, obelisk, obelus
^	accent, caret, chevron, circumflex, hat, power, wedge
↚	leftwards arrow with stroke
↛	rightwards arrow with stroke
↞	leftwards two-headed arrow
↟	upwards two-headed arrow
↠	rightwards two-headed arrow
↡	downwards two-headed arrow
↢	leftwards arrow with tail
↣	rightwards arrow with tail
↨	up-down arrow with base
↫	leftwards arrow with loop
↬	rightwards arrow with loop
↭	left-right wave arrow
↰	upwards arrow with leftwards tip
↱	upwards arrow with rightwards tip
↲	downwards arrow with leftwards tip
↳	downwards arrow with rightwards tip
↴	rightwards arrow with downwards corner
↵	downwards arrow with leftwards corner
↶	anticlockwise top-semicircle arrow
↷	clockwise top-semicircle arrow
↸	north-west arrow to long bar
↹	leftwards over rightwards arrow bars
↺	anticlockwise open-circle arrow
↻	clockwise open-circle arrow
↼	leftwards harpoon with upwards barb
↽	leftwards harpoon with downwards barb
↾	upwards harpoon with rightwards barb
↿	upwards harpoon with leftwards barb
⇀	rightwards harpoon with upwards barb
⇁	rightwards harpoon with downwards barb
⇂	downwards harpoon with rightwards barb
⇃	downwards harpoon with leftwards barb
⇍	leftwards double arrow with stroke
⇏	rightwards double arrow with stroke
⇔	left-right double arrow
⇎	left-right double arrow with stroke
⇖	north-west double arrow
⇗	north-east double arrow
⇘	south-east double arrow
⇙	south-west double arrow
⇞	upwards arrow with double stroke
⇟	downwards arrow with double stroke
⇤	leftwards arrow bar, leftwards arrow to bar
⇥	rightwards arrow bar, rightwards arrow to bar
⇵	downwards and upwards arrows
∂	differential, partial derivative, partial differential
∃	existential, mathematics, quantifier, there exists
∅	empty set, mathematics, null set, null sign, set operator
∉	element, not an element, not an element of, set
∎	end of proof, end proof, halmos, q.e.d., qed, tombstone
∑	mathematics, n-ary summation, sigma, summation
|	bar, line, pipe, sheffer stroke, vertical bar, vertical line
∓	minus-or-plus, minus-plus
∝	is proportional, proportional, proportionality
∣	divides, divisor, vertical bar
∥	parallel, parallel to
∮	complex analysis, contour integral
≃	asymptote, asymptotically equal, asymptotically equal to, mathematics
≅	approximately equal, approximately equal to, congruence, equality, isomorphism, mathematics
≌	all equal, all equal to, equality, mathematics
≣	equality, mathematics, strictly equivalent, strictly equivalent to
≳	equivalent, greater-than, greater-than or equivalent to, inequality, mathematics
≺	mathematics, ordered set, precedes, set operator
≻	follows, mathematics, ordered set, set operator, succeeds
⊁	does not succeed, mathematics, ordered set, set operator
⊃	mathematics, proper superset, set operator, superset of
⊆	equal, mathematics, subset, subset of or equal to
⊇	equal, mathematics, superset, superset of or equal to
⊕	circled plus, direct sum, exclusive or, logic, mathematics
⊖	circled minus, erosion, mathematics, symmetric difference
⊗	Kronecker, circled times, product, tensor
⊙	XNOR, circled dot operator, mathematics, vector
⊛	circled asterisk operator
⊞	addition-like, free additive convolution, mathematics, squared plus
⊮	does not force, mathematics
⊰	mathematics, ordered set, precedes under relation, set operator
⊱	mathematics, ordered set, set operator, succeeds under relation
⋭	does not contain as normal subgroup equal, does not contain as normal subgroup or equal, group theory, mathematics
⊶	original, original of
⋰	ellipsis, mathematics, upwards diagonal ellipsis, upwards right diagonal ellipsis
⋱	downwards right diagonal ellipsis, ellipsis, mathematics
■	black square, filled square
□	hollow square, white square
▢	hollow square with rounded corners, white square with rounded corners
▣	hollow square containing filled square, white square containing black small square
▦	square with orthogonal crosshatch fill
▧	square with upper left to lower right fill
▨	square with upper right to lower left fill
▩	square with diagonal crosshatch fill
▬	black rectangle, filled rectangle
▭	hollow rectangle, white rectangle
▮	black vertical rectangle, filled vertical rectangle
▰	black parallelogram, filled parallelogram
▲	arrow, black up-pointing triangle, filled up-pointing triangle, triangle, up
△	hollow up-pointing triangle, white up-pointing triangle
▴	black up-pointing small triangle, filled up-pointing small triangle
▵	hollow up-pointing small triangle, white up-pointing small triangle
▷	hollow right-pointing triangle, white right-pointing triangle
▸	black right-pointing triangle, filled right-pointing small triangle
▹	hollow right-pointing small triangle, white right-pointing small triangle
►	black right-pointing pointer, filled right-pointing pointer
▻	hollow right-pointing pointer, white right-pointing pointer
▼	arrow, black down-pointing triangle, down, filled down-pointing triangle, triangle
▽	hollow down-pointing triangle, white down-pointing triangle
▾	black down-pointing small triangle, filled down-pointing small triangle
▿	hollow down-pointing small triangle, white down-pointing small triangle
◁	hollow left-pointing triangle, white left-pointing triangle
◂	black left-pointing small triangle, filled left-pointing small triangle
◃	hollow left-pointing small triangle, white left-pointing small triangle
◄	black left-pointing pointer, filled left-pointing pointer
◅	hollow left-pointing pointer, white left-pointing pointer
◆	black diamond, filled diamond
◇	hollow diamond, white diamond
◈	hollow diamond containing filled diamond, white diamond containing black small diamond
◉	circled dot, concentric circles filled, fisheye, hollow circle containing filled circle, white circle containing black small circle
○	circle, hollow circle, ring, white circle
●	black circle, circle, filled circle
◐	circle with left half filled
◑	circle with right half filled
◒	circle with lower half filled
◓	circle with upper half filled
◔	circle with upper-right quadrant filled
◕	circle with all but upper-left quadrant filled
◖	left half black circle, left half filled circle
◗	right half black circle, right half filled circle
◙	black square containing hollow circle, filled square containing hollow circle, inverse hollow circle
◜	upper-left quadrant circular arc
◝	upper-right quadrant circular arc
◞	lower-right quadrant circular arc
◟	lower-left quadrant circular arc
◢	black lower-right triangle, filled lower-right triangle
◣	black lower-left triangle, filled lower-left triangle
◤	black upper-left triangle, filled upper-left triangle
◥	black upper-right triangle, filled upper-right triangle
◯	circle, large hollow circle, large white circle, ring
◳	hollow square with upper-right quadrant, white square with upper-right quadrant
◷	hollow circle with upper-right quadrant, white circle with upper-right quadrant
◿	lower-right triangle, white
♪	eighth, music, note, quaver
⨧	plus sign with subscript two
⨯	vector or cross product
⨼	interior product, mathematics
⩣	logical or with double underbar, mathematics
⩽	inequality, less-than or slanted equal to, mathematics
⪍	less-than above similar or equal
⪚	double-line equal to or greater-than, inequality, mathematics
😘	adorbs, bae, blowing, face, flirt, heart, ily, kiss, love, lover, miss, muah, mwah, romantic, smooch, xoxo, you
😋	delicious, face, face savouring food, savouring, smile, yum
🤭	embarrassed, face, giggle, giggling, hand, mouth, oops, realisation, secret, shock, sudden, surprise, whoops
🤐	face, keep, mouth, quiet, secret, shut, zip, zip-mouth face
🤨	disapproval, disbelief, distrust, emoji, eyebrow, face, hmm, mild, raised, sceptic, sceptical, scepticism, surprise, what
😶‍🌫	absent-minded, face in clouds, face in the fog, head in clouds
😷	cold, dentist, dermatologist, doctor, dr, face, germs, mask, medical, medicine, poorly, sick
😵‍💫	confused, dizzy, eyes, face, hypnotised, omg, smiley, spiral, trouble, whoa, woah, woozy
🫤	disappointed, face with diagonal mouth, meh, sceptical, unsure
😮	believe, face, forgot, mouth, omg, open, shocked, surprised, sympathy, unbelievable, unreal, whoa, woah, wow, you
😤	anger, angry, face, feels, frustration, fume, fuming, furious, fury, mad, nose, steam, triumph, unhappy, won
🙈	embarrassed, evil, face, forbidden, forgot, gesture, hide, monkey, no, omg, prohibited, scared, secret, see, smh, watch
💗	143, emotion, excited, growing, heart, heartpulse, ily, kisses, muah, mwah, nervous, pulse, xoxo
🩶	grey, heart, silver, slate
💬	balloon, bubble, comic, dialogue, message, sms, speech, talk, text, typing
🗨️	balloon, bubble, dialogue, left speech bubble, speech
💭	balloon, bubble, cartoon, cloud, comic, daydream, decisions, dream, idea, invent, invention, realise, think, thoughts, wonder
🙌	celebration, gesture, hand, hooray, raising hands, woo hoo, yay
🙌🏻	celebration, gesture, hand, hooray, light skin tone, raising hands, woo hoo, yay
🙌🏼	celebration, gesture, hand, hooray, medium-light skin tone, raising hands, woo hoo, yay
