‾	traço sobrescrito
_	sublinhado, traço baixo, traço inferior
-	hífen, hífen-menos, menos, traço
‐	hífen, risca de união, tirete, traço de união
–	meia-risca, meio-traço, traço, traço de ligação, traço médio
―	barra, barra horizontal, linha, travessão
・	katakana, katakana - ponto central, ponto central, ponto mediano
،	virgula árabe, vírgula, árabe
!	exclamação, ponto de exclamação
¡	exclamação, invertido, ponto de exclamação, ponto de exclamação invertido
‽	ponto de exclarrogação
.	ponto
…	pontos de reticência, pontos de suspensão, reticências, três pontos
。	ideograma, ideograma de ponto final, ponto, ponto final
'	apóstrofo, aspas, aspas simples, plica
‘	apóstrofo, apóstrofo esquerdo, aspas, aspas curvas
’	apóstrofo, apóstrofo direito, aspas, aspas curvas
‚	apóstrofo, apóstrofo direito inferior, aspas, aspas inferiores
“	aspas, aspas duplas, aspas esquerdas, aspas inteligentes, aspas retas
”	aspas, aspas direitas, aspas duplas, aspas inteligentes, aspas retas
„	aspas, aspas direitas inferiores, aspas duplas, aspas inferiores, aspas inteligentes
«	aspas, aspas em linha esquerdas, aspas francesas, chevron, esquerda, ângulo
»	aspas, aspas em linha direitas, aspas francesas, chevron, direita, ângulo
)	fechar parênteses, parêntese, parêntese curvo, parêntese direito, parêntesis
[	abrir parênteses, colchete, parêntese, parêntese reto, parêntese reto esquerdo, parêntesis
]	colchete, fechar parênteses, parêntese, parêntese reto, parêntese reto direito, parêntesis
{	abrir parênteses, chaveta, chaveta esquerda, parêntese, parêntesis
}	chaveta, chaveta direita, fechar parênteses, parêntese, parêntesis
〈	abrir parênteses, chevron, parêntese, parêntese angular, parêntese angular esquerdo, parêntese em ângulo, parêntesis
〉	chevron, fechar parênteses, parêntese, parêntese angular, parêntese angular direito, parêntese em ângulo, parêntesis
《	abrir parênteses, parêntese, parêntese angular duplo, parêntese angular duplo esquerdo, parêntesis
》	fechar parênteses, parêntese, parêntese angular duplo, parêntese angular duplo direito, parêntesis
「	abrir parênteses, parêntese, parêntese de canto, parêntese de canto esquerdo
」	fechar parênteses, parêntese, parêntese de canto, parêntese de canto direito
『	abrir parênteses, parêntese, parêntese de canto, parêntese de canto vazio esquerdo
』	fechar parênteses, parêntese, parêntese de canto, parêntese de canto vazio direito
【	abrir parênteses, parêntese, parêntese lenticular, parêntese lenticular preto esquerdo, parêntesis
】	fechar parênteses, parêntese, parêntese lenticular, parêntese lenticular preto direito, parêntesis
〔	abrir parênteses, parêntese, parêntese de tartaruga, parêntese de tartaruga esquerdo, parêntesis
〕	fechar parênteses, parêntese, parêntese de tartaruga, parêntese de tartaruga direito, parêntesis
〖	abrir parênteses, parêntese, parêntese lenticular branco, parêntese lenticular vazio esquerdo
〗	fechar parênteses, parêntese, parêntese lenticular branco, parêntese lenticular vazio direito
§	parte, parágrafo, secção, símbolo de parágrafo
¶	alínea, marca de parágrafo, parágrafo, sinal de parágrafo
@	arroba, marca de arroba, sinal de arroba
*️	asterisco, caráter universal, estrela
/	barra, traço oblíquo
\	barra invertida, traço oblíquo invertido
&	E comercial, e, et
#️	cardinal, cerquilha, hashtag, número
%	percentagem, por cento, porcento
‰	permilagem, por mil
•	marca, marca de lista, ponto
‧	hífen, ponto, ponto de hifenização
′	apóstrofo, plica
″	apóstrofo, apóstrofo duplo, aspas, plica dupla
‴	apóstrofo, apóstrofo triplo, plica tripla
`	acento, grave, tom
^	acento, chapéu, circunflexo, sinal de omissão
¨	diérese, trema, ápice, ápices
℗	direitos de autor, fonograma, som, símbolo de direitos de autor de fonograma
←	esquerda, para a esquerda, seta, seta a apontar para a esquerda
↚	seta para a esquerda com traço
→	direita, para a direita, seta, seta a apontar para a direita
↛	seta para a direita com traço
↑	cima, para cima, seta, seta a apontar para cima
↓	baixo, para baixo, seta, seta a apontar para baixo
↢	seta para a esquerda com cauda
↣	seta para a direita com cauda
↤	seta para a esquerda da barra
↥	seta para cima da barra
↦	seta para a direita da barra
↧	seta para baixo da barra
↰	seta para cima com a ponta para a esquerda
↱	seta para cima com a ponta para a direita
↲	seta para baixo com a ponta para a esquerda
↳	seta para baixo com a ponta para a direita
↴	seta para a direita com canto para baixo
↵	seta para baixo com canto para a esquerda
↶	seta semicircular superior no sentido anti-horário
↷	seta semicircular superior no sentido horário
↹	barra, para a direita, para a esquerda, seta, seta para a esquerda com barra sobre seta para a direita com barra
⇅	baixo, cima, para baixo, para cima, seta, setas a apontar para cima e para baixo
⇆	direita, esquerda, para a direita, para a esquerda, seta, setas a apontar para a esquerda e direita, setas a apontar para a esquerda e para a direita
⇤	seta para a esquerda com barra
⇥	seta para a direita com barra
⇦	seta vazia para a esquerda
⇧	seta vazia para cima
⇨	seta vazia para a direita
⇩	seta vazia para baixo
⇪	seta vazia para cima da barra
∀	para todo, universal
∈	conjunto, contém, elemento, elemento de, membro, pertence, pertence a
+	adicionar, adição, mais, sinal de mais
±	mais-menos
×	multiplicar, multiplicação, sinal de multiplicação, vezes
<	abrir etiqueta, etiqueta, menor, menor que
=	igual, é igual a
≠	desigual, desigualdade, diferente, não igual
>	etiqueta, fechar etiqueta, maior, maior que
¬	negação, não
|	barra, barra vertical, linha, linha vertical, pipe, traço vertical
−	menos, sinal de menos, subtrair, subtração
∕	barra de divisão, traço
∝	proporcional, proporcionalidade
∞	infinito, símbolo de infinito
∟	matemática, ângulo reto
∧	ac, atque, e, lógico
∩	conjunto, intersecção, interseção
∪	coleção, conjunto, reunião, união
∷	proporcionalidade, proporção
≡	exato, idêntico, idêntico a, triplo
≤	desigual, desigualdade, igual, igual a, menor ou igual, menor que
≥	desigual, desigualdade, igual, igual a, maior ou igual, maior que
≦	desigualdade, diferente, diferença, matemática, menor que sobre igual
≧	desigualdade, diferente, diferença, maior que sobre igual, matemática
≪	desigualdade, diferente, diferença, matemática, muito menor que
≫	desigualdade, diferente, diferença, matemática, muito maior que
≳	desigualdade, diferente, diferença, maior que ou equivalente, matemática
⊿	matemática, retângulo, triângulo, triângulo retângulo
⋂	intersecção, interseção, interseção n-ária, matemática, operador de conjunto
⋒	intersecção, interseção, interseção dupla, matemática, operador de conjunto
⋘	desigualdade, diferente, diferença, matemática, muitíssimo menor que
⋙	desigualdade, diferente, diferença, matemática, muitíssimo maior que
⋮	elipse, elipse vertical, matemática, reticências, reticências verticais
⋯	elipse, elipse horizontal a meio da linha, reticências, reticências horizontais a meio da linha
▲	cima, para cima, preenchido, seta, triângulo, triângulo preenchido a apontar para cima
△	triângulo vazio a apontar para cima
▴	triângulo pequeno preenchido a apontar para cima
▵	triângulo pequeno vazio a apontar para cima
▷	triângulo vazio a apontar para a direita
▸	triângulo pequeno preenchido a apontar para a direita
▹	triângulo pequeno vazio a apontar para a direita
►	ponteiro preenchido a apontar para a direita
▻	ponteiro vazio a apontar para a direita
▼	baixo, para baixo, preenchido, seta, triângulo, triângulo preenchido a apontar para baixo
▽	triângulo vazio a apontar para baixo
▾	triângulo pequeno preenchido a apontar para baixo
▿	triângulo pequeno vazio a apontar para baixo
◁	triângulo vazio a apontar para a esquerda
◂	triângulo pequeno preenchido a apontar para a esquerda
◃	triângulo pequeno vazio a apontar para a esquerda
◄	ponteiro preenchido a apontar para a esquerda
◅	ponteiro vazio a apontar para a esquerda
◎	alvo, círculo duplo, círculos concêntricos
◘	marca de lista invertida
◦	marca de lista vazia
♯	música, nota, sustenido
😀	cara, cara sorridente, dentes, risada, sorriso
😃	aberta, boca, cara, cara sorridente com olhos bem abertos, feliz, sorriso
😄	aberta, boca, cara, cara a sorrir com boca aberta e olhos sorridentes, feliz, olho, sorriso
😁	cara, cara sorridente com olhos sorridentes, dentes, olho, sorriso
😆	aberta, ahahah, boca, cara, cara a sorrir com boca aberta e olhos bem fechados, feliz, gargalhada, olhos fechados, riso, satisfação, sorriso
😅	aberta, cara, cara a sorrir com boca aberta e suor, frio, sorriso, suor
🤣	a rebolar no chão a rir, cara, chorar a rir, chão, cómico, gargalhada, hilariante, rebolar, rebolar a rir, rir
😂	ahahah, alegria, cara, cara com lágrimas de felicidade, chorar a rir, cómico, felicidade, hilariante, lágrimas, riso, sorriso
🙂	cara, cara a sorrir ligeiramente, contente, sorriso
🙃	ao contrário, cara, cara ao contrário, sorriso
🫠	abrasador, calor, cara a derreter, derreter, derretido, desaparecer, dissolver, líquido, muito calor, muito quente, quente
😉	cara, cara a piscar o olho, piscadela
😊	cara, cara a sorrir com olhos sorridentes, corado, olho, satisfeito, sorriso
😇	anjo, auréola, cara, cara a sorrir com auréola, fantasia, inocente
🥰	amo-te, amor, apaixonado, cara sorridente com corações, coração, paixão
😍	amor, cara, cara a sorrir com olhos em forma de coração, coração, olho, sorriso
🤩	cara, cara sorridente com estrelas nos olhos, entusiasmado, estrela, olhos
😘	beijo, cara, cara a atirar um beijo, coração, flirt, namoriscar, romântico
😗	amor, beijo, cara, cara a dar um beijo, flirt, namoriscar
☺️	cara, cara a sorrir, contorno, relaxado, sorridente, sorriso
😚	beijo, cara, cara a dar um beijo com olhos fechados, corado, fechado, flirt, olho
😙	amor, beijo, cara, cara a dar um beijo com olhos sorridentes, olho, sorriso
🥲	aliviado, cara, cara sorridente com lágrima, emocionado, grato, lágrima, orgulhoso, sorridente
😋	apetitoso, cara, cara a saborear uma refeição deliciosa, delicioso, saborear, sorriso
😛	cara, cara com língua de fora, língua
😜	brincadeira, cara, cara com língua de fora e olho a piscar, língua, olho, piada, piscadela
🤪	cara louca, grande, olho, olhos loucos, pequeno
😝	cara, cara com língua de fora e olhos bem fechados, horrível, língua, olho, sabor
🤑	boca, cara, cara com cifrões, dinheiro, dinheiro na boca
🤗	abraçar, abraço, cara, cara a dar um abraço
🤭	cara com mão na boca, risinho, surpresa, ups
🫢	assustado, cara com olhos abertos e mão sobre a boca, chocado, descrença, embaraçar, escandalizado, espanto, horrorizado, não posso acreditar, omg, surpresa, temor
🫣	acanhado, cara com olho a espreitar, cara com olho tapado, cativado, envergonhado, espiar, espreitar, olhar fixamente, tímido, vergonha
🤫	cara de segredo, quieto, segredo, silêncio
🤔	cara, cara a pensar, pensativo, queixo, refletir
🫡	bater continência, cara a saudar, ensolarado, ok, saudação, sim, tropas
🤐	boca, cara, cara com boca com fecho de correr, fecho de correr, segredo
🤨	cara com sobrancelha levantada, cético, desconfiança, sobrancelha levantada, surpreso
😐️	cara, cara neutra, inexpressivo, neutra, neutro, sem comentários, sem emoção
😑	cara, cara sem expressão, inexpressivo, pouco convencido, pouco impressionado, sem expressão
😶	boca, calado, cara, cara sem boca, sem boca, sem expressão, silencioso
🫥	cara com linha pontilhada, deprimido, desaparecer, esconder, introvertido, invisível
😶‍🌫	cabeça nas nuvens, cara nas nuvens, cara no nevoeiro, distraído
😏	cara, cara com sorriso sarcástico, sorriso malicioso, sorriso pretensioso
😒	aborrecido, cara, cara aborrecida, descontente
🙄	a revirar os olhos, cara, cara com olhos revirados, olhos, olhos a revirar, revirar, tanto faz
😬	cara, cara a fazer caretas, caretas, dentes, sorrir
😮‍💨	arfar, cara, cara a exalar, desmotivado, desmotivação, exalar, exausto, fumo, ofegar, soprar, sopro, suspiro
🤥	cara, cara de mentiroso, mentira, mentiroso, pinóquio
🫨	abanar, atordoamento, cara, cara a abanar, choque, desconcerto, espanto, loucura, pânico, surpresa, terramoto, terremoto, vibrar
🙂‍↔	abanar, cabeça a balançar na horizontal, cabeça a virar de um lado para o outro, negar, não
🙂‍↕	cabeça a abanar de cima para baixo, cabeça a abanar na vertical, confirmar, fazer que sim com a cabeça, sim
😌	aliviado, cara, cara aliviada, paz, tranquilo
😔	cara, cara pensativa, desanimado, melancólico, pensativo, triste
😪	cansado, cara, cara sonolenta, chorar, sono
🤤	babar, cara, cara a babar-se
😴	boa noite, bocejar, bocejo, cansada, cansado, cara, cara a dormir, sono, tanto faz, zzz
🫩	cansada, cansado, cansaço, cara com olheiras, dorminhoca, dorminhoco, exausta, exausto, olheiras, olhos, tarde
😷	cara, cara com máscara de médico, constipação, doente, máscara, médico, remédio
🤒	cara, cara com termómetro, doente, febre, termómetro
🤕	cara, cara com ligadura na cabeça, ferimento, ligadura, magoado
🤢	cara, cara nauseada, enjoado, enjoo, nauseada, vómito
🤮	cara a vomitar, doente, nojo, vomitar, vómito
🤧	cara, cara a espirrar, espirro, gripe, santinho
🥵	cara com calor, cara vermelha, febril, insolação, quente, transpiração
🥶	cara azul, cara com frio, frieira, frio, gelar, sincelo
🥴	boca ondulada, bêbado, cara embriagada, embriagado, intoxicado, olhos tortos
😵	atordoado, cansado, cara, cara atordoada, doente, tonto
