‾	overline
_	gatlang, linya, mababang gatlang, mababang linya, salungguhit, underdash
-	gatlang, gitling, gitling na minus, gitling- pananda ng pagbabawas, minus
‐	gatlang, gitling
–	gatlang, maikling gatlang
—	gatlang, mahabang gatlang
―	bar, gatlang, linya, pahalang na bar
・	katakanang gitnang tuldok
,	kuwit
،	arabic, arabic na kuwit, kuwit
、	ideographic, ideographic na kuwit, kuwit
;	tuldok-kuwit
؛	arabic, arabic na tuldok-kuwit, tuldok-kuwit
:	tutuldok
!	tandang pandamdam
¡	baligtad na tandang pandamdam
?	tandang pananong, tanong
¿	baligtad na tandang pananong
؟	arabic, arabic na tandang pananong, tandang pananong, tanong
‽	interrobang
.	buong hinto, tuldok
…	ellipsis, mga tuldok, omisyon
。	buong hinto, ideographic, ideographic na tuldok, tuldok
·	gitna, interpunct, nakagitnang tuldok, tuldok
'	apostrophe, makinilyang apostrope, panipi, single quote, typewriter apostrophe
‘	apostrophe, kaliwang apostrope, kaliwang apostrophe, panipi, single quote, smart quote
’	apostrophe, kanang apostrope, kanang apostrophe, panipi, single quote, smart quote
‚	apostrophe, mababang kanan na apostrope, mababang kanang apostrophe, mababang panipi, panipi
“	double quote, kaliwang panipi, panipi, quote, smart quotation
”	double quote, kanang panipi, panipi, quote, smart quotation
„	double quote, mababang kanan na panipi, mababang panipi, panipi, quote, smart quotation
«	anggulo, chevron, kaliwa, mga bracket, mga caret, pakaliwang guillemet, quote
»	anggulo, chevron, kanan, mga bracket, mga caret, pakanang guillemet, quote
)	bracket, panaklong, pansarang panaklong, paren, parens, round bracket
[	bracket, bukas na kuwadradong bracket, crotchet, kuwadradong bracket
]	bracket, crotchet, kuwadradong bracket, saradong kuwadradong bracket
{	brace, bracket, bukas na kulot na bracket, gullwing, kulot na brace, kulot na bracket
}	brace, bracket, gullwing, kulot na brace, kulot na bracket, saradong kulot na bracket, saradong kulot na braket
〈	anggulong bracket, bracket, bukas na anggulo na bracket, bukas na anggulong bracket, chevron, mga diamond bracket, patusok na bracket, tuple
〉	anggulong bracket, bracket, chevron, mga diamond na bracket, patusok na bracket, saradong anggulong bracket, tuple
《	bracket, bukas na dobleng anggulo na bracket, bukas na dobleng anggulong bracket, dobleng anggulong bracket
》	bracket, dobleng anggulong bracket, saradong dobleng anggulo na bracket, saradong dobleng anggulong bracket
「	bracket, bukas na corner bracket, corner bracket
」	bracket, corner bracket, saradong corner bracket
『	bracket, bukas na corner bracket, bukas na hollow corner bracket
』	bracket, hollow na corner bracket, saradong hollow corner bracket, saradong hollow corner na bracket
【	bracket, bukas na itim na lens bracket, bukas na itim na lens na bracket, lens na bracket, lenticular na bracket
】	bracket, lens na bracket, lenticular na bracket, saradong itim na lens bracket, saradong itim na lens na bracket
〔	bracket, bukas na tortoise shell bracket, shell bracket, tortoise shell bracket
〕	bracket, saradong tortoise shell bracket, shell bracket, tortoise shell bracket
〖	bracket, bukas na hollow lens bracket, bukas na hollow na lens bracket, hollow na lens bracket, hollow na lenticular bracket
〗	bracket, hollow na lens bracket, hollow na lenticular bracket, saradong hollow lens bracket
§	bahagi, seksyon, silcrow, talata
¶	tandang pantalata
@	ampersat, arobase, arroba, at na simbolo, at sign, at-sign, commercial at, simbolong at, strudel
*️	asterisk, bituin, wildcard
/	slash
\	backslash, baligtad na solidus, hiwa
&	ampersand
#️	hash sign
%	porsiyento
‰	per mille
†	dagger, dagger sign, obelisk, obelus
‡	dagger, doble, dobleng dagger sign, obelisk, obelus
•	bullet, tuldok
‧	gatlang, gitling, hyphenation na tuldok, hyphenation point, tuldok
′	prime
″	dobleng prime
‴	tripleng prime
‸	caret
※	tanda ng reference
⁂	asterismo
`	accent, grave, grave accent, tono
´	accent, acute, acute accent, tono
^	accent, chevron, circumflex, circumflex accent, control, karit, pakupya, pointer, power, wedge, xor na simbolo
¨	diaeresis, tréma, umlaut
°	degree, oras, proof
℗	copyright, copyright ng recording ng tunog, recording, tunog
←	arrow, arrow na nakaturo sa kaliwa, kaliwa
↚	kaliwang arrow stroke
→	arrow, arrow na nakaturo sa kanan, kanan
↛	kanang arrow stroke
↑	arrow, arrow na nakaturo pataas, pataas
↓	arrow, arrow na nakaturo pababa, pababa
↜	kaliwang maalon na arrow
↝	kanang maalon na arrow
↞	kaliwang dalawang ulo na arrow
↟	paitaas na dalawang ulo na arrow
↠	kanang dalawang ulo na arrow
↡	pababa na dalawang ulo na arrow
↢	kaliwang buntot ng arrow
↣	kanang buntot ng arrow
↤	kaliwang arrow mula sa bar
↥	paitaas na arrow mula sa bar
↦	kanang arrow mula sa bar
↧	pababa na arrow mula sa bar
↨	pataas pababa na arrow na may base
↫	kaliwang arrow na loop
↬	kanang arrow na loop
↭	kaliwa’t kanang maalon na arrow
↯	pababang zigzag na arrow
↰	paitaas na arrow na lumiko sa kaliwa
↱	paitaas na arrow na lumiko sa kanan
↲	pababa na arrow na lumiko sa kaliwa
↳	pababa na arrow na lumiko sa kanan
↴	kanan na arrow na lumiko pababa
↵	pababang arrow na lumiko sa kaliwa
↶	anticlockwise na semicircle na arrow sa taas
↷	clockwise na semicircle na arrow sa taas
↸	hilagang kanluran na arrow na may mahabang bar
↹	kaliwa na arrow bar sa taas ng kanan na arrow bar
↺	anticlockwise bukas na bilog na arrow
↻	clockwise bukas na bilog na arrow
↼	kaliwang harpoon barb pataas
↽	kaliwang harpoon barb pababa
↾	pataas na harpoon barb na kanan
↿	paitaas na harpoon barb na kaliwa
⇀	kanang harpoon barb pataas
⇁	kanang harpoon barb pababa
⇂	pababang kanan na harpoon barb
⇃	pababang kaliwa na harpoon barb
⇄	kanang arrow sa taas ng kaliwang arrow
⇅	arrow, pababa, pataas, pataas na arrow at pababang arrow
⇆	arrow, kaliwa, kanan, pakaliwa sa ibabaw ng pakanang arrow, pakaliwang arrow sa ibabaw ng pakanang arrow
⇇	dalawang kaliwa na arrow
⇈	dalawang pataas na arrow
⇉	dalawang kanan na arrow
⇊	dalawang pababa na arrow
⇋	kaliwang harpoon sa taas ng kanang harpoon
⇌	kanang harpoon sa taas ng kaliwang harpoon
⇐	kaliwa na dobleng arrow
⇍	kaliwa na dobleng arrow na may stroke
⇑	pataas na dobleng arrow
⇒	kanan na dobleng arrow
⇏	kanan na dobleng arrow na may stroke
⇓	pababa na dobleng arrow
⇔	kaliwa’t kanang doble na arrow
⇎	kaliwa’t kanang doble na arrow na may stroke
⇖	hilagang kanluran na dobleng arrow
⇗	hilagang silangan na dobleng arrow
⇘	timog silangan na dobleng arrow
