‾	trait suscrit
_	ligne, tiret, tiret bas, trait de soulignement
-	moins, tiret, trait d’union, trait d’union-moins
‐	tiret, trait d’union
–	demi-cadratin, tiret, tiret demi-cadratin
—	cadratin, tiret, tiret cadratin
―	barre, barre horizontale, ligne, tiret
・	katakana, point milieu, point médian, point médian katakana, points
,	virgule
،	arabe, virgule, virgule arabe
、	idéographique, virgule, virgule idéographique
;	point-virgule
؛	arabe, point-virgule, point-virgule arabe
:	deux-points
!	exclamation, point d’exclamation
¡	exclamation, inversé, point d’exclamation, point d’exclamation inversé
?	point d’interrogation, question
¿	inversé, point d’interrogation, point d’interrogation inversé, question
؟	arabe, point d’interrogation, point d’interrogation arabe, question
‽	point exclarrogatif
.	point, point final
…	ellipse, points de suspension, suspension
。	idéographique, point, point final, point idéographique
·	milieu, médian, point, point médian
'	apostrophe, apostrophe dactylographique, guillemet, guillemet simple
‘	apostrophe, apostrophe gauche, guillemet, guillemet simple, guillemet typographique
’	apostrophe, apostrophe droite, guillemet, guillemet simple, guillemet typographique
‚	apostrophe, apostrophe droite basse, guillemet, guillemet inférieur
“	guillemet, guillemet double, guillemet droit gauche, guillemets, guillemets doubles
”	guillemet, guillemet double, guillemet droit droit, guillemets, guillemets typographiques
„	guillemet, guillemet double, guillemet droit bas, guillemets, guillemets bas, guillemets typographiques
«	anti-lambda, chevron, citation, crochet oblique, crochets, gauche, guillemet gauche
»	anti-lambda, chevron, citation, crochet oblique, crochets, droit, guillemet droit
)	parenthèse, parenthèse fermante, parenthèses
[	crochet, crochet ouvrant, crochets
]	crochet, crochet fermant, crochets
{	accolade, accolade ouvrante, accolades
}	accolade, accolade fermante, accolades
〈	chevron, chevron angulaire, chevron angulaire ouvrant, chevron pointu, crochet, crochets obliques, tuple
〉	chevron, chevron angulaire, chevron angulaire fermant, chevron pointu, crochet, crochets obliques, tuple
《	chevron, chevron angulaire double, chevron angulaire ouvrant double
》	chevron, chevron angulaire double, chevron angulaire fermant double
「	crochet, crochet de partie entière, crochet de partie entière ouvrant
」	crochet, crochet de partie entière, crochet de partie entière fermant
『	crochet, crochet de partie entière creux, crochet de partie entière ouvrant creux
』	crochet, crochet de partie entière creux, crochet de partie entière fermant creux
【	crochet, crochet lenticulaire, crochet lenticulaire ouvrant noir
】	crochet, crochet lenticulaire, crochet lenticulaire fermant noir
〔	crochet, crochet en écaille, crochet en écaille ouvrant
〕	crochet, crochet en écaille, crochet en écaille fermant
〖	crochet, crochet lenticulaire creux, crochet lenticulaire ouvrant creux
〗	crochet, crochet lenticulaire creux, crochet lenticulaire fermant creux
§	paragraphe, partie, section, symbole
¶	alinéa, marque de paragraphe, paragraphe, paraphe, pied-de-mouche
@	a commercial, arobase, arroba, arrobe, signe at, symbole at
*️	astérisque, caractère générique, étoile
/	barre de division, barre de fraction, barre oblique, oblique, slash
\	antislash, barre oblique inversée, oblique
&	and, esperluette, et
#️	croisillon, dièse, hash, numéro, symbole dièse
%	pour cent, pourcent
‰	par mille, pour mille
†	dague, obèle, obélus
‡	dague, double, double obèle, obèle, obélus
•	point, puce
‧	point, point de coupure de mot, tiret, union
′	prime
″	double prime, prime
‴	prime, triple prime
‸	caret
※	marque de référence
⁂	astérisme
`	accent grave, grave
´	accent, accent aigu, aigu, ton
^	accent circonflexe, caret, chapeau, chevron, circonflexe, puissance, symbole xor
¨	diérèse, tréma, umlaut
°	degré, heure, preuve
℗	copyright, copyright phonographique, enregistrement, phonographique
←	flèche, flèche vers la gauche, gauche
↚	flèche vers la gauche barrée
→	droite, flèche, flèche vers la droite
↛	flèche vers la droite barrée
↑	flèche, flèche vers le haut, haut
↓	bas, flèche, flèche vers le bas
↜	flèche vers la gauche ondulée
↝	flèche vers la droite ondulée
↞	flèche à deux pointes vers la gauche
↟	flèche à deux pointes vers le haut
↠	flèche à deux pointes vers la droite
↡	flèche à deux pointes vers le bas
↢	flèche vers la gauche avec empenne
↣	flèche vers la droite avec empenne
↤	flèche d’un taquet vers la gauche
↥	flèche d’un taquet vers le haut
↦	flèche d’un taquet vers la droite
↧	flèche d’un taquet vers le bas
↨	flèche haut-bas sur base
↫	flèche vers la gauche avec boucle
↬	flèche vers la droite avec boucle
↭	flèche gauche-droite ondulée
↯	flèche vers le bas en zigzag
↰	flèche vers le haut avec pointe vers la gauche
↱	flèche vers le haut avec pointe vers la droite
↲	flèche vers le bas avec pointe vers la gauche
↳	flèche vers le bas avec pointe vers la droite
↴	flèche vers la droite avec coin vers le bas
↵	flèche vers le bas avec coin vers la gauche
↶	flèche semi-circulaire sens antihoraire en chef
↷	flèche semi-circulaire sens horaire en chef
↸	flèche nord-ouest jusqu’à un long taquet
↹	flèche, flèches gauche et droite superposées avec taquets, taquet, vers la droite, vers la gauche
↺	flèche circulaire ouverte sens antihoraire
↻	flèche circulaire ouverte sens horaire
↼	harpon vers la gauche avec barbillon vers le haut
↽	harpon vers la gauche avec barbillon vers le bas
↾	harpon vers le haut avec barbillon vers la droite
↿	harpon vers le haut avec barbillon vers la gauche
⇀	harpon vers la droite avec barbillon vers le haut
⇁	harpon vers la droite avec barbillon vers le bas
⇂	harpon vers le bas avec barbillon vers la droite
⇃	harpon vers le bas avec barbillon vers la gauche
⇄	flèche vers la droite sur flèche vers la gauche
⇅	bas, flèche, flèches vers le haut et vers le bas, haut
⇆	droite, flèche, flèche gauche au-dessus de flèche droite, gauche
⇇	paire de flèches vers la gauche
⇈	paire de flèches vers le haut
⇉	paire de flèches vers la droite
⇊	paire de flèches vers le bas
⇋	harpon vers la gauche sur harpon vers la droite
⇌	harpon vers la droite sur harpon vers la gauche
⇐	flèche double vers la gauche
⇍	double flèche vers la gauche barrée
⇑	flèche double vers le haut
⇒	flèche double vers la droite
⇏	double flèche vers la droite barrée
⇓	flèche double vers le bas
⇔	flèche double vers la gauche et la droite
⇎	double flèche gauche-droite barrée
⇖	flèche double vers le nord-ouest
⇗	flèche double vers le nord-est
⇘	flèche double vers le sud-est
⇙	flèche double vers le sud-ouest
⇚	flèche triple vers la gauche
⇛	flèche triple vers la droite
⇜	flèche vers la gauche en tire-bouchon
⇝	flèche vers la droite en tire-bouchon
⇞	flèche vers le haut avec double barre
⇟	flèche vers le bas avec double barre
⇠	flèche pointillée vers la gauche
⇡	flèche pointillée vers le haut
⇢	flèche pointillée vers la droite
