‾	επάνω γραμμή
_	γραμμή, κάτω παύλα, παύλα, υπογράμμιση, χαμηλή παύλα
-	ενωτικό, ενωτικό-πλην, μείον, παύλα, πλην
‐	ενωτικό, παύλα
–	μικρή, μικρή παύλα, παύλα
—	μεγάλη, μεγάλη παύλα, παύλα
―	γραμμή, οριζόντια παύλα, παύλα
・	άνω τελεία, κατάκανα, κατάκανα άνω τελεία, μέση στιγμή, τελείες
,	κόμμα
،	αραβικό, αραβικό κόμμα, κόμμα
、	ιδεογραφικό, ιδεογραφικό κόμμα, κόμμα
;	ελληνικό ερωτηματικό
؛	ανάποδο ερωτηματικό, αραβική άνω τελεία
:	άνω κάτω τελεία, άνω και κάτω τελεία
!	αναφώνηση, θαυμαστικό, μπανγκ
¡	ανάποδο, ανάποδο θαυμαστικό, αναφώνηση, επιφώνημα, θαυμαστικό, μπουμ
?	ερώτηση, λατινικό ερωτηματικό
¿	ανάποδο, ανάποδο λατινικό ερωτηματικό, ερώτηση, λατινικό ερωτηματικό
؟	αραβικό, αραβικό ερωτηματικό, ερωτηματικό, ερώτηση
‽	ερωτηματικοθαυμαστικό
.	τελεία
…	αποσιωπητικά, παράλειψη, τελείες
。	ιδεογραφική, ιδεογραφική τελεία, τελεία
·	άνω τελεία, μέση, μέση στιγμή, τελεία, τελεία διαχωρισμού
'	ίσια απόστροφος, απόστροφος, εισαγωγικό, μονό εισαγωγικό
‘	απόστροφος, αριστερή απόστροφος, εισαγωγικά, καλλιγραφικά εισαγωγικά, μονό εισαγωγικό
’	απόστροφος, δεξιά απόστροφος, εισαγωγικό, καλλιγραφικά εισαγωγικά, μονό εισαγωγικό
‚	απόστροφος, εισαγωγικό, κάτω δεξιά απόστροφος, κατωφερές εισαγωγικό
“	αριστερά εισαγωγικά, διπλό εισαγωγικό, εισαγωγικό, καλλιγραφικά εισαγωγικά, παράθεση
”	δεξιά εισαγωγικά, διπλό εισαγωγικό, εισαγωγικό, καλλιγραφικά εισαγωγικά, παράθεση
„	διπλά εισαγωγικά, εισαγωγικά, κάτω δεξιά εισαγωγικά, κάτω εισαγωγικά, παράθεση
«	αγκύλες, αριστερά γωνιακά εισαγωγικά, αριστερό, γωνία, διάσημα, εισαγωγικό, καρέ
»	αγκύλες, γωνία, δεξί, δεξιά γωνιακά εισαγωγικά, διάσημα, εισαγωγικό, καρέ
)	δεξιά παρένθεση, παρένθεση
[	αγκύλη, αριστερή αγκύλη, τετραγωνική αγκύλη
]	αγκύλη, δεξιά αγκύλη, τετραγωνική αγκύλη
{	άγκιστρο, αριστερό άγκιστρο
}	άγκιστρο, δεξί άγκιστρο
〈	αγκύλη, αγκύλη με γωνία, αριστερή γωνιώδης αγκύλη, γωνιώδης αγκύλη, διάσημα, πλειάδα
〉	αγκύλη, αγκύλη με γωνία, γωνιώδης αγκύλη, δεξιά γωνιώδης αγκύλη, διάσημα, πλειάδα
《	αγκύλη, αριστερή διπλή γωνιώδης αγκύλη, διπλή γωνιώδης αγκύλη
》	αγκύλη, δεξιά διπλή γωνιώδης αγκύλη, διπλή γωνιώδης αγκύλη
「	αγκύλη, αριστερή γωνιακή αγκύλη, γωνιακή αγκύλη
」	αγκύλη, γωνιακή αγκύλη, δεξιά γωνιακή αγκύλη
『	αγκύλη, αριστερή κενή γωνιακή αγκύλη, κενή γωνιακή αγκύλη
