‾	üst çizgi
_	alt satır, alt tire, alt çizgi
-	eksi, tire, tire-eksi, çizgi
‐	tire, tire işareti, çizgi
–	tire, çizgi
—	tire, uzun, uzun tire
―	yatay çizgi, çizgi, çubuk
・	katakana, katakana orta nokta, orta nokta
,	virgül
،	arapça, arapça virgül, virgül
、	ideografik, ideografik virgül, virgül
;	noktalı virgül
؛	arapça, arapça noktalı virgül, noktalı virgül
:	iki nokta
!	ünlem, ünlem işareti
¡	ters, ters ünlem işareti, ünlem, ünlem işareti
?	soru, soru işareti
¿	soru, soru işareti, ters, ters soru işareti
؟	arapça, arapça soru işareti, soru, soru işareti
‽	soru ve ünlem işareti
.	nokta, tam durak
…	eksilti, eksiltme, üç nokta
。	ideografik, ideografik nokta, nokta, tam durak
·	nokta, orta, orta nokta, ortaya konan nokta
'	daktilo kesme işareti, kesme, tek kesme, tek tırnak, tırnak
‘	akıllı tırnak, kesme işareti, sol kesme işareti, tek kesme, tırnak
’	akıllı tırnak, kesme işareti, sağ kesme işareti, tek kesme, tırnak
‚	alt tırnak, kesme, sağ alt kesme işareti, tırnak
“	akıllı tırnak, sol tırnak işareti, tırnak, çift tırnak
”	akıllı tırnak, sağ tırnak işareti, tırnak, çift tırnak
„	akıllı tırnak, sağ alt tırnak işareti, tırnak, çift tırnak
«	açılı, düzeltme işareti, köşeli çift ayraç, parantezler, sol, sola bakan köşeli tırnak işareti, tırnak işareti
»	açılı, düzeltme işareti, köşeli çift ayraç, parantezler, sağ, sağa bakan köşeli tırnak işareti, tırnak işareti
)	ayraç, kapalı parantez, parantez, yuvarlak ayraç, yuvarlak parantez
[	açık kare parantez, kare parantez, parantez
]	kapalı kare parantez, kare parantez, parantez
{	açık süslü ayraç, martı kanat, süslü ayraç, süslü parantez
}	kapalı süslü ayraç, martı kanat, süslü ayraç, süslü parantez
〈	açık açılı ayraç, açılı ayraç, açılı parantez, sivri ayraç
〉	açılı ayraç, açılı parantez, kapalı açılı ayraç, sivri ayraç
《	ayraç, açık çift açılı ayraç, çift açılı ayraç
》	ayraç, kapalı çift açılı ayraç, çift açılı ayraç
「	ayraç, açık köşeli ayraç, köşeli ayraç
」	ayraç, kapalı köşeli ayraç, köşeli ayraç
『	ayraç, açık köşeli oyuk ayraç, köşeli oyuk ayraç
』	ayraç, kapalı köşeli oyuk ayraç, kapalı oyuk köşeli ayraç, oyuk köşeli ayraç
【	ayraç, açık siyah lens ayraç, lens ayraç, merceksel ayraç
】	ayraç, kapalı siyah lens ayraç, lens ayraç, merceksel ayraç
〔	ayraç, açık kaplumbağa kabuğu şeklinde ayraç, kabuk ayraç, kaplumbağa kabuğu şeklinde ayraç
〕	ayraç, kabuk ayraç, kapalı kaplumbağa kabuğu şeklinde ayraç, kaplumbağa kabuğu şeklinde ayraç
〖	ayraç, açık oyuk mercek ayraç, oyuk mercek ayraç, oyuklu merceksel ayraç
〗	ayraç, kapalı oyuk lens ayraç, oyuk lens ayraç, oyuklu merceksel ayraç
§	bölüm, bölüm işareti, paragraf, parça
¶	paragraf, paragraf işareti, pilcrow
@	ampersat, bahsetme, konum, kuyruklu a
*️	asterisk, joker, yıldız
/	eğik, eğik çizgi, yatık çizgi
\	ters eğik çizgi, ters yatık çizgi
&	ampersan, ve
#️	etiket, hashtag, kare, karma, sayı, sayı işareti
%	yüzde
‰	binde, binde bir
†	dikili taş, kama, kama işareti, obelus
‡	dikili taş, kama, obelus, çift, çift kama işareti
•	madde imi, nokta
‧	nokta, tire, tireleme noktası, çizgi
′	üssü
″	iki üssü, üssü
‴	üssü, üç üssü
‸	düzeltme işareti
※	referans işareti
⁂	üç yıldız işareti
`	aksan, aksan işareti, işaret, ton, vurgu
´	aksan, tiz aksan, tiz vurgu
^	aksan, inceltme, inceltme işareti, xor, zikzak çıta, şapka işareti
¨	ikilenme, umlaut, çift nokta
°	derece, kanıt, saat
℗	kayıt, ses, ses kaydı telif hakkı, telif hakkı
←	ok, sol, solu gösteren ok
↚	sola doğru çizgili ok
→	ok, sağ, sağı gösteren ok
↛	sağa doğru çizgili ok
↑	ok, yukarı, yukarı gösteren ok
↓	aşağı, aşağı gösteren ok, ok
↜	sola doğru dalgalı ok
↝	sağa doğru dalgalı ok
↞	sola doğru çift başlı ok
↟	yukarı doğru çift başlı ok
↠	sağa doğru çift başlı ok
↡	aşağı doğru çift başlı ok
↢	sola doğru kuyruklu ok
↣	sağa doğru kuyruklu ok
↤	sola doğru çubuktan ok
↥	yukarı doğru çubuktan ok
↦	sağa doğru çubuktan ok
↧	aşağı doğru çubuktan ok
↨	yukarı aşağı tabanlı ok
↫	sola döngülü ok
↬	sağa döngülü ok
↭	sol sağ dalgalı ok
↯	aşağı yönlü zikzak ok
↰	solda ipucu ile yukarı ok
↱	sağda ipucu ile yukarı ok
↲	solda ipucu ile aşağı ok
↳	sağda ipucu ile aşağı ok
↴	aşağı doğru köşesi olan sağ ok
↵	sola doğru köşesi olan aşağı ok
↶	saat yönünün tersinde üst yarım daireli ok
↷	saat yönünde üst yarım daireli ok
↸	kuzeybatı yönlü uzun çubuklu ok
↹	sağ ok çubuğu üstünde sol ok çubuğu
↺	saat yönünün tersinde açık daireli ok
↻	saat yönünde açık daireli ok
↼	yukarı kancalı sol yönlü zıpkın
↽	aşağı kancalı sol yönlü zıpkın
↾	sağ kancalı yukarı yönlü zıpkın
↿	sol kancalı yukarı yönlü zıpkın
⇀	yukarı kancalı sağ yönlü zıpkın
⇁	aşağı kancalı sağ yönlü zıpkın
⇂	sağ kancalı aşağı yönlü zıpkın
⇃	sol kancalı aşağı yönlü zıpkın
⇄	sol ok üzerinde sağ ok
⇅	aşağı, ok, yukarı, yukarı ve aşağı bakan oklar
⇆	altta sağa üstte sola bakan oklar, ok, sağ, sol
⇇	sola eşleştirilmiş oklar
⇈	yukarı eşleştirilmiş oklar
⇉	aşağı doğru eşleştirilmiş oklar
⇊	aşağı eşleştirilmiş oklar
⇋	sağ zıpkın üstünde sol zıpkın
⇌	sol zıpkın üstünde sağ zıpkın
⇐	sola çift ok
⇍	sola çizgili çift ok
⇑	yukarı çift ok
⇒	sağa çift ok
⇏	sağa çizgili çift ok
⇓	aşağı çift ok
⇔	sol sağ çift ok
⇎	sol sağ çizgili çift ok
⇖	kuzeybatı yönlü çift ok
⇗	kuzeydoğu yönlü çift ok
⇘	güneydoğu yönlü çift ok
⇙	güneybatı yönlü çift ok
⇚	sola üçlü ok
⇛	sağa üçlü ok
⇜	sola eğri ok
⇝	sağa eğri ok
⇞	çift çizgili yukarı ok
⇟	çift çizgili aşağı ok
⇠	sola çizgili ok
⇡	yukarı çizgili ok
⇢	sağa çizgili ok
⇣	aşağı çizgili ok
⇤	sol ok çubuğu
⇥	sağ ok çubuğu
⇦	sola boş ok
⇧	yukarı boş ok
⇨	sağa boş ok
⇩	aşağı boş ok
⇪	çubuktan yukarı boş ok
⇵	aşağı ok sol yukarı ok
∀	tümü için
∂	kısmi fark
∃	vardır
∅	boş küme
∆	artım, üçgen
∇	nabla, üçgen
∈	eleman, elemanıdır, içerir, küme, üyelik
∉	elemanı değildir
∋	eleman olarak kapsar
∎	silinmiş öğe
∏	n öğeli çarpım
∑	n öğeli toplama
+	artı, artı işareti, ekle
±	artı-eksi
÷	bölme, bölme işareti, bölüm, obelus
×	çarpma, çarpma işareti, çarpım
<	açık etiket, açılış etiketi, etiket, küçüktür
≮	eşitsizlik, küçük değildir, matematik
=	eşit, eşittir
≠	denksizlik, eşit değildir, eşitsizlik
>	büyüktür, etiket, kapalı etiket, kapanış etiketi
≯	büyük değildir, eşitsizlik, matematik
¬	olumsuzlama, olumsuzluk
|	Sheffer inme, dikey, dikey çizgi, çizgi, çubuk
~	yaklaşık
−	eksi, eksi işareti, çıkarma
⁻	eksi, üs, üs eksi, üst eksi simgesi, üst simge
∓	artı eksi, artı veya eksi, eksi artı, eksi veya artı
∕	bölme çizgisi
⁄	kesir bölme işareti
∗	yıldız işareti işleci
∘	döngü işleci
∙	madde işareti işleci
√	kare, karekök, kök, radikal, radikal ifade, taban
∝	orantılı
∞	sonsuzluk, sonsuzluk işareti
∟	dik açı, matematik
∠	açı, dar açı
∣	bölen
∥	paralel
∧	mantıksal ve
∩	kesişim, küme
∪	birleşim, küme, toplam
∫	entegral
∬	çift entegral
∮	çevre entegrali
∴	öyleyse
∵	çünkü
∶	oran
∷	orantı
∼	tilde işleci
∽	ters tilde
∾	ters çevrilmiş yavaş s
≃	asimptotik olarak eşit
≅	yaklaşık olarak eşit
≈	neredeyse eşit, yaklaştırma, yaklaşık
≌	tamamen eşit
≒	yaklaşık olarak eşit veya sanalı
≖	eşitlikte döngü
≡	aynı, denk, denktir, üçlü
≣	tamamen eşdeğeri
≤	eşitsizlik, eşittir, küçük eşit, küçüktür
≥	büyük eşit, büyüktür, eşit, eşitsizlik
≦	eşitsizlik, küçük eşittirden büyük, matematik
≧	büyük eşittirden küçük, eşitsizlik, matematik
≪	eşitsizlik, matematik, çok daha küçüktür
≫	eşizliklik, matematik, çok daha büyüktür
≬	arasında
≳	büyük veya eşdeğer
≺	önce gelir
≻	sonra gelir
⊁	sonra gelmez
⊂	alt küme, alt kümesi, alt kümesidir, küme
⊃	küme işlemi, matematik, üst küme
⊆	alt küme eşittir
⊇	eşitlik, matematik, üst küme eşittir
⊕	artı, daire içinde artı
⊖	daire içinde eksi
⊗	daire içinde çarpı
⊘	daire içinde bölme işareti
⊙	daire içinde nokta işleci
⊚	daire içinde döngü işleci
⊛	daire içinde yıldız işareti işleci
⊞	kare içinde artı
⊟	kare içinde eksi
⊥	üst iğne
⊮	gerektirmez
⊰	bağıntıya göre önce gelir
⊱	bağıntıya göre sonra gelir
⋭	normal alt grup olarak kapsamaz
⊶	orijinal
⊹	hermit eşleniği matrisi
⊿	dik açılı üçgen, dik üçgen, matematik
⋁	n öğeli mantıksal veya
⋂	n öğeli kesişim
⋃	n öğeli birleşim
⋅	nokta işleci
⋆	yıldız işleci
⋈	doğal birleşim
⋒	kesişim, matematik, çift kesişim
⋘	eşitsizlik, matematik, çok fazla küçüktür
⋙	eşitsizlik, matematik, çok fazla büyüktür
⋮	dikey üç nokta
⋯	orta çizgi yatay üç nokta
⋰	yukarı sağa çapraz üç nokta
⋱	aşağı sağa çapraz üç nokta
■	dolu kare
□	boş kare
▢	yuvarlak köşeli boş kare
▣	dolu kareli boş kare
▤	yatay doldurulan kare
▥	dikey doldurulan kare
▦	dikgen çapraz çizgi ile doldurulan kare
▧	sol üstten sağ alta doğru doldurulan kare
▨	sağ üstten sol alta doğru doldurulan kare
▩	köşegen çapraz çizgi ile doldurulan kare
▬	dolu dikdörtgen
▭	boş dikdörtgen
▮	dolu dikey dikdörtgen
▰	dolu paralelkenar
▲	içi dolu, ok, yukarı, yukarı bakan içi dolu üçgen, üçgen
△	içi boş yukarıyı gösteren üçgen
▴	içi dolu yukarıyı gösteren küçük üçgen
▵	içi boş yukarıyı gösteren küçük üçgen
▷	içi boş sağı gösteren üçgen
▸	içi dolu sağı gösteren küçük üçgen
▹	içi boş sağı gösteren küçük üçgen
►	içi dolu sağ işaretçi
▻	içi boş sağ işaretçi
▼	aşağı, aşağı bakan içi dolu üçgen, içi dolu, ok, üçgen
▽	içi boş aşağıyı gösteren üçgen
▾	içi dolu aşağıyı gösteren küçük üçgen
▿	içi boş aşağıyı gösteren küçük üçgen
◁	içi boş sol üçgen
◂	içi dolu solu gösteren küçük üçgen
◃	içi boş solu gösteren küçük üçgen
◄	içi dolu sol işaretçi
◅	içi boş sol işaretçi
◆	dolu baklava
◇	boş baklava
◈	dolu baklavalı boş baklava
◉	dolu daireli boş daire
◊	baklava, elmas, eşkenar dörtgen
○	boş daire, daire, halka
◌	noktalı daire
◍	dikey doldurulan daire
◎	hedef merkezi
●	içi dolu çember, çember
◐	sol yarısı dolu daire
◑	sağ yarısı dolu daire
◒	alt yarısı dolu daire
◓	üst yarısı dolu daire
◔	sağ üst karesi dolu daire
◕	sol üst karesi dolu olmayan daire
◖	sol yarı dolu daire
◗	sağ yarı dolu daire
◘	ters madde işareti
◙	içi boş daireli dolu kare
◜	sol üst çeyrek dairesi dairesel olan yay
◝	sağ üst çeyrek dairesi dairesel olan yay
◞	sağ alt çeyrek dairesi dairesel olan yay
◟	sol alt çeyrek dairesi dairesel olan yay
◠	üst yarım daire
◡	alt yarım daire
◢	içi dolu sağ alt üçgen
◣	içi dolu sol alt üçgen
◤	içi dolu sol üst üçgen
◥	içi dolu sağ üst üçgen
◦	içi boş madde işareti
◯	büyük boş daire, daire, halka
◳	sağ üst çeyrek kareli boş kare
◷	sağ üst çeyrek daireli boş daire
◿	sağ alt üçgen
♪	müzik, nota, sekizinci, sekizinci nota
⨧	altı iki olan artı simgesi
⨯	vektör çapraz çarpım
⨼	iç çarpım
⩣	mantıksal veya çift alt çubuklu
⩽	küçüktür veya eğimli eşittir
⪍	benzer veya eşittir üstündeki küçüktür
⪚	çift çizgili eşittir veya büyüktür
⪺	hemen hemen eşit değil üstünde sonra gelir
♭	bemol, düz, müzik, nota
♯	diyez, müzik, nota
😀	gülen yüz, gülme, keyifli, lol, mutlu, neşeli, sırıtan yüz, sırıtma, yüz
😃	ağzı açık gülen yüz, ağzı açık gülümseme, ağzı açık sırıtma, gülen yüz, gülme, gülümseme, lol, neşeli, yüz
😄	ağzı açık gülen gözler, gülen gözlerle ağzı açık gülümseme, gülen gözlerle ağzı açık sırıtma, gülen yüz, gülme, gülümseme, lol, neşeli, yüz
😁	gülen gözlerle sırıtan yüz, gülen gözlerle sırıtma, gülen yüz, gülme, gülümseme, gülümseyen gözler, lol, neşeli, yüz
😆	32 diş, ahaha, ağız, ağız açık, gözler kapalı, gülmek, gülmekten ölmek, hahaha, inanılmaz, kahkaha, kapalı gözlerle ağzı açık sırıtma, kapalı gözlerle gülümseme, komik, lol, mutlu, yüz, yüz ifadesi, çok komik
😅	heyecanlı, soğuk ter, soğuk terli ağzı açık gülümseme, stresli, yüz
