‾	үстіңгі сызық
_	төмен сызық
-	минус таңбасы
‐	дефис
–	сызықша, қысқа, қысқа сызықша
—	сызықша, ұзын, ұзын сызықша
―	көлденең жолақ
・	катакана интерпункті
,	үтір
،	араб үтірі
、	идеографиялық үтір
;	нүктелі үтір
؛	араб нүктелі үтірі
:	қос нүкте
!	лептік белгісі
¡	төңкерілген лептік белгісі
?	сұрақ, сұрақ белгісі
¿	төңкерілген сұрақ белгісі
؟	араб сұрақ белгісі
‽	интерробанг
.	нүкте
…	көп нүкте
。	идеографиялық нүкте
·	интерпункт, нүкте, ортаңғы
'	типографиялық апостроф
‘	апостроф, дара тырнақша, сол апостроф, тырнақша
’	оң апостроф
‚	төменгі оң апостроф
“	сол жақ тырнақша белгісі, тырнақша, тырнақша белгісі, қосарлы тырнақша
”	оң жақ тырнақша белгісі, тырнақша, тырнақша белгісі, қосарлы тырнақша
„	тырнақша, тырнақша белгісі, төменгі оң жақ тырнақша белгісі, төменгі сол жақ тырнақша белгісі, төменгі тырнақша, қосарлы тырнақша
«	бұрыш, дәйексөз, енгізу белгісі, жақшалар, сол жақ, сол жақ тырнақша, тырнақша
»	бұрыш, дәйексөз, енгізу белгісі, жақшалар, оң жақ, оң жақ тырнақша, тырнақша
)	оң жақша
[	жақша, сол жақ тік жақша, тік жақша
]	жақша, оң жақ тік жақша, тік жақша
{	жақша, сол жақ фигуралық жақша, фигуралық жақша
}	жақша, оң жақ фигуралық жақша, фигуралық жақша
〈	бұрыштық жақша, жақша, сол жақ бұрыштық жақша
〉	бұрыштық жақша, жақша, оң жақ бұрыштық жақша
《	жақша, сол жақ қосарлы бұрыштық жақша, қосарлы бұрыштық жақша
》	жақша, оң жақ қосарлы бұрыштық жақша, қосарлы бұрыштық жақша
「	жақша, сол жақ тік бұрышты жақша, тік бұрышты жақша
」	жақша, оң жақ тік бұрышты жақша, тік бұрышты жақша
『	жақша, сол жақ қосарлы тік бұрышты жақша, қосарлы тік бұрышты жақша
』	жақша, оң жақ қосарлы тік бұрышты жақша, қосарлы тік бұрышты жақша
【	дөңес жақша, жақша, қара түсті сол жақ дөңес жақша
】	дөңес жақша, жақша, қара түсті оң жақ дөңес жақша
〔	жақша, сол жақ қалың дөңгелек жақша, қалың дөңгелек жақша
