‾	garis atas
_	garis, garis bawah, sengkang, sengkang bawah
-	sempang, sempang tanda tolak, sengkang, tanda tolak
‐	sempang, sengkang
–	en, sengkang, sengkang en
—	em, sengkang, sengkang em
―	garisan, palang, palang lintang, sengkang
・	katakana, titik, titik tengah, titik tengah katakana
,	koma
،	arab, koma, koma arab
、	ideografik, koma, koma ideografik
;	koma bernoktah, koma bertitik
؛	arab, koma bernoktah, koma bernoktah arab
:	noktah bertindih
!	bang, seruan, tanda seru
¡	bang, seruan, tanda seru, tanda seru terbalik, terbalik, titik seru
?	soalan, tanda soalan
¿	soalan, tanda soal, tanda soal terbalik, terbalik
؟	arab, soalan, tanda soal, tanda soal arab
‽	interrobang
.	noktah, tanda henti, titik
…	elipsis, tanda tinggal, titik
。	ideografik, noktah, noktah ideografik, tanda henti
·	noktah tengah, tengah, titik, titik tengah
'	koma lurus, petik, tanda petik tunggal
‘	koma atas, koma atas kiri, petik, tanda petik, tanda petik tunggal
’	koma atas, koma atas kanan, petik, tanda petik, tanda petik tunggal
‚	koma bawah, koma bawah kanan, petik, tanda petik bawah
“	petik, petikan, tanda petik, tanda petik kiri, tanda petikan
”	petik, petikan, tanda petikan
„	petikan, tanda petik, tanda petikan, tanda petikan bawah
«	chevron, karet, kiri, kurungan, petikan, sudut berganda kiri
»	chevron, kanan, karet, kurungan, petikan, sudut, sudut berganda kanan
)	dakap, kurung, tanda kurung
[	buka kurung siku, krocet, kurung siku, kurungan
]	krocet, kurung siku, kurung siku tertutup, kurungan
{	buka kurung dakap, dakap, kurung dakap, sayap camar
}	dakap, kurung dakap, sayap camar, tutup kurung dakap
〈	kurung berlian, kurung chevron, kurung sudut, kurung tirus, rangkap, tanda kurung sudut terbuka
〉	chevron, kurung, kurung berlian, kurung sudut, kurung tirus, rangkap, tanda kurung sudut tertutup
《	kurung sudut berganda, kurung sudut berganda terbuka, kurungan
》	kurung sudut berganda, kurung sudut berganda tertutup, kurungan
「	kurung penjuru terbuka, tanda kurung, tanda kurung penjuru
」	kurung penjuru, kurung penjuru tertutup, kurungan
『	kurung penjuru geronggang, kurungan, tanda kurung penjuru geronggang terbuka
』	kurung penjuru geronggang, kurungan, tanda kurung penjuru geronggang tertutup
【	kurung kanta, kurung kekanta, kurungan, kurungan kanta hitam terbuka
】	kurung kanta, kurung kanta hitam tertutup, kurung kekanta, kurungan
〔	dakap, kurung siku kura-kura, kurung siku kura-kura terbuka, siku kura-kura
