‾	forbindelsesstreg, høj streg, overstreg, vinculum
_	lav streg, lav tankestreg, streg, tankestreg, understregning, understregningstegn
-	minus, streg, tankestreg, tankestreg-minus
‐	bindestreg, streg
–	en dash, kort, n-tankestreg, tankestreg
—	em dash, lang, lang tankestreg, m-tankestreg, tankestreg
―	linje, streg, tankestreg, vandret streg
・	katakana, katakana-mellemprik, mellemprik, mellempunkt, prikker
,	grammatik, komma, pause, sætningsopdeling
،	arabisk komma, grammatik, tegnsætning
、	grammatik, ideografisk komma, kinesisk komma, tegnsætning
;	grammatik, kolon, semi, semikolon, tegn, tegnsætning
؛	arabisk, arabisk semikolon, semikolon
:	definition, kolon, tegn, tegnsætning
!	bang, idé, tegn, tegnsætning, udråb, udråbstegn
¡	omvendt udråbstegn, på hovedet, udråbstegn
?	spørgsmål, spørgsmålstegn
¿	omvendt, omvendt spørgsmålstegn, spørgsmål, spørgsmålstegn
؟	arabisk, arabisk spørgsmålstegn, spejlvendt, spørgsmål, spørgsmålstegn
‽	interabang, interrobang, spørgsmåls- og udråbstegn, spørgsmålstegn, udråbstegn
.	prik, punktum
…	ellipse, prikker, tøveprikker, udelade, udeladelsesprikker
。	ideografisk, ideografisk punktum, punktum
·	mellem, prik, punkttegn, underordnet, underordnet punkttegn
'	anførselstegn, apostrof, citat, citationstegn, enkelt anførselstegn, enkelt citationstegn
‘	apostrof, citat, enkelt anførselstegn, enkelt citationstegn, krøllet anførselstegn, krøllet citationstegn, venstre apostrof
’	apostrof, citat, enkelt anførselstegn, enkelt citationstegn, højre apostrof, krøllet anførselstegn, krøllet citationstegn
‚	anførselstegn, apostrof, citat, citationstegn, lav højre apostrof, lavt anførselstegn, lavt citationstegn
“	anførselstegn, citat, citationstegn, dobbelt anførselstegn, dobbelt citationstegn, krøllet anførselstegn, krøllet citationstegn, venstre anførselstegn
”	anførselstegn, citat, citationstegn, dobbelt anførselstegn, dobbelt citationstegn, højre anførselstegn, krøllet anførselstegn, krøllet citationstegn
„	anførselstegn, citat, citationstegn, dobbelt anførselstegn, dobbelt citationstegn, krøllet anførselstegn, krøllet citationstegn, lavt anførselstegn, lavt citationstegn, lavt højre anførselstegn
«	anførselstegn, citattegn, indskudstegn, parentes, venstre, venstre fransk anførselstegn, vinkel
»	anførselstegn, citattegn, højre, højre fransk anførselstegn, indskudstegn, parentes, vinkel
)	parentes, rund parentes, slutparentes
[	firkantet parentes, kantet parentes, parentes, venstre firkantet parentes
]	firkantet parentes, højre firkantet parentes, kantet parentes, parentes
{	akkolade, klammeparentes, krøllet parentes, tuborgparentes, venstre akkolade
}	akkolade, højre akkolade, klammeparentes, krøllet parentes, tuborgparentes
〈	hak, mindre end, parentes, ruderparentes, spids parentes, venstre vinkelparentes, vinkelparentes
〉	hak, højre vinkelparentes, parentes, ruderparentes, spids parentes, større end, vinkelparentes
《	dobbelt vinkelparentes, parentes, venstre dobbelt vinkelparentes, vinkelparentes
》	dobbelt vinkelparentes, højre dobbelt vinkelparentes, parentes, vinkelparentes
「	hjørneparentes, parentes, venstre hjørneparentes
」	hjørneparentes, højre hjørneparentes, parentes
『	hjørneparentes, hul hjørneparentes, parentes, venstre hul hjørneparentes
』	hjørneparentes, hul hjørneparentes, højre hul hjørneparentes, parentes
【	linseformet parentes, linseparentes, parentes, sort linseparentes, venstre sort linseparentes
】	højre sort linseparentes, linseformet parentes, linseparentes, parentes, sort linseparentes
〔	parentes, skildpaddeparentes, skjoldparentes, venstre skjoldparentes
〕	højre skjoldparentes, parentes, skildpaddeparentes, skjoldparentes
〖	hul linseparentes, linseformet parentes, linseparentes, parentes, venstre hul linseparentes
〗	hul linseparentes, højre hul linseparentes, linseformet parentes, linseparentes, parentes
§	jura, lov, paragraf, paragraftegn, punkt
¶	a linea, afsnit, afsnitstegn, alinea, pilcrow
@	ampersat, at-tegn, commercial a, snabel-a
*️	asterisk, jokertegn, stjerne
/	skrå, skråstreg, soliduslinje
\	backslash, omvendt skråstreg, omvendt solidustegn
&	og, og-tegn
#️	antal, hash, hashtag, nummer
%	procent, procenttegn
‰	promille, promilletegn
†	daggert, kors, korstegn, skak
‡	daggert, dobbelt, dobbeltkors, dobbeltkorstegn, kors, mat, skakmat
•	prik, punkttegn
‧	bindeprik, bindestreg, prik, sammensætning, tankestreg
′	anførselstegn, citationstegn, enkelt anførselstegn, enkelt citationstegn
″	anførselstegn, citationstegn, dobbelt anførselstegn, dobbelt citationstegn
‴	anførselstegn, citationstegn, tredobbelt anførselstegn, tredobbelt citationstegn
‸	indskudstegn
※	henvisning, henvisningstegn, reference
⁂	asterisme, stjerner
`	accent, accent grave, grave, tone
´	accent, accent aigu, accenttegn, aigu, tone
^	accent, accent circumfleks, caret, chevron, circumfleks, eksklusiv eller, hat, kile, kontrol, pointer, potens, xeller, xor
¨	diaeresis, tréma, umlaut
°	grader, gradtegn, time
℗	copyright, copyright på lydoptagelse, lyd, lydoptagelse, optagelse
←	pil, pil til venstre, venstre, venstrepil
↚	venstrepil og skråstreg
→	højre, højrepil, pil, pil til højre
↛	højrepil og skråstreg
↑	op, opadgående pil, pil, pil op
↓	ned, nedadgående pil, pil ned
↜	bølget venstrepil
↝	bølget højrepil
↞	tohovedet venstrepil
↟	tohovedet pil op
↠	tohovedet højrepil
↡	tohovedet pil ned
↢	venstrepil med fjer
↣	højrepil med fjer
↤	venstrepil fra streg
↥	pil op fra streg
