:	двије тачке
‘	апостроф, лијеви апостроф, наводник, полунаводник, типографски наводник
“	двоструки наводници, лијеви наводник, наводник, наводници, типографски наводник
«	лијеви француски наводник
[	лијева угласта заграда
{	лијева витичаста заграда
〈	дијамантске заграде, заграда, лијева тупоугла заграда, н-торка, шиљаста заграда
《	лијева двострука тупоугла заграда
「	лијева једноугласта заграда
『	лијева шупља једноугласта заграда
【	црна лијева конкавна заграда
〔	лијева саћаста заграда
〖	лијева конкавна шупља заграда
§	дио, знак за одјељак, одјељак, параграф
*️	звјездица
⁂	астеризам, звјездице
°	степен, удио, час
←	лијево, стрелица, стрелица која показује налијево
↚	коса црта са стрелицом налијево
↓	доље, стрелица, стрелица која показује надоље
↜	таласаста стрелица налијево
↞	стрелица налијево са два врха
↡	стрелица надоље са два врха
↢	стрелица са репом налијево
↤	стрелица са цртом налијево
↧	стрелица са цртом надоље
↨	стрелица нагоре и надоље са базом
↫	стрелица налијево са петљом
↬	стрелица надесно са петљом
↭	таласаста стрелица са врхом налијево и надесно
↯	цик-цак стрелица надоље
↰	стрелица нагоре са врхом налијево
↲	стрелица надоље са врхом налијево
↳	стрелица надоље са врхом надесно
↴	стрелица надесно са углом надоље
↵	стрелица надоље са углом налијево
↶	полукружна стрелица у смјеру супротном од казаљке на сату
↷	полукружна стрелица у смјеру казаљке на сату
↸	стрелица са дугом цртом у смјеру сјеверозапада
↹	стрелица са цртом налијево изнад стрелице са цртом надесно
↺	отворена кружна стрелица у смјеру супротном од казаљке на сату
↻	отворена кружна стрелица у смјеру казаљке на сату
↼	харпун налијево са кукицом нагоре
↽	харпун налијево са кукицом надоље
↿	харпун нагоре са кукицом налијево
⇁	кукица, харпун надесно са кукицом надоље
⇂	кукица, харпун надоље са кукицом надесно
⇃	кукица, харпун надоље са кукицом налијево
⇄	стрелица удесно изнад стрелице налијево
⇅	горе, доље, стрелица, стрелица нагоре и стрелица надоље
⇆	десно, лијево, стрелица, стрелица налијево изнад стрелице надесно
⇇	упарене стрелице налијево
⇊	упарене стрелице надоље
⇋	харпун налијево изнад харпуна надесно
⇌	харпун надесно изнад харпуна налијево
⇐	двострука стрелица налијево
⇍	прецртана двострука стрелица налијево
⇓	двострука стрелица надоље
⇔	двострука стрелица налијево и надесно
⇎	прецртана двострука стрелица налијево и надесно
⇖	двострука стрелица нагоре и налијево
⇘	двострука стрелица надоље и надесно
⇙	двострука стрелица надоље и налијево
⇚	трострука стрелица налијево
⇜	кривудава стрелица налијево
⇟	двоструко прецртана стрелица надоље
⇠	испрекидана цртица налијево
⇣	испрекидана цртица надоље
⇤	стрелица налијево са цртом
⇦	празна стрелица налијево
⇩	празна стрелица надоље
⇵	стрелица надоље и стрелица нагоре
∀	било које, за све, све, универзално
∅	математика, оператор скупа, празан скуп
∉	елемент, није елемент
∋	елемент, садржи као члан
∏	Н-ти производ, логички, производ
÷	дијељење, знак дијељења, подијелити
∓	минус или плус, плус-минус
∕	запета, коса црта, коса црта за дијељење, црта
⁄	запета, коса црта за дијељење, разломачка коса црта
∗	звјездица, оператор у облику звјездице
√	квадратни, квадратни коријен, коријен, радикал
∟	математика, прав угао, прави угао
∣	дијељење, дјелилац
∧	логичка конјункција, логичко „и“
∩	пресјек
∾	обрнути лијени с
≦	математика, мање од изнад једнако, неједнакост
≪	математика, много мање од, неједнакост
≻	математика, оператор скупа, слиједи
⊁	математика, не слиједи, оператор скупа
⊕	plus, плус у кругу
⊘	знак дијељења у кругу, математика, налик дијељењу
⊛	звјездица, оператор, оператор у облику заокружене звјездице
⊱	математика, оператор скупа, слиједи испод релације
⋆	оператор, оператор у облику звијезде
⋒	двоструки пресјек, математика, оператор скупа, пресјек
⋱	дијагонална тротачка надоље десно, математика, тротачка
▧	квадрат са попуном од горе лијево према доље десно
▨	квадрат са попуном од горе десно према доље лијево
▼	доље, испуњен троугао окренут надоље, испуњено, стрелица, троугао
▽	празан троугао окренут надоље
▾	попуњени мали троугао окренут надоље
▿	празан мали троугао окренут надоље
◁	празан троугао окренут налијево
◂	попуњени мали троугао окренут налијево
◃	празан мали троугао окренут налијево
◄	попуњени показивач окренут налијево
◅	празан показивач окренут налијево
◐	круг са попуњеном левом половином, круг са попуњеном лијевом половином
◕	круг са празним горњим лијевим квадрантом
◖	лијева попуњена половина круга
◜	кружни лук горњег лијевог квадранта
◟	кружни лук доњег лијевог квадранта
◢	попуњени троугао доље десно
◣	попуњени троугао доље лијево
◤	попуњени троугао горе лијево
⪺	слиједи изнад није скоро једнако
😀	лице са широким осмијехом
😃	лице са одушевљеним осмијехом
😄	лице које се слатко смије
😁	лице са кезом
😆	лице са злочестим осмијехом
😅	лице са нервозним осмијехом
🤣	ваљање од смијеха
😂	лице са сузама радосницама
🙂	благо насмијано лице
🫠	лице се топи, нестајање, растапање, течно, топљење
😊	насмијано лице са насмијаним очима
😇	насмијано лице са ореолом
😍	насмијано лице са очима у облику срца
🤩	под срећном звијездом
😘	лице које шаље пољубац
☺️	насмијано лице
😙	лице које љуби са насмијаним очима
🥲	насмијано лице са сузом
😋	лице које ужива у укусној храни
🤪	лудачко лице
