‾	línea superpuesta, superposición, vinculum
_	guion, guion bajo, línea
-	guion, menos
‐	guion
–	guion, guion corto
―	barra, barra horizontal, guion, línea
‽	exclarrogativo, interrobang
.	punto, punto final
…	elipsis, omisión, puntos suspensivos
。	ideográfico, punto, punto final
‘	apóstrofe, apóstrofe izquierdo, comillas, comillas simples
’	apóstrofe, apóstrofo derecho, comillas, comillas simples
‚	apóstrofe derecho bajo, apóstrofo, comillas, comillas bajas
«	apertura, comillas angulares, comillas de apertura, comillas españolas, comillas francesas, diple de apertura
»	cierre, comillas angulares, comillas de cierre, comillas españolas, comillas francesas, diple de cierre
§	parte, párrafo, sección, signo de sección
†	daga, obelisco, signo de daga
‡	daga, doble, obelisco, signo de daga doble
•	punto, viñeta
‧	guion, punto, punto de unión con guion
‸	caret, intercalación
⁂	asterismo, estrellas, tres asteriscos
↴	flecha hacia abajo con punta hacia la esquina derecha
↵	flecha hacia abajo con punta hacia la esquina izquierda
↸	flecha hacia noroeste con barra
↾	arpón hacia arriba con flecha a la derecha, arpón hacia arriba con la punta hacia la derecha, punta
↿	arpón hacia arriba con flecha a la izquierda, arpón hacia arriba con la punta hacia la izquierda, punta
⇀	arpón hacia la derecha con flecha por arriba, punta
⇁	arpón hacia la derecha con flecha por debajo, punta
⇄	flecha a la derecha sobre flecha a la izquierda
⇅	abajo, apuntar, arriba, flecha, flecha doble hacia arriba y abajo, hacia abajo, hacia arriba
⇆	apuntar, derecha, flecha, flecha doble hacia la izquierda y derecha, hacia la derecha, hacia la izquierda, izquierda
⇇	par de flechas hacia la izquierda
⇈	par de flechas hacia arriba
⇉	par de flechas hacia la derecha
⇊	par de flechas hacia abajo
⇋	arpón a la izquierda sobre arpón a la derecha
⇌	arpón a la derecha sobre arpón a la izquierda
∉	no es un elemento de
∋	es un elemento de
∓	menos-más
∠	matemáticas, ángulo agudo
∴	por lo tanto
≤	igual, igual a, inecualidad, menor o igual que, menor que
≥	igual, igual a, inecualidad, mayor o igual que, mayor que
⊗	por dentro de círculo, producto tensorial
⋁	o lógico n-ario
⋮	elipsis, elipsis vertical, matemáticas, operador
⋯	elipsis, elipsis horizontal de línea media, matemáticas
⋰	elipsis, elipsis en diagonal hacia la derecha, matemáticas
⋱	elipsis, elipsis en diagonal hacia la izquierda, matemáticas
◉	círculo hueco con círculo relleno dentro, círculo punteado, círculo vacío con círculo relleno dentro, círculos concéntricos rellenos, división, ojo de pez
○	anillo, círculo, círculo vacío
◘	viñeta invertida
◙	cuadrado relleno con círculo vacío dentro, círculo vacío invertido
◜	arco de cuadrante superior izquierdo
◝	arco de cuadrante superior derecho
◞	arco de cuadrante inferior derecho
◟	arco de cuadrante inferior izquierdo
◯	anillo, círculo, círculo vacío grande
⨯	producto cruz, producto vectorial
⩣	Disyunción, o lógico sobre doble barra
⩽	menor o igual que con barra inclinada
⪺	sucede sobre no igual
😀	cara, contento, diente, divertido, felicidad, feliz, sonrisa
😃	boca abierta, cara, cara sonriente con boca abierta, divertido, risa, sonriendo, sonrisa, sonrisa boca abierta, sonrisa con boca abierta
😄	boca abierta, boca y ojos sonrientes, cara, cara feliz, dientes, divertido, ojos, ojos sonrientes, sonrisa, sonrisa ojos sonrientes
😁	cara, cara riendo con ojos sonrientes, cara y ojos sonrientes, dientes, divertido, feliz ojos sonrientes, ojo, ojos sonrientes, risa, sonrisa
😆	boca abierta, cara, cara sonriendo con los ojos cerrados, jajaja, jejeje, ojos cerrados, risa, sonrisa con boca abierta y ojos cerrados, sonrisa con los ojos cerrados, xd
😅	boca abierta, cara, frio, sonrisa, sonrisa boca abierta, sonrisa pero con sudor frío, sonrisa sudor frío, sonrisa y sudor frío, sudor, sudor frío
🤣	cara, cara llorando de risa, cara revolviéndose de la risa, carcajada, cómico, gracioso, jajajaja, jejejeje, llanto de felicidad, llanto de risa
😂	cara, cara con lágrimas de felicidad, cara llorando, cara llorando de risa, divertido, felicidad, feliz, jajajajajaja, jejejejejeje, lol
🙂	cara, cara sonriendo levemente, feliz, leve sonrisa, sonrisa, sonrisa leve
🙃	al revés, broma, cara, cara del revés, cara feliz, del revés, loco, sonreír
🫠	calor, cara avergonzada, cara que se derrite, derretirse, desaparecer, emoticones y emociones, sarcasmo, sarcástico, sonrisa, vergüenza
😉	;), ;-), apachando el ojo, cara, cara con guiño, guiñando el ojo, guiño, sexy
😊	cara, cara alegre, cara con ojos sonrientes, cara sonriente, feliz, ojos, ojos sonrientes, satisfecho, sonrisa, sonrojarse
😇	angelical, aureola, cara, cara sonriendo con aureola, feliz, inocente, sonriente con aureola, sonrisa, sonrisa con aureola, ángel
