‐	ʊbɔcǝra
,	ʊŋur
;	ʊyiɖuŋur
:	ʊkʊɖʊ
!	biti
?	ʊtabʊ
.	ʊyiɖu
…	ʊsaaʊ̀
%	ɩshɩnʊn nɩ
‰	miili nɩ
+	ʊpelu
÷	ʊyʊgʊ
×	akpalá
=	ɩ lee
−	ʊfaaʊ
🐕️	asna
¤	gɩtanɩɩ kʊyɔʊ ʊ mana ma
֏	Armenii kaɖram
؋	Afganistan kahafganii
৳	Baŋglaɖɛɛshɩ kataka
฿	Taɩlanɖ kabaatɩ
៛	Kamboɖiya kariyɛl
₡	Kɔsta Rikaa kakolɔn
₦	Nanjiiriya kanɛɛra
₪	Yishraɛl kashekɛl afɔlɩ
₫	Fɛtnam kaɖɔŋgɩ
₭	Lawɔs kakip
₮	Mɔŋgolii katugiriiki
₲	Paraguwee kaguwarani
₴	Ikrɛɛn karifniya
₵	Gana kasiɖi
₸	Kasastan katɛŋgɛ
₺	Turkii kalira
₼	Asɛrbaɩjaŋ kamanaatɩ
₾	Jɔrjiya kalari
