‾	linha, linha superior, superior
_	sublinhado, traço baixo
-	hífen, menos, traço
‐	hífen, traço, traço de união, união
–	meia-risca, traço
—	travessão, traço
―	barra, barra horizontal, horizontal, linha, traço
・	intercalar, katakana, mediano, ponto, ponto mediano katakana
,	vírgula
،	vírgula, vírgula árabe, árabe
、	ideográfica, vírgula, vírgula ideográfica
;	ponto e vírgula
؛	ponto e vírgula, ponto e vírgula árabe, árabe
:	dois pontos
!	atenção, exclamação, ponto, ponto de exclamação
¡	atenção, exclamação, invertido, ponto, ponto de exclamação invertido
?	interrogação, pergunta, ponto, ponto de interrogação
¿	interrogação, invertido, ponto, ponto de interrogação invertido
؟	interrogação, ponto, ponto de interrogação árabe, árabe
‽	interrobangue
.	final, ponto, ponto final
…	omissão, pontos, reticências, três pontos
。	final, ideográfico, ponto, ponto ideográfico
·	mediano, médio, ponto, ponto mediano
'	apóstrofo, apóstrofo da máquina de escrever, aspas, escrever, máquina, simples
‘	apóstrofo, apóstrofo esquerdo, aspas, esquerdo, simples
’	apóstrofo, apóstrofo direito, aspa, direito, simples, única
‚	apóstrofo, apóstrofo inferior direito, aspas, direito, inferior, inferiores
“	aspas, aspas esquerdas, citação, duplas, esquerdas, inteligente
”	aspas, aspas direitas, citação, direitas, duplas, inteligente
„	aspas, aspas inferiores direitas, citação, direitas, duplas, inferiores, inteligente
«	aspas, aspas em linha para a esquerda, chevron, duplas, esquerda, francesas, ângulo
»	aspas, aspas em linha para a direita, chevron, direita, direção, francesas, ângulo
)	colchete, fechamento, parêntese, parêntese de fechamento, redondo
[	abertura, colchete, colchete quadrado de abertura, quadrado
]	colchete, colchete quadrado de fechamento, fechamento, quadrado
{	abertura, chave, chave de abertura, esquerda
}	chave, chave de fechamento, direita, fechamento
〈	abertura, angular, chevron, colchete, colchete angular de abertura, esquerdo, seta
〉	angular, chevron, colchete, colchete angular de fechamento, direito, fechamento, seta
《	abertura, angular, chevron, colchete, colchete angular duplo de abertura, duplo
》	angular, chevron, colchete, colchete angular duplo de fechamento, duplo, fechamento
「	abertura, japonês, kagikakko, parêntese, parêntese japonês kagikakko de abertura
」	fechamento, japonês, kagikakko, parêntese, parêntese japonês kagikakko de fechamento
『	abertura, duplo, japonês, kagikakko, parêntese, parêntese kagikakko duplo de abertura
』	duplo, fechamento, japonês, kagikakko, parêntese, parêntese kagikakko duplo de fechamento
【	abertura, colchete, colchete lenticular preto de abertura, lenticular, preto
】	colchete, colchete lenticular preto de fechamento, fechamento, lenticular, preto
〔	abertura, casco, casco de tartaruga, colchete, colchete casco de tartaruga de abertura
〕	casco, casco de tartaruga, colchete, colchete casco de tartaruga de fechamento, fechamento
〖	abertura, branco, colchete, colchete lenticular branco de abertura, lenticular
〗	branco, colchete, colchete lenticular branco de fechamento, fechamento, lenticular
§	parte, parágrafo, seção, símbolo
¶	caldeirão, parágrafo, pé de mosca
@	arobase, arroba, e-mail, sinal
*️	asterisco, curinga, estrela
/	barra, oblíqua, sólida
\	barra, barra inversa, inversa, invertida
&	ampersand, e, e comercial, sinal, tironiano
#️	cerquilha, hashtag, número
%	percentagem, por cento, porcentagem
