‾	ustidan chop etish, ustki chiziq, vinkulum
_	liniya, pastki chiziq, pastki chiziqcha, pastki tire
-	chiziqcha, minus, minus-chiziqcha, tire
‐	chiziqcha, defis
–	qisqa tire
—	uzun tire
―	gorizontal chiziq, liniya, tire
・	katakana, katakanada oraliq nuqta, nuqta, oraliq
,	vergul
،	arabcha, arabcha vergul, vergul
、	ideografik, ideografik vergul, vergul
;	nuqta-vergul, nuqtali vergul
؛	arabcha, arabcha nuqtali vergul, nuqta-vergul, nuqtali vergul
:	ikki nuqta, ikki-nuqta
!	Undov belgisi, belgi, tinish belgisi, undov
¡	belgi, teskari, teskari undov belgisi, tinish belgisi, undov, undov belgisi
?	soʻroq, soʻroq belgisi
¿	soʻroq, soʻroq belgisi, teskari, teskari soʻroq belgisi
؟	arabcha, arabcha soʻroq belgisi, soʻroq, soʻroq belgisi
‽	interabang, interrobang
.	davr, nuqra, nuqta
…	koʻp nuqta, nuqtalar, uch nuqta
。	gap oxiri, ideografik, ideografik nuqta, nuqta
·	chiziqcha, nuqta, o‘rtadagi, o‘rtadagi nuqta
'	apostrof, bir tirnoq, tutuq belgisi, yozuv mashinkasi apostrofi
‘	apostrof, bir tirnoq, chap apostrof, iqtibos, tutuq belgisi
’	apostrof, bir tirnoq, iqtibos, oʻng apostrof, tutuq belgisi
‚	apostrof, pastki oʻng apostrof, pastki tirnoq
“	chap qoʻshtirnoq belgisi, iqtibos, qoʻshtirnoq
”	Oʻng qoʻshtirnoq belgisi, iqtibos, qoʻshtirnoq
„	iqtibos, pastki oʻng qoʻshtirnoq belgisi, pastki qoʻshtirnoq, qoʻshtirnoq
«	burchak, chap, chap bosma qo‘shtirnoq, ikkitali burchakli qo‘shtirnoq, kare belgisi, qavs, quote
»	burchak, ikkitali burchakli qo‘shtirnoq, kare belgisi, o‘ng, o‘ng bosma qo‘shtirnoq, qavs, quote
)	qavs, qavsni yopish, yopiluvchi qavs
[	kvadrat qavs, ochiluvchi kvadrat qavs, qavsni ochish
]	kvadrat qavs, qavsni yopish, yopiluvchi kvadrat qavs
{	figurali qavs, ochiluvchi figurali qavs, oqcharloq qanoti, qanotli qavs
}	figurali qavs, oqcharloq qanoti, qanotli qavs, yopiluvchi figurali qavs
〈	ochiluvchi uchburchak qavs, olmos qavs, qirrali qavs, uchburchak qavs
〉	olmos qavs, qirrali qavs, uchburchak qavs, yopiluvchi uchburchak qavs
《	juft uchburchak qavs, ochiluvchi juft uchburchak qavs, qavs
》	juft uchburchak qavs, qavs, yopiluvchi juft uchburchak qavs
「	burchakli qavs, ochiluvchi burchakli qavs, qavs
」	burchakli qavs, qavs, yopiluvchi burchakli qavs
『	boʻsh burchakli qavs, ochiluvchi boʻsh burchakli qavs, qavs
』	boʻsh burchakli qavs, qavs, yopiluvchi boʻsh burchakli qavs
【	linzali qavs, ochiluvchi qora linzali qavs, qavs
】	linzali qavs, qavs, yopiluvchi qora linzali qavs
〔	ochiluvchi yoysimon toshbaqakosa qavs, qavs, toshbaqakosa qavs, yoysimon qavs
〕	qavs, toshbaqakosa qavs, yopiluvchi yoysimon toshbaqakosa qavs, yoysimon qavs
〖	boʻsh linzali qavs, ochiluvchi boʻsh linzali qavs, qavs
〗	boʻsh linzali qavs, qavs, yopiluvchi boʻsh linzali qavs
§	bo‘lim, paragraf
¶	abzats, belgi, paragraf, pilkrou, xatboshi, xatboshi belgisi
@	at belgisi, kuchuk, kuchukcha, tijoriy at
*️	asterisk, yulduz, yulduzcha
/	qiya, qiya chiziq, slesh
\	bekslesh, chiziq, qiya, teskari, teskari qiya chiziq
&	ampersand, va
#️	funt, heshteg, panjara, panjara belgisi, raqam
%	foiz, protsent
‰	milliondan bir, promille
†	dagger, dragger belgisi, obelisk, obelus belgisi
‡	dagger, ikkitali, ikkitali dragger belgisi, obelisk, obelus belgisi
•	nuqta, qalin nuqta, tugma
‧	boʻgʻin koʻchirish, boʻgʻin koʻchirish nuqtasi, chiziqcha, nuqta
′	kertma, prim, shtrix
″	ikkitalik kertma, kertma, qoʻsh kertma
‴	uch kertma, uchtalik kertma
‸	karet
※	belgi, havola, havola belgisi
⁂	uch yulduz, yulduzchalar, yulduzlar
`	gravis, urgʻu
´	akut, urgʻu
^	kuch, nazorat, simkumfleks, sirkumfleks, tom, urgʻu, uycha
¨	diyerezis, trema, umlaut
°	daraja, isbot, soat
℗	mualliflik huquqi, ovozli, ovozli yozuv mualliflik huquqi belgisi, yozuv
←	chapga, chapga qaragan chiziq, chiziq
↚	qayta chizilgan chapga strelka
→	chiziq, o‘ngga, o‘ngga qaragan chiziq
↛	qayta chizilgan oʻngga strelka
↑	chiziq, yuqoriga, yuqoriga qaragan chiziq
↓	chiziq, pastga, pastga qaragan chiziq
↜	toʻlqinli chapga strelka
↝	toʻlqinli oʻngga strelka
↞	ikki boshli chapga strelka
↟	ikki boshli yuqoriga strelka
↠	ikki boshli oʻngga strelka
↡	ikki boshli pastga strelka
↢	dumli chapga strelka
↣	dumli oʻngga strelka
↤	tekis dumli chapga strelka
↥	tekis dumli yuqoriga strelka
↦	tekis dumli oʻngga strelka
↧	tekis dumli pastga strelka
↨	asosi bilan yuqoriga-pastga strelka
↫	ilmoqli chapga strelka
↬	ilmoqli oʻngga strelka
↭	toʻlqinli chapga-oʻngga strelka
↯	zigzagsimon pastga strelka
↰	chapga burilgan yuqoriga strelka
↱	oʻngga burilgan yuqoriga strelka
↲	chapga burilgan pastga strelka
↳	oʻngga burilgan pastga strelka
↴	burchak ostida pastga burilgan oʻngga strelka
↵	burchak ostida chapga burilgan pastga strelka
↶	soat miliga qarshi yarim aylana strelka
↷	soat mili boʻyicha yarim aylana strelka
↸	uzun chiziq ostida shimoli-gʻarbga strelka
↹	perpendikulyar chiziqli oʻngga strelka ostidagi chapga strelka
↺	soat miliga qarshi ochiq aylana strelka
↻	soat mili boʻyicha ochiq aylana strelka
↼	nayza, tishi yuqoriga qaragan chapga nayza
↽	tishi pastga qaragan chapga nayza
↾	nayza, tishi oʻngga qaragan yuqoriga nayza
↿	nayza, tishi chapga qaragan yuqoriga nayza
⇀	nayza, tishi yuqoriga qaragan oʻngga nayza
⇁	nayza, tishi pastga qaragan oʻngga nayza
⇂	nayza, tishi oʻngga qaragan pastga nayza
⇃	nayza, tishi chapga qaragan pastga nayza
⇄	chapga strelka ustidagi oʻngga strelka
⇅	chiziq, pastga, yuqoriga, yuqoriga va pastga qaragan chiziqlar
⇆	chapga, chiziq, o‘ngga, o‘ngga qaragan chiziq ustidagi chapga qaragan chiziq, o‘ngga qaragan chiziq ustidagi chapga qaragan chiziqlar
⇇	chapga juft strelka
⇈	yuqoriga juft strelka
⇉	oʻngga juft strelka
⇊	pastga juft strelka
⇋	oʻngga nayza ustidagi chapga nayza
⇌	chapga nayza ustidagi oʻngga nayza
⇐	chapga qoʻsh strelka
⇍	chiziq tortilgan chapga qoʻsh strelka
⇑	yuqoriga qoʻsh strelka
⇒	oʻngga qoʻsh strelka
⇏	chiziq tortilgan oʻngga qoʻsh strelka, oʻngga qoʻsh strelka
⇓	pastga qoʻsh strelka
⇔	chapga-oʻngga qoʻsh strelka
⇎	chiziq tortilgan chapga-oʻngga qoʻsh strelka
⇖	shimoli-gʻarbga qoʻsh strelka
⇗	shimoli-sharqqa qoʻsh strelka
⇘	janubi-sharqqa qoʻsh strelka
⇙	janubi-gʻarbga qoʻsh strelka
⇚	chapga uch strelka
⇛	oʻngga uch strelka
⇜	egri-bugri chapga strelka
⇝	egri-bugri oʻngga strelka
⇞	qoʻsh chiziqli yuqoriga strelka
⇟	qoʻsh chiziqli pastga strelka
⇠	nuqtali chapga strelka
⇡	nuqtali yuqoriga strelka
⇢	nuqtali oʻngga strelka
⇣	nuqtali pastga strelka
⇤	chiziqqa taqaluvchi chapga strelka
⇥	chiziqqa taqaluvchi oʻngga strelka
⇦	ichi boʻsh chapga strelka
⇧	ichi boʻsh yuqoriga strelka
⇨	ichi boʻsh oʻngga strelka
⇩	ichi boʻsh pastga strelka
⇪	toʻgʻri toʻrtburchakli ichi boʻsh yuqoriga strelka
⇵	yuqoridan pastga va pastdan yuqoriga strelka
∀	barcha, berilgan, hamma, hamma uchun, universal
∂	differensial, qisman differensial
∃	mavjud
∅	boʻsh toʻplam, matematika
∆	ortish belgisi, uchburchak
∇	nabla, uchburchak
∈	a’zolik, element, elementi hisoblanadi, tashkil topadi, to‘plam
∉	element, element emas
∋	aʼzo sifatida kiradi, element
∎	qabrtosh, qora tosh, yakuniy dalil
∏	asar, mahsulot, mantiq
∑	matematika, summa
+	plus, plus belgisi, qoʻshish
±	plus-minus
÷	bo‘linish, bo‘lish, bo‘lish belgisi, obelus belgisi
×	ko‘paytirish, ko‘paytirish belgisi, marta
<	kichik, kichikroq, taqqoslash, teg, tegni ochish
≮	kichik emas, matematika, tengsizlik
=	barobar, teng
≠	teng emas, tengsizlik, tengsizlik belgisi
>	katta, kattaroq, taqqoslash, teg, tegni yopish
≯	katta emas, matematika, tengsizlik
¬	inkor, yoʻq
|	bar, ustun, vertikal chiziq, vertikal liniya
~	tilda, toʻlqinli chiziq
−	ayirish, minus, minus belgisi
⁻	ayirish belgisi, satr ustidagi, satr ustidagi ayirish belgisi
∓	minus yoki plyus, plyus-minus
