‾	brūkšnys viršuje
_	apatinis brūkšnys, apatinė linija, brūkšnys, linija, pabraukti
-	brūkšnelis, brūkšnys, minusas, minuso brūkšnelis
‐	brūkšnelis, brūkšnys
–	brūkšnys
—	brūkšnys, ilgasis, ilgasis brūkšnys
―	brūkšnys, horizontalus brūkšnys, linija
・	katakana, katakana vidurinis taškas, taškai, vidurinis, vidurinis taškas
,	kablelis, skyryba
،	arabų k., arabų k. kablelis, kablelis
、	ideografinis, ideografinis kablelis, kablelis
;	kabliataškis, skyryba
؛	arabų k., arabų k. kabliataškis, kabliataškis
:	dvitaškis
!	staiga, šauktukas, šauktuko ženklas
¡	apverstas, apverstas šauktukas, staiga, šauktukas, šauktuko taškas, šauktuko ženklas
?	klausimas, klaustukas
¿	apverstas, apverstas klaustukas, klausimas, klaustukas
؟	arabų k., arabų k. klaustukas, klausimas, klaustuko ženklas
‽	klaustukas ir šauktukas
.	sakino pabaigos ženklas, taškas, taškelis
…	daugtaškis, praleidimo simbolis
。	ideografinis, ideografinis taškas, sakinio pabaigos ženklas, taškas
·	interpunktas, taškas, vidurinysis
'	apostrofas, kabutė, tiesusis apstrofas, vienguba kabutė
‘	apostrofas, išmani kabutė, kabutė, kairysis apostrofas, vienguba kabutė
’	apostrofas, dešinysis apostrofas, išmani kabutė, kabutė, vienguba kabutė
‚	apatinis apostrofas, apatinis dešinysis apostrofas, apatinė kabutė, kabutė
“	dvigubos kabutės, išmani kabutė, kabutė, kabutės, kairiosios kabutės
”	dešiniųjų kabučių ženklas, dvigubos kabutės, išmaniosios kabutės, kabutės, kabučių ženklas
„	apatinės dešiniosios kabutės, dvigubos kabutės, išmaniosios kabutėstion, kabutės, kabučių ženklas, low quotation
«	atidaromosios laužtinės kabutės, kabutės, kairiosios, laužtinės, uždaromosios
»	dešiniosios, kabutės, laužtinės, uždaromosios, uždaromosios laužtinės kabutės
)	skliaustas, skliaustelis, skliausti, uždaromasis, uždaromasis skliaustas
[	atidaromasis laužtinis skliaustas, laužtinis skliaustas
]	laužtinis skliaustas, uždaromasis laužtinis skliaustas
{	atidaromasis riestinis skliaustas, riestinis skliaustas
}	riestinis skliaustas, uždaromasis riestinis skliaustas
〈	atidaromasis, atidaromasis kampinis skliaustas, deimanto formos skliaustas, kampinis skliaustas
〉	deimanto formos skliaustas, kampinis skliaustas, uždaromasis, uždaromasis kampinis skliaustas
《	atidaromasis dvigubas kampinis skliaustas, dvigubas kampinis skliaustas, skliaustas
》	dvigubas kampinis skliaustas, skliaustas, uždaromasis dvigubas kampinis skliaustas
「	atidaromasis pusinio kampo skliaustas, skliaustas
」	skliaustas, uždaromasis pusinio kampo skliaustas
『	atidaromasis tuščiavidurio pusinio kampo skliaustas, skliaustas
』	skliaustas, uždaromasis tuščiavidurio pusinio kampo skliaustas
【	atidaromasis juodo lęšio formos skliaustas, juodo lęšio formos skliaustas, lęšio formos skliaustas, skliaustas
】	juodo lęšio formos skliaustas, lęšio formos skliaustas, skliaustas, uždaromasis juodo lęšio formos skliaustas
〔	atidaromasis, atidaromasis vėžlio kiauto formos skliaustas, skliaustas, vėžlio kiauto formos skliaustas
〕	skliaustas, uždaromasis, uždaromasis vėžlio kiauto formos skliaustas, vėžlio kiauto formos skliaustas
〖	atidaromasis tuščiaviduris lęšio formos skliaustas, skliaustas, tuščiaviduris, tuščiaviduris lęšio formos
