‾	ülakriips
_	alajoon, alakriips, joon, kriips
-	keskkriips, kriips, miinus, sidekriips-miinus
‐	kriips, sidekriips
–	N, N-kriips, enn-kriips, kriips
—	M, M-kriips, emm-kriips, kriips
―	horisontaaljoon, joon, kriips, mõttekriips
・	katakana, katakana keskmine punkt, keskpunkt, punktid, vahepunkt
,	koma
،	araabia, araabia koma, koma
、	ideograafiline, ideograafiline koma, koma
;	semikoolon
؛	araabia, araabia semikoolon, semikoolon
:	koolon
!	hüüatus, hüüumärk
¡	hüüatus, hüüumärk, pöördhüüumärk, tagurpidi
?	küsimus, küsimärk
¿	küsimus, küsimärk, pöördküsimärk, tagurpidi
؟	araabia, araabia küsimärk, küsimus, küsimärk
‽	interabang, interrobang
.	lauselõpumärk, punkt
…	kolm punkti, mõttepunktid, väljajätt
。	ideograafiline, ideograafiline punkt, punkt
·	keskmine, keskmine punkt, punkt, vahepunkt
'	jutumärgid, kirjutusmasina stiilis ülakoma, viide, ühekordsed jutumärgid, ülakoma
‘	jutumärgid, nutikad jutumärgid, vasakule kaldu ülakoma, viide, ühekordsed jutumärgid, ülakoma
’	jutumärgid, nutikad jutumärgid, paremale kaldu ülakoma, viide, ühekordsed jutumärgid, ülakoma
‚	alumine jutumärk, alumine ühekordne jutumärk, jutumärgid, ühekordne jutumärk
“	jutumärgid, nutikad jutumärgid, tsitaat, vasakule kaldu jutumärk, viitamine
”	jutumärgid, nutikad jutumärgid, paremale kaldu jutumärk, tsitaat, viitamine
„	alumine jutumärk, jutumärgid, nutikad jutumärgid, tsitaat, viitamine
«	nurk, nurksulud, topeltnool vasakule, tsitaat, vasak, vasaknooled
»	nurk, nurksulud, parem, paremnooled, topeltnool paremale, tsitaat
)	lõpusulg, sulg, sulud, ümarsulg
[	kandiline algussulg, kandiline sulg, kantsulg, sulg
]	kandiline lõpusulg, kandiline sulg, kantsulg, sulg
{	loogeline algussulg, loogeline sulg, looksulg, sulg
}	loogeline lõpusulg, loogeline sulg, looksulg, sulg
〈	algusnurksulg, nurksulg, sulg
〉	lõpunurksulg, nurksulg, sulg
《	noolekujuline algusjutumärk, noolekujuline jutumärk, nurksulg, sulg
》	noolekujuline jutumärk, noolekujuline lõpujutumärk, nurksulg, sulg
「	algusnurgasulg, nurgasulg, sulg
」	lõpunurgasulg, nurgasulg, sulg
『	kahekordne algusnurgasulg, kahekordne nurgasulg, sulg
』	kahekordne lõpunurgasulg, kahekordne nurgasulg, sulg
【	läätsekujuline sulg, läätsekujulised sulud, sulg, tume läätsekujuline algussulg
】	läätsekujuline sulg, läätsekujulised sulud, sulg, tume läätsekujuline lõpusulg
〔	sulg, sulud, ümar algussulg, ümarsulg
〕	sulg, sulud, ümar lõpusulg, ümarsulg
〖	läätsekujuline algussulg, läätsekujuline sulg, läätsekujulised sulud, sulg
〗	läätsekujuline lõpusulg, läätsekujuline sulg, läätsekujulised sulud, sulg
§	jaotis, osa, paragrahv
¶	paragrahv, paragrahvimärk
@	kommertsmärk, ätt, ätt-märk
*️	metamärk, täht, tärn
/	kaldkriips, kaldu, kriips
\	kurakriips, längkriips
&	ampersand, ja, ja-märk
#️	number, trellid, trellimärk, trellsilt
%	protsendimärk, protsent
‰	promill, promillimärk
†	pistoda, rist, ristimärk
‡	pistoda, topelt, topeltristi märk
•	mumm, punkt
‧	kriips, poolitusmärk, poolituspunkt, punkt
′	priim
″	priim, topeltpriim
‴	kolmekordne priim, priim
‸	katus
※	viitemärk
⁂	asterism, dinkus, tähed
`	graavis, hääldus, rõhk
´	akuut, rõhk, toon
^	aktsent, katus, rõhk, rööpnool, tsirkumfleks
¨	treema, täpid
°	kraad, proov, tund
℗	autoriõigus, heli, helisalvestise autoriõigus, salvestamine
←	nool, vasak, vasaknool
↚	sirge vasaknool
→	nool, parem, paremnool
↛	sirge paremnool
↑	nool, üles, ülesnool
↓	alla, allanool, nool
↜	laineline vasaknool
↝	laineline paremnool
↞	kahe peaga vasaknool
↟	kahe peaga ülesnool
↠	kahe peaga paremnool
↡	kahe peaga allanool
↢	sabaga vasaknool
↣	sabaga paremnool
↤	vasakule nool ribast
↥	ülesnool ribast
↦	nool, paremale, paremale nool ribast, riba
↧	allanool ribast
↨	ülesnool alusega
↫	vasakule noolega silmus
↬	paremale noolega silmus
↭	vasakule-paremale laineline nool
↯	sakiline allanool
↰	üles vasakule pöörav nool
↱	üles paremale pöörav nool
↲	alla vasakule pöörav nool
↳	alla paremale pöörav nool
↴	paremale nurgaga alla nool
↵	alla nurgaga vasakule nool
↶	vastupäeva ülemise poolkaarega nool
↷	päripäeva ülemise poolkaarega nool
↸	loodesse nool pika ribaga
↹	nool, parem, peal, riba, ribaga vasaknool ribaga paremnoole peal, vasak
↺	avatud, nool, ringiga, vastupäeva, vastupäeva avatud ringiga nool
↻	avatud, nool, päripäeva, päripäeva avatud ringiga nool, ringiga
↼	harpuun, kisk, vasak, vasakule harpuun ülemise kiskuga, ülemine
↽	alumine, harpuun, kisk, vasak, vasakule harpuun alumise kiskuga
↾	harpuun, kisk, parem, üles, üles harpuun parema kiskuga
↿	kisk, üles harpuun vasaku kiskuga
⇀	kisk, paremale harpuun ülemise kiskuga
⇁	alumine, harpuun, kisk, parem, paremale harpuun alumise kiskuga
⇂	alla, alla harpuun parema kiskuga, harpuun, kisk, parem
⇃	alla, alla harpuun vasaku kiskuga, harpuun, kisk, vasak
⇄	paremnool vasaknoole kohal
⇅	alla, nool, üles, ülesnool ja allanool
⇆	nool, parem, vasak, vasaknool paremnoole kohal
⇇	paaris vasaknooled
⇈	paaris ülesnooled
⇉	paaris paremnooled
⇊	paaris allanooled
⇋	vasakharpuun paremharpuuni peal
⇌	paremharpuun vasakharpuuni peal
⇐	topelt-vasaknool
⇍	läbikriipsutatud topelt-vasaknool
⇑	topelt-ülesnool
⇒	nool, parem, topelt, topelt-paremnool
⇏	läbikriipsutatud, läbikriipsutatud topelt-paremnool, nool, parem, topelt
⇓	topelt-allanool
⇔	nool, parem, topelt, vasak, vasakule-paremale topeltnool
⇎	läbikriipsutatud, nool, parem, topelt, vasak, vasak-parem läbikriipsutatud topeltnool
⇖	topeltnool loodesse
⇗	topeltnool kirdesse
⇘	topeltnool kagusse
⇙	topeltnool edelasse
⇚	kolmiknool vasakule
⇛	kolmiknool paremale
⇜	väänlev vasaknool
⇝	väänlev paremnool
⇞	topeltkriipsudega ülesnool
⇟	topeltkriipsudega allanool
⇠	katkendlik vasaknool
⇡	katkendlik ülesnool
⇢	katkendlik paremnool
⇣	katkendlik allanool
⇤	vasaknool ribani
⇥	paremnool ribani
⇦	seest tühi vasaknool
⇧	seest tühi ülesnool
⇨	seest tühi paremnool
⇩	seest tühi allanool
⇪	seest tühi ülesnool tulbast
⇵	alla, allanool vasakul ülesnool paremal, nool, vasak, üles
∀	antud, kõigi jaoks, kõik, mis tahes, universaalne
∂	osatuletis
∃	on olemas
∅	hulk, matemaatika, operaator, tühi, tühihulk
∆	juurdekasv, kolmnurk
∇	kolmnurk, nabla
∈	element, hulk, kuulub hulka, sisaldab
∉	ei kuulu hulka
∋	sisaldab liiget
∎	tõestuse lõpp
∏	korrutis
∑	matemaatika, n-ary, summa
+	liitmine, pluss, plussmärk
±	pluss-miinus
÷	jaga, jagamine, jagamismärk
×	korda, korrutamine, korrutusmärk
<	algusmärgend, märgend, väiksem kui
≮	ebavõrdsus, kui, matemaatika, mitte, mitte väiksem kui, väiksem
=	võrdne, võrdub, võrdusmärk
≠	ebavõrdsus, ei võrdu, mittevõrdne
>	lõpumärgend, märgend, suurem kui
≯	ebavõrdsus, kui, matemaatika, mitte, mitte suurem kui, suurem
¬	eitus, mitte
|	joon, kriips, püstjoon, püstkriips, vertikaaljoon, vertikaalkriips
~	tilde
−	lahutamine, miinus, miinusmärk
⁻	miinus, ülakiri, ülamiinus
∓	miinus, miinus või pluss, pluss, pluss-miinus, või
∕	jagamise kaldkriips, kaldkriips, kriips
⁄	kaldkriips, kriips, murru kaldkriips
∗	tärn, tärnimärk
∘	kompositsioon, ringimärk, tehtemärk
∙	operaator, täppmärk
√	juur, radikaal, ruut, ruutjuur, surd
∝	proportsionaalne, proportsionaalsus
∞	lõpmatus, lõpmatuse märk
∟	matemaatika, nurk, parem, paremnurk
∠	nurk, terav
∣	jagaja, jagatud
∥	paralleelne
∧	loogiline ja
∩	hulk, lõikumine
∪	hulk, kogu, union
∫	arvutus, integraal
∬	arvutus, topeltintegraal
∮	arvutus, kontuurintegraal
∴	järelikult, loogika
∵	loogika, sest
∶	suhe
∷	proportsionaalsus, proportsioon
∼	tehtemärk, tehtemärk tilde, tilde
∽	tagurpidi, tagurpidi tilde, tilde
∾	horisontaal- ja pöördasendis s, horisontaalne, pööratud, s
≃	asümptoot, asümptootiliselt võrdne, matemaatika
≅	isomorfism, kongruentsus, ligikaudu, ligikaudu võrdne, matemaatika, võrdne, võrdsus
≈	ligikaudne, ligikaudsus, võrdub ligikaudu
≌	kõik, kõik võrdsed, matemaatika, võrdsed, võrdsus
≒	pilt ligikaudu võrdne
≖	matematika, ring, ringiga võrdusmärk, võrdusmärk
≡	identne, kolm kriipsu, täpselt
≣	matemaatika, rangelt samaväärne, võrdus
≤	ebavõrdsus, väiksem kui, väiksem või võrdne, võrdne, võrdub
≥	ebavõrdsus, suurem kui, suurem või võrdne, võrdne, võrdub
≦	kui, matemaatika, väiksem, väiksem kui või võrdne, võrdne, võrdsus
≧	kui, matemaatika, suurem, suurem kui või võrdne, võrdne, võrdsus
≪	ebavõrdsus, kui, matemaatika, palju, palju väiksem kui, väiksem
≫	ebavõrdsus, kui, matemaatika, palju, palju suurem kui, suurem
≬	vahemikus
≳	ebavõrdsus, ekvivalentne, kui, matemaatika, suurem, suurem kui ekvivalentne
≺	eelneb, hulk, matemaatika, tehtemärk
≻	hulk, järgneb, matemaatika, tehtemärk
⊁	eelne, ei, ei eelne, hulk, matemaatika, tehtemärk
⊂	alamhulk, hulk, kuulub alamhulka, pärisalamhulk
⊃	hulgaoperaator, matemaatika, pärisülemhulk
⊆	alamhulk
⊇	matemaatika, võrdus, ülemhulk
⊕	plussmärk ringis
⊖	erosioon, miinusmärk, miinusmärk ringis, ringis, sümmeetriline
⊗	korrutusmärk ringis
⊘	jagamismärk, jagamismärk ringis, matemaatika, ringis
⊙	XNOR, operaator, punkt ringis operaator
⊚	operaator, ring, ring ringis operaator, ringis
⊛	operaator, ringis, tärn, tärn ringis operaator
⊞	matemaatika, pluss, pluss ruudus, ruudus
⊟	matemaatika, miinus ruudus
⊥	eet, falsum
⊮	ei sunni
⊰	eelneb suhte all, hulga operaator, matemaatika
⊱	hulga operaator, järgneb suhte all, matemaatika
⋭	ei sisalda nagu tavaline alarühma võrdne, matemaatika, rühmateooria
⊶	originaal
⊹	adjungeeritud maatriks, hermiitiline kaasmaatriks, kaasmaatriks, matemaatika
⊿	matemaatika, täisnurkne kolmnurk
⋁	loogiline või
⋂	hulkade ühisosa
⋃	hulkade ühend
⋅	operaator, täpi operaator
⋆	operaator, tähe operaator
⋈	binaarne operaator, kikilips, naturaalne liide
⋒	hulga operaator, kahekordne lõikepunkt, lõikepunkt, matemaatika
⋘	väga palju väiksem kui
⋙	matemaatika, väga palju suurem kui, võrratus
⋮	kolm punkti, matemaatika, vertikaalsed kolm punkti
⋯	keskjoone horisontaalsed kolm punkti, kolm punkti
⋰	digonaalsed, kolm, matemaatika, paremale, paremale üles digonaalsed kolm punkti, punkti, üles
⋱	kolm punkti, matemaatika, paremale alla diagonaalsed kolm punkti
■	täidetud ruut
□	seest tühi ruut
▢	ümarate nurkadega seest tühi ruut
▣	täidetud ruut seest tühja ruudu sees
▤	rõhtsate triipudega ruut
▥	püstiste triipudega ruut
▦	ortogonaalse ristviirutusega ruut
▧	ülevalt vasakult alla paremale viirutusega ruut
▨	ülevalt paremalt alla vasakule viirutusega ruut
▩	diagonaalse ristviirutusega ruut
▬	täidetud ristkülik
▭	seest tühi ristkülik
▮	täidetud püstine ristkülik
▰	täidetud rööpkülik
▲	kolmnurk, nool, täidetud, täidetud üles-kolmnurk, üles
△	seest tühi kolmnurk tipuga üleval
▴	täidetud väike kolmnurk tipuga üleval
▵	seest tühi väike kolmnurk tipuga üleval
▷	seest tühi kolmnurk tipuga paremal
▸	täidetud väike kolmnurk tipuga paremal
▹	seest tühi väike kolmnurk tipuga paremal
►	täidetud viit paremale
▻	seest tühi viit paremale
▼	alla, kolmnurk, nool, täidetud, täidetud alla-kolmnurk
▽	seest tühi kolmnurk tipuga all
▾	täidetud väike kolmnurk tipuga all
▿	seest tühi väike kolmnurk tipuga all
◁	seest tühi kolmnurk tipuga vasakul
◂	täidetud väike kolmnurk tipuga vasakul
◃	seest tühi väike kolmnurk tipuga vasakul
◄	täidetud viit vasakule
◅	seest tühi viit vasakule
◆	täidetud teemant
◇	seest tühi teemant
◈	seest tühjas teemantis on täidetud teemant
◉	seest tühjas ringis on täidetud ring
◊	hulktahukas, romb, teemant
○	ring, sõõr, tühi ring
◌	katkendlik ring
◍	püstiste triipudega ring
◎	kontsentrilised ringid, märklaud, topeltring
●	ring, täidetud ring
◐	täidetud vasaku poolega ring
◑	täidetud parema poolega ring
◒	täidetud alumise poolega ring
◓	täidetud ülemise poolega ring
◔	täidetud ülemise parema veerandiga ring
◕	täidetud ring tühja ülemise vasaku veerandiga
◖	täidetud vasak poolring
◗	täidetud parem poolring
◘	pöördtäpp
◙	täidetud ruudus on seest tühi ring
◜	ringikujulise kaare ülemine vasak veerand
◝	ringikujulise kaare ülemine parem veerand
◞	ringikujulise kaare alumine parem veerand
◟	ringikujulise kaare alumine vasak veerand
◠	ülemine poolring
◡	alumine poolring
◢	täidetud kolmnurk all paremal
◣	täidetud kolmnurk all vasakul
◤	täidetud kolmnurk üleval vasakul
◥	kolmnurk, parem, täidetud, täidetud kolmnurk üleval paremal, üleval
◦	seest tühi täpp, täpp, tühi
◯	ring, suur tühi ring, sõõr
◳	tühja ruudu sees on ruut üleval paremal
◷	tühja ringi sees on ruut üleval paremal
◿	kolmnurk all paremal
♪	kaheksandik, kaheksandiknoot, muusika, noot
⨧	pluss alaindeks kaks
⨯	ristkorrutis
⨼	sisekorrutis
⩣	loogiline või kahekordne allkriips
⩽	vähem kui kaldus võrdne
⪍	vähem kui sarnane võrdne kohal
⪚	kahejooneline võrdusmärk suurem kui, matemaatika, võrratus
⪺	järgneb pole peaaegu võrdne kohal
♭	bemoll, madaldusmärk, muusika, noot
♯	diees, kõrgendusmärk, muusika, noot
😀	hambad, irve, irvitamine, laia naeratusega nägu, naer, naeratamine, naeratus, nägu, rõõmsameelne, rõõmus, tore, õnnelik
😃	avatud, hambad, irve, irvitamine, jee, lahe, naeratamine, naeratus, nägu, rõõmus, silmad, suur, suurte silmadega naerunägu
😄	avatud, avatud suu ja naeratavate silmadega naerunägu, irve, irvitamine, lol, naer, naeratamine, naeratus, nägu, rõõmus, silm, silmad, suu
😁	hambad, irve, irvitamine, naer, naeratamine, naerul, naerul silmade ja laia naeratusega nägu, nägu, silm, silmad, tore, õnnelik
😆	avatud, avatud suu ja suletud silmadega naerunägu, haha, hahaha, irve, kissitamine, lol, naer, naeratamine, naeratus, nägu, rofl, silmad, suletud, suu, õnnelik
😅	avatud, elevil, higi, higipiisa ja avatud suuga naerunägu, külm, masendunud, naeratamine, naeratus, naermine, nägu, närvis, stress, stressis, suu
🤣	haha, hehe, lmao, lol, naer, naerust kõveras, naljakas, nutmine, nägu, pisar, põrand, rofl, roflmao, rullimine, rõõm, õnnelik, ülinaljakas
😂	haha, hehe, lmao, lol, naer, naljakas, nutmine, nägu, pisar, rofl, roflmao, rõõm, rõõmupisaratega nägu, tunded, õnnelik, ülinaljakas
🙂	naeratamine, naeratus, naeratusega nägu, nägu, pisut, õnnelik
🙃	hehe, naeratus, nägu, tagurpidi, tagurpidi nägu
🫠	haha, kaduma, kuumus, lahustuma, lol, nägu, palav, piinlik, sarkasm, sarkastiline, sulama, sulamine, sulav nägu, vedel
😉	flirtima, libe, nägu, pilgutama, pilgutav, seksikas, silma pilgutav nägu, silmapilgutus, südametemurdja, õrritama
😊	naeratamine, naeratavate silmadega naerunägu, naeratus, nägu, punastama, rahul, rõõmus, silm, silmad
😇	aupaiste, aupaistega naerunägu, fantaasia, haldjas, ingel, ingellik, inglid, jutt, muinasjutt, naeratamine, naeratus, nägu, rahulik, süütu, vaim, õnnelik, õnnistatud
🥰	armunud, imetlev, naeratav kolme südamega nägu, naeratav südametega nägu, sisse võetud
😍	armastus, naeratus, nägu, romantika, romantiline, silmad, suudlused, südamed, südamekujulised silmad, südamekujuliste silmadega naerunägu, tunded, xoxo
🤩	nägu, silmad, staar, staariga silmitsi, suu kõrvuni
😘	armas, armastan, armsam, flirtima, igatsema, muahh, musi, nägu, romantiline, sind, suudlus, suudlust saatev nägu, süda, xoxo, õhusuudlus
😗	armastan, flirtima, kohtama, kohting, musi, musid, nägu, sind, suudlev nägu, suudlus, xoxo
☺️	naeratus, naerunägu, nägu, piirjoon, rahulik
😚	flirtima, kohtama, kohting, musid, nägu, punastama, silm, silmad, suletud, suletud silmadega suudlev nägu, suudlus, suudlused, xoxo
😙	armastus, flirtima, kohtama, kohting, naeratama, naeratavate silmadega suudlev nägu, naeratus, nägu, silm, silmad, suletud, suudlemine, suudlus, suudlused, öö
🥲	kergendus, liigutatud, naeratav, naeratav pisaraga nägu, naeratus, naerunägu, pisar, rõõm, tänulik, uhke, valu
😋	maitsev, maitsvat toitu nautiv nägu, naeratamine, naeratus, nautima, nägu, näljane, sööma, toit, täis
😛	keel, keel väljas, lahe, magus, nägu, pidu, suust väljas keelega nägu, vägev, äge
😜	hull, imelik, keel, keel väljas, nali, naljakas, nägu, pidu, pilgutus, segane, segi, silm, silmapilgutus, suust väljas keelega ja silma pilgutav nägu, yolo, äge
🤪	pöörase ilmega nägu, silm, suur, väike
😝	keel, keel väljajs, keelt näitav suletud silmadega nägu, kissitamine, maitsma, mida iganes, nägu, omg, rõve, silm, silmad, suletud, vastik, yolo
🤑	nägu, nägu, millel on raha suus, palgapäev, raha, raha suus, suu
🤗	avatud, kalli, kallistav nägu, kallistus, käed, naeratus, nägu
🤭	avastus, itsitama, itsitamine, järsk, käsi, kätt suul hoidev nägu, nägu, oih, saladus, suu, ups, üllatus, šokk
🫢	aukartus, hämming, kartlikkus, kätt suul hoidev pärani silmadega nägu, omg, piinlikkus, uskumatus, vaikne, üllatunud, üllatus, šokeeritud, šokk
🫣	haaratud, häbelik, kartlik, käte vahelt piiluva silmaga nägu, peidus, peitma, piiluma, piiluv, vahtima
🤫	kuss!, sõrme suul hoidev nägu, vaikust
🤔	hmm, juurdlema, kaaluma, lõug, mõtisklema, mõtlema, mõtlev nägu, nägu
🫡	OK, au, au andev nägu, au andma, edu, jah, just nii, nägu, saluut, sõjavägi
🤐	nägu, saladus, suletud, suu, tasa, tõmblukk, tõmblukusuuga nägu, vait
🤨	emotikon, hmm, kergitatud kulmudega nägu, kergitatud kulmuga nägu, kulm, mida, nägu, pahameel, skeptik, skeptiline, umbusaldav, üllatunud
😐️	aa, ebamugav, emotsioonitu, erapooletu, erapooletu nägu, igav, ilmetu, kade, meh, mida iganes, nägu, piinlik, sirge, tõsine, tühi, õnnetu
😑	aa, emotsioonitu, igav, ilmetu, ilmetu nägu, kade, meh, mida iganes, mittemidagiütlev, nägu, omg, piinlik, sirge, surnud, väheütlev, õnnetu
😶	ilma suuta nägu, ilmetu, nägu, piinlik, saladus, suu, suuta, sõnatu, tasa, tumm, tühi, vaikne, vaikus
🫥	depressiivne, introvertne, kaduma, masenduses, mis iganes, nähtamatu, peidus, peitma, punktiirjoonega nägu
😶‍🌫	hajameelne, nägu pilvedes, nägu udus, pea pilvedes
😏	boss, flirtima, irvitama, kahtlane, kaval, kelmikas, lahe, libe, meeldiv, muie, muigama, muigav nägu, nali, nägu, nägus, vennas
😒	..., hästi, igavlev, imelik, kade, mida iganes, nägu, pahane, põlglik, põlglik nägu, õnnetu
🙄	mida iganes, nägu, pööritav, pööritavate silmadega nägu, silmad, silmapööritus
😬	grimass, grimassitav, grimassitav nägu, hambaarst, irvitav, naeratav, naeratus, nägu, piinlik
😮‍💨	kergendus, nägu, ohe, ohkamine, puhumine, sosistamine, suits, vilistamine, väljahingamine, väljahingav nägu, väsinud
🤥	nägu, pinocchio, vale, valetaja, valetav, valetav nägu
🫨	hämmastus, maavärin, nägu, ohoo, omg, paanika, segane, vau, vibreeriv, värisev, värisev nägu, üllatus, šokk
🙂‍↔	ei, pea, pearaputus, raputus
🙂‍↕	jah, noogutus, pea, peanoogutus
😌	kergendunud, kergendus, kergendust tundev nägu, nägu, rahu, rahulik, zen
😔	igav, jube, kaotamine, kaotus, kurb, mõtlik, mõtlik nägu, nukker, nägu, nõme, pettnud, surnud
😪	head, kurb, magamine, nuttev, nägu, uni, unine, unine nägu, väsinud, ööd
🤤	ilastav, ilastav nägu, nägu
😴	haigutus, head, headööd, magamine, magav nägu, mida iganes, nägu, uinak, uneaeg, uni, voodi, väsinud, zzz, ööd
🫩	hilja, igav, kotid, kurnatud, nägu, nägu kottidega silmade all, silmad, tüdinud, tülpinud, unine, väsinud
😷	arst, dermatoloog, doktor, haige, hambaarst, kirurg, kirurgimaskiga kaetud nägu, mask, nägu, pisikud, ravim
🤒	haige, kraadiklaas, kraadiklaasiga nägu, nägu
🤕	ai, haige, kinniseotud, kinniseotud peaga nägu, nägu, peaside, side, vigastus
