‾	föléhúzás, fölülhúzás, fölülvonás
_	alulvonás, aláhúzás, aláhúzásjel
-	diviz, elválasztójel, kötőjel
‐	elválasztójel, kötőjel
–	fél, félkvirt, kvirt
—	kvirtmínusz, kötőjel, nagy
―	elválasztójel, kötőjel, vonal, vízszintes vonal
・	katakana, katakana középső pont, középső, pont
,	vessző
،	arab, arab vessző, vessző
、	ideogrammatikus, ideogrammatikus vessző, vessző
;	pontosvessző
؛	arab, arab pontosvessző, pontosvessző
:	kettőspont
!	felkiáltás, felkiáltójel
¡	felkiáltás, felkiáltójel, fordított, fordított felkiáltójel
?	kérdés, kérdőjel
¿	fordított, fordított kérdőjel, kérdés, kérdőjel
؟	arab, arab kérdőjel, kérdés, kérdőjel
‽	interrobang, kérdő-felkiáltó jel
.	pont
…	hármaspont, három, három pont, pont
。	képírás, képírásos pont, pont
·	felezőpont, közép, középvonali pont, pont
'	aposztróf, egyszeres idézőjel, idézőjel, írógép-aposztróf
‘	aposztróf, egyszeres idézőjel, idézőjel, kezdő egyszeres idézőjel
’	aposztróf, egyszeres idézőjel, idézőjel, záró egyszeres idézőjel
‚	alsó idézőjel, alsó jobb egyszeres idézőjel, aposztróf, idézőjel
“	dupla idézőjel, idézet, kezdő idézőjel
”	idézet, idézőjel, záró idézőjel
„	alsó idézőjel, alsó kezdő idézőjel, dupla idézőjel, idézet, idézőjel
«	bal, balra mutató belső idézőjel, balra néző belső idézőjel, beszúrási jelek, csúcsos, idézőjel, sávnyíl, zárójel
»	beszúrási jelek, csúcsos, idézőjel, jobb, jobbra mutató belső idézőjel, jobbra néző belső idézőjel, sávnyíl, zárójel
)	berekesztő zárójel, gömbölyű zárójel, kerek zárójel, zárójel
[	nyitó szögletes zárójel, szögletes zárójel, zárójel
]	berekesztő szögletes zárójel, szögletes zárójel, zárójel
{	kapcsos, nyitó kapcsos zárójel, zárójel
}	berekesztő kapcsos zárójel, kapcsols, zárójel
〈	kacsacsőr, kisebb jel, kúpos, nagyobb jel, nyitó kúpos zárójel, zárójel
〉	berekesztő kúpos zárójel, kacsacsőr, kisebb jel, kúpos, nagyobb jel, zárójel
《	csúcsos, nyitó csúcsos zárójel, zárójel
》	berekesztő csúcsos zárójel, csúcsos, zárójel
「	bal mennyezet, mennyezet, zárójel
」	jobb mennyezet, mennyezet, zárójel
『	bal üres mennyezet, zárójel, üres mennyezet
』	jobb üres mennyezet, zárójel, üres mennyezet
【	lencse zárójel, nyitó teli lencse zárójel, zárójel
】	berekesztő teli lencse zárójel, lencse zárójel, zárójel
〔	nyitó teknőspáncél zárójel, teknőspáncél, zárójel
〕	berekesztő teknőspáncél zárójel, teknőspáncél, zárójel
〖	nyitó üres lencse zárójel, zárójel, üres lencse zárójel
〗	berekesztő üres lencse zárójel, zárójel, üres lencse zárójel
§	bekezdés, rész, silcrow, szakasz, szakaszjel
¶	bekezdés, bekezdés vége jel, bekezdésjel
@	at-jel, bejgli, csiga, kukac, kukacjel
*️	aszteriszk, csillag, csillagjel
/	ferde, perjel, tördelés, törtjel, törtvonal, vonás
\	fordított perjel, fordított törtvonal, tördelés
&	et, és, és jel
#️	hashtag, kettőskereszt, szám, számjel
%	százalék jel, százalékjel
‰	ezrelék jel, ezrelékjel
†	kereszt, kereszt szimbólum, obeliszk, obelus
‡	kereszt, kettős, kettős kereszt szimbólum, obeliszk, obelus
•	listajel, pont
‧	elválasztó, elválasztó pont, elválasztójel, pont
′	felső vessző
″	dupla felső vessző, felső vessző
‴	felső vessző, tripla felső vessző
‸	beszúrási jel
※	hivatkozásjel
⁂	csillagok, három csillag jel
`	hangsúly, tompa, tompa ékezet, ékezet
´	hangsúly, ékezet, éles, éles ékezet
^	beszúrásjel, csúcsos, hajtott, hatványjel, háztető, kalap, kúpos, kúpos ékezet, ékezet
¨	diaeresis, tréma, umlaut
°	fok, malligand-fok, óra
℗	hang, hangrögzítési szerzői jog, rögzítés, szerzői jog
←	bal, bal oldalra mutató nyíl, nyíl
↚	balra mutató nyíl vonással
→	jobb, jobb oldalra mutató nyíl, nyíl
↛	jobbra mutató nyíl vonással
↑	felfelé, felfelé néző nyíl, nyíl
