😀	alegre, djente, hari, kara, kara di smile, kontentu, nice, smile
😃	boka, djente, grandi, great, habrí, kara, kara di smile ku wowo grandi, kontentu, smile, wowo, yay
😄	kara ta smile ku wowo di smile
😁	kara ta smile ku djente afó
😆	kara di smile ku wowo chikí
😅	kara di smile ku sodó
🤣	hari te lora abou
😂	kara ku lágrima di alegia
🙂	kara ku smile
🙃	kara kabes abou
🫠	kara di smèlt
😉	kinipí wowo
😊	kara di smile ku blos
😇	kara di smile ku halo
🇦🇫	bandera, bandera: Afghanistan
🇦🇬	bandera, bandera: Antigua & Barbuda
🇦🇮	bandera, bandera: Anguilla
🇦🇱	bandera, bandera: Albania
🇦🇴	bandera, bandera: Angola
🇦🇷	bandera, bandera: Argentina
🇦🇹	bandera, bandera: Austria
🇦🇺	bandera, bandera: Australia
🇦🇼	bandera, bandera: Aruba
🇧🇦	bandera, bandera: Bosnia i Herzegowina
🇧🇧	bandera, bandera: Barbados
🇧🇪	bandera, bandera: Bèlgika
🇧🇬	bandera, bandera: Bulgaria
🇧🇱	bandera, bandera: Saint Bathélemy
🇧🇲	bandera, bandera: Bermuda
🇧🇴	bandera, bandera: Bolivia
🇧🇶	bandera, bandera: Antia Hulandes
🇧🇷	bandera, bandera: Brazil
🇧🇸	bandera, bandera: Bahamas
🇧🇻	bandera, bandera: Isla Bouvet
🇧🇼	bandera, bandera: Botswana
🇧🇾	bandera, bandera: Belarus
🇧🇿	bandera, bandera: Belize
🇨🇦	bandera, bandera: Canada
🇨🇩	bandera, bandera: Congo - Kinshasa
🇨🇫	bandera, bandera: Repúblika Sentroafrikano
🇨🇬	bandera, bandera: Congo - Brazzaville
🇨🇭	bandera, bandera: Suisa
🇨🇮	bandera, bandera: Côte d’Ivoire
🇨🇱	bandera, bandera: Chile
🇨🇲	bandera, bandera: Camerun
🇨🇳	bandera, bandera: China
🇨🇴	bandera, bandera: Colombia
🇨🇷	bandera, bandera: Costa Rica
🇨🇺	bandera, bandera: Cuba
🇨🇻	bandera, bandera: Kabo Verde
🇨🇼	bandera, bandera: Kòrsou
🇨🇿	bandera, bandera: Cheko
🇩🇪	bandera, bandera: Alemania
🇩🇰	bandera, bandera: Dinamarka
🇩🇲	bandera, bandera: Dominica
🇩🇴	bandera, bandera: Repúblika Dominikano
🇩🇿	bandera, bandera: Algeria
🇪🇨	bandera, bandera: Ecuador
🇪🇪	bandera, bandera: Estonia
🇪🇬	bandera, bandera: Egipto
🇪🇭	bandera, bandera: Western Sahara
🇪🇷	bandera, bandera: Eritrea
🇪🇸	bandera, bandera: Spaña
🇪🇹	bandera, bandera: Etiopia
🇪🇺	bandera, bandera: Union Europeo
🇫🇮	bandera, bandera: Finlandia
🇫🇯	bandera, bandera: Fiji
🇫🇰	bandera, bandera: Islanan Falkland
🇫🇲	bandera, bandera: Micronesia
🇫🇷	bandera, bandera: Fransia
🇬🇧	bandera, bandera: Gran Bretaña
🇬🇩	bandera, bandera: Grenada
🇬🇫	bandera, bandera: Guyana Franses
🇬🇭	bandera, bandera: Ghana
🇬🇱	bandera, bandera: Grunlandia
🇬🇲	bandera, bandera: Gambia
🇬🇳	bandera, bandera: Guinea
🇬🇵	bandera, bandera: Guadeloupe
🇬🇶	bandera, bandera: Guinea Ekuatorial
🇬🇷	bandera, bandera: Gresia
🇬🇹	bandera, bandera: Guatemala
🇬🇺	bandera, bandera: Guam
🇬🇼	bandera, bandera: Guinea-Bissau
🇬🇾	bandera, bandera: Guyana
🇭🇰	bandera, bandera: Hong Kong
🇭🇳	bandera, bandera: Honduras
🇭🇷	bandera, bandera: Kroasia
🇭🇹	bandera, bandera: Haiti
🇭🇺	bandera, bandera: Hungria
🇮🇩	bandera, bandera: Indonesia
🇮🇪	bandera, bandera: Irlanda
🇮🇱	bandera, bandera: Israel
🇮🇳	bandera, bandera: India
🇮🇶	bandera, bandera: Irak
🇮🇷	bandera, bandera: Iran
🇮🇸	bandera, bandera: Islandia
🇮🇹	bandera, bandera: Italia
🇯🇲	bandera, bandera: Jamaica
🇯🇵	bandera, bandera: Hapon
🇰🇪	bandera, bandera: Kenya
🇰🇭	bandera, bandera: Cambodia
🇰🇲	bandera, bandera: Comóros
🇰🇳	bandera, bandera: St. Kitts i Nevis
🇰🇵	bandera, bandera: Nort Korea
🇰🇷	bandera, bandera: Surkorea
🇰🇾	bandera, bandera: Islanan Caiman
🇱🇨	bandera, bandera: Sint Lucia
🇱🇮	bandera, bandera: Liechtenstein
🇱🇰	bandera, bandera: Sri Lanka
🇱🇷	bandera, bandera: Liberia
🇱🇺	bandera, bandera: Luxemburg
🇲🇦	bandera, bandera: Morocco
🇲🇨	bandera, bandera: Monaco
🇲🇩	bandera, bandera: Moldavia
🇲🇪	bandera, bandera: Montenegro
🇲🇫	bandera, bandera: Saint Martin
🇲🇬	bandera, bandera: Madagascar
🇲🇱	bandera, bandera: Mali
🇲🇳	bandera, bandera: Mongolia
🇲🇴	bandera, bandera: Macao
🇲🇶	bandera, bandera: Martinique
🇲🇸	bandera, bandera: Montserrat
🇲🇹	bandera, bandera: Malta
🇲🇻	bandera, bandera: Maldives
🇲🇼	bandera, bandera: Malawi
🇲🇽	bandera, bandera: México
🇲🇿	bandera, bandera: Mozambique
🇳🇪	bandera, bandera: Niger
🇳🇬	bandera, bandera: Nigeria
🇳🇮	bandera, bandera: Nicaragua
🇳🇱	bandera, bandera: Hulanda
🇳🇴	bandera, bandera: Noruega
🇳🇵	bandera, bandera: Nepal
🇵🇦	bandera, bandera: Panamá
🇵🇪	bandera, bandera: Perú
🇵🇫	bandera, bandera: Polinesia Franses
🇵🇭	bandera, bandera: Filipinas
🇵🇱	bandera, bandera: Polonia
🇵🇲	bandera, bandera: St. Pierre & Miquelon
🇵🇷	bandera, bandera: Puerto Rico
🇵🇹	bandera, bandera: Portugal
🇵🇾	bandera, bandera: Paraguay
🇶🇦	bandera, bandera: Qatar
🇷🇴	bandera, bandera: Romania
🇷🇸	bandera, bandera: Servia
🇷🇺	bandera, bandera: Rusia
🇷🇼	bandera, bandera: Rwanda
🇸🇨	bandera, bandera: Seychelles
🇸🇩	bandera, bandera: Sudan
🇸🇪	bandera, bandera: Suesia
🇸🇬	bandera, bandera: Singapore
🇸🇭	bandera, bandera: Sint Helena
🇸🇮	bandera, bandera: Slovenia
🇸🇰	bandera, bandera: Slovakia
🇸🇱	bandera, bandera: Sierra Leone
🇸🇲	bandera, bandera: San Marino
🇸🇳	bandera, bandera: Senegal
🇸🇴	bandera, bandera: Somalia
🇸🇷	bandera, bandera: Surinam
🇸🇻	bandera, bandera: El Salvador
🇸🇽	bandera, bandera: Sint Maarten
🇹🇨	bandera, bandera: Turks i Caicos
🇹🇩	bandera, bandera: Chad
🇹🇭	bandera, bandera: Tailandia
🇹🇷	bandera, bandera: Turkia
🇹🇹	bandera, bandera: Trinidad i Tobago
🇹🇼	bandera, bandera: Taiwan
🇺🇦	bandera, bandera: Ukrania
🇺🇬	bandera, bandera: Uganda
🇺🇳	bandera, bandera: Nashonnan Uní
🇺🇸	bandera, bandera: Merka
🇺🇾	bandera, bandera: Uruguay
🇻🇨	bandera, bandera: Sint Vicent i Grenadines
🇻🇪	bandera, bandera: Venezuela
🇻🇬	bandera, bandera: Virgin Islands (Britániko)
🇻🇮	bandera, bandera: Virgin Islands (Merikano)
🇻🇳	bandera, bandera: Vietnam
🇿🇦	bandera, bandera: Suráfrika
🇿🇲	bandera, bandera: Zambia
🇿🇼	bandera, bandera: Zimbabwe
