‾	bovenlijn
_	lijn, onderstreping, underscore
-	gedachtestreepje, liggend streepje, verbindingsstreepje
‐	gedachtestreep, koppelteken, verbindingsstreepje
–	gedachte, gedachtestreepje, streepje
—	aandacht, aandachtsstreepje, streepje
―	balk, gedachtestreep, horizontale balk, lijn
・	hoge punt, katakana, katakana middelste punt, middenpunt, puntjes
,	komma
،	Arabisch, Arabische komma, komma
、	ideografisch, ideografische komma, komma
;	puntkomma
؛	Arabisch, Arabische puntkomma, puntkomma
:	dubbele punt
!	uitroep, uitroeppunt, uitroepteken
¡	omgekeerd, omgekeerd uitroepteken, uitroep, uitroeppunt, uitroepteken
?	vraag, vraagteken
¿	omgekeerd, omgekeerd vraagteken, vraag, vraagteken
؟	Arabisch, Arabisch vraagteken, vraag, vraagteken
‽	interrobang, vraagteken-uitroepteken
.	decimaal teken, punt
…	beletselteken, puntjes, weglating
。	ideografisch, ideografische punt, punt
·	hoge, hoge punt, interpunct, punt
'	aanhalingsteken, apostrof, enkel aanhalingsteken, recht aanhalingsteken, rechte apostrof
‘	aanhalingsteken, apostrof, linker aanhalingsteken, linker apostrof, slim aanhalingsteken
’	aanhalingsteken, apostrof, rechter aanhalingsteken, rechter apostrof, slim aanhalingsteken
‚	aanhalingsteken, apostrof, laag aanhalingsteken, lage rechter apostrof
“	aanhalingsteken, dubbel aanhalingsteken, linker dubbel aanhalingsteken, slim aanhalingsteken
”	aanhalingsteken, dubbel aanhalingsteken, rechter dubbel aanhalingsteken, slim aanhalingsteken
„	aanhalingsteken, dubbel aanhalingsteken, laag aanhalingsteken, laag rechter dubbel aanhalingsteken, slim aanhalingsteken
«	aanhalingsteken, guillemet naar links, haakjes, hoek, inlastekens, links, onderscheidingsteken
»	aanhalingsteken, guillemet naar rechts, haakjes, hoek, inlastektekens, onderscheidingsteken, rechts
)	haakje sluiten, ronde haak, sluithaakje
[	haak, rechte haak, rechte haak links, rechte haak openen
]	haak, rechte haak, rechte haak rechts, rechte haak sluiten
{	accolade, accolade links, accolade openen, krulhaakje, krulhaakje link, krulhaakje openen
}	accolade, accolade rechts, accolade sluiten, krulhaakje, krulhaakje rechts, krulhaakje sluiten
〈	chevron, haakje, hoekanker, punthaakje, punthaakje openen, ruithaakjes, tupel
〉	chevron, haakje, hoekanker, punthaakje, punthaakje sluiten, ruithaakjes, tupel
《	dubbel punthaakje, dubbel punthaakje openen, haakje
》	dubbel punthaakje, dubbel punthaakje sluiten, haakje
「	Oost-Aziatisch aanhalingsteken, Oost-Aziatisch aanhalingsteken openen, haakje
」	Oost-Aziatisch aanhalingsteken, Oost-Aziatisch aanhalingsteken sluiten, haakje
『	Aziatisch aanhalingsteken openen, haakje
』	Aziatisch aanhalingsteken sluiten, haakje
【	haakje, lenshaakje, lensvormig haakje, zwart lensvormig haakje openen
】	haakje, lenshaakje, lensvormig contourhaakje sluiten, lensvormig haakje
〔	haakje, schildhaakje, schildhaakje openen, schildpadhaakje
〕	haakje, schildhaakje, schildhaakje sluiten, schildpadhaakje
〖	haakje, lenshaakje, lensvormig haakje, lensvormig haakje openen
〗	haakje, lenshaakje, lensvormig haakje, lensvormig haakje sluiten
§	deel, paragraaf, paragraafsymbool
¶	alinea, alineateken, paraaf, paragraaf, paragraafteken
@	a-krol, amfoor, amfora, apenstaartje, at, slinger-a, slingeraap
*️	asterisk, jokerteken, sterretje
/	breukstreep, schrap, schuine lijn, schuine streep, streep
\	backslash, omgekeerde schuine streep, terugschrap
&	en, en-teken, et
#️	aantal, hashtag, hekje, lb, pound
%	procent
‰	promille
†	obelisk, obelus
‡	dubbel, dubbele obelisk, obelisk, obelus
•	bullet, rondje
‧	gedachtestreepje, koppeling, koppelteken, punt
′	accent, prime
″	accent, dubbele prime
‴	accent, drievoudige prime
‸	inlasteken
※	referentieteken
⁂	asterisme, dinkus, sterren
`	accent, accent grave, grave, toon
´	accent, accent aigu, aigu, toon
^	aan/uit, aanwijzer, accent, accent circonflexe, caret, chevron, circonflexe, dakje
¨	trema, umlaut
°	bewijs, graden, uur
℗	copyright, copyright geluidsopname, geluid, opname
←	links, naar links wijzende pijl, pijl
↚	streep met pijl naar links
→	naar rechts wijzende pijl, pijl, rechts
↛	streep met pijl naar rechts
↑	omhoog, omhoog wijzende pijl, pijl
↓	omlaag, omlaag wijzende pijl, pijl
↜	golvende pijl naar links
↝	golvende pijl naar rechts
↞	pijl met twee koppen naar links
↟	pijl met twee koppen omhoog
↠	pijl met twee koppen naar rechts
↡	pijl met twee koppen omlaag
↢	pijl met staart naar links
↣	pijl met staart naar rechts
↤	pijl naar links vanaf balk
↥	pijl omhoog vanaf balk
↦	pijl naar rechts vanaf balk
↧	pijl omlaag vanaf balk
↨	pijl omhoog/omlaag met basis
↫	pijl met lus naar links
↬	pijl met lus naar rechts
↭	golvende pijl naar links/rechts
↯	zigzagpijl omlaag
↰	pijlpunt omhoog en naar links wijzend
↱	pijlpunt omhoog en naar rechts wijzend
↲	pijlpunt omlaag en naar links wijzend
↳	pijlpunt omlaag en naar rechts wijzend
↴	hoekpijl omlaag en naar rechts wijzend
↵	hoekpijl omlaag en naar links wijzend
↶	pijl omhoog tegen de klok in met halve cirkel
↷	pijl omhoog met de klok mee met halve cirkel
↸	pijl noordwest lange balk
↹	pijl naar links naar balk boven pijl naar rechts naar balk
↺	pijl met open cirkel tegen de klok in
↻	pijl met open cirkel met de klok mee
↼	harpoen naar links met weerhaak naar boven
↽	harpoen naar links met weerhaak naar beneden
↾	harpoen naar boven met weerhaak naar rechts
↿	harpoen naar boven met weerhaak naar links
⇀	harpoen naar rechts met weerhaak naar boven
⇁	harpoen naar rechts met weerhaak naar beneden
⇂	harpoen naar beneden met weerhaak naar rechts
⇃	harpoen naar beneden met weerhaak naar links
⇄	pijl naar rechts boven pijl naar links
⇅	omhoog, omhoog en omlaag wijzende pijlen, omlaag, pijl
⇆	links, naar links boven naar rechts wijzende pijlen, pijl, rechts
⇇	twee pijlen naar links
⇈	twee pijlen naar boven
⇉	twee pijlen naar rechts
⇊	twee pijlen naar beneden
⇋	harpoen naar links boven harpoen naar rechts
⇌	harpoen naar rechts boven harpoen naar links
⇐	dubbele pijl naar links
⇍	dubbele doorgestreepte pijl naar links
⇑	dubbele pijl omhoog
⇒	dubbele pijl naar rechts
⇏	dubbele doorgestreepte pijl naar rechts
⇓	dubbele pijl omlaag
⇔	dubbele pijl links/rechts
⇎	dubbele doorgestreepte pijl links/rechts
⇖	dubbele pijl noordwest
⇗	dubbele pijl noordoost
⇘	dubbele pijl zuidoost
⇙	dubbele pijl zuidwest
⇚	driedubbele pijl naar links
⇛	driedubbele pijl naar rechts
⇜	kronkelpijl naar links
⇝	kronkelpijl naar rechts
⇞	pijl naar boven met twee strepen
⇟	pijl naar beneden met twee strepen
⇠	gestippelde pijl naar links
⇡	gestippelde pijl naar boven
⇢	gestippelde pijl naar rechts
⇣	gestippelde pijl naar beneden
⇤	pijl naar links naar balk
⇥	pijl naar rechts naar balk
⇦	doorzichtige pijl naar linkss
⇧	doorzichtige pijl naar boven
⇨	doorzichtige pijl naar rechts
⇩	doorzichtige pijl naar beneden
⇪	doorzichtige pijl naar boven vanaf balk
⇵	pijl omlaag links van pijl omhoog
∀	alles, gegeven, ieder, universeel, voor alles
∂	afgeleide, partiële afgeleide
∃	bestaat
∅	lege verzameling, verzameling-teken, wiskunde
∆	driehoek, toename
∇	driehoek, nabla
∈	bevat, element, element van, lidmaatschap, verzameling
∉	element, geen element van
∋	bevat als lid, element
∎	qed
∏	cartesisch product, logica, product
∑	productverzameling, verzameling, wiskunde
+	optellen, plus, plusteken
±	plusminus
÷	deelteken, delen, deling, obelus
×	keer, vermenigvuldigen, vermenigvuldiging, vermenigvuldigingsteken
<	kleiner dan, kleiner-danteken, punthaakje, punthaakje openen
≮	niet minder dan, ongelijkheid, wiskunde
=	gelijkteken, is gelijk aan
≠	is niet gelijk aan, niet-gelijkteken, ongelijkheid
>	groter dan, groter-danteken, punthaakje, punthaakje sluiten
≯	niet groter dan, ongelijkheid, wiskunde
¬	negatie, niet
|	baar, spaak, spijl, staaf, stang, stok, verticale lijn
~	tilde
−	aftrekken, min, minteken
⁻	min, superscript, superscript min
∓	min-of-plusteken, plusminus
∕	deelstreep, lijn, schuine streep, streep
⁄	breukstreep, schuine streep, streep
∗	asterisk-teken, sterretje
∘	operator, operator samenstelling, samenstelling
∙	operator, puntteken
√	onmeetbaar getal, radix, vierkant, vierkantswortel, wortelvorm
∝	evenredig, evenredigheid
∞	oneindig, oneindig teken
∟	rechte hoek, wiskunde
∠	hoek, scherp
∣	deler
∥	parallel
∧	ac, atque, logisch en, wig
∩	doorsnede, verzameling
∪	reeks, vereniging, verzameling
∫	calculus, integraal
∬	calculus, dubbele integraal
∮	kringintegraal
∴	daarom, logica
∵	logica, omdat
∶	ratio
∷	proportionaliteit, verhouding
∼	operator, tilde-teken
∽	omgekeerde tilde, tilde
∾	oneindigheid
≃	asymptoot, asymptotisch gelijkwaardig, asymptotisch gelijkwaardige, wiskunde
≅	gelijkheid, isomorfie, ongeveer gelijk, overeenstemming, wiskunde
≈	benadering, bijna gelijk aan, ongeveerteken
≌	alles gelijk, gelijkwaardigheid, wiskunde
≒	ongeveer gelijk aan de afbeelding
≖	gelijkheid, ring in gelijk, wiskunde
≡	drievoud, gelijk, gelijk aan, is gelijk aan, precies
≣	gelijkheid, strict gelijk, wiskunde
≤	gelijk aan, is gelijk aan, kleiner dan, kleiner dan of gelijk aan, ongelijk aan
≥	gelijk aan, groter dan, groter dan of gelijk aan, is gelijk aan, ongelijk aan
≦	minder dan boven gelijk aan, ongelijkheid, wiskunde
≧	groter dan boven gelijk aan, ongelijkheid, wiskunde
≪	ongelijkheid, veel minder dan, wiskunde
≫	ongelijkheid, veel groter dan, wiskunde
≬	tussen
≳	groter of gelijk dan, ongelijkheid, wiskunde
≺	komt voor, set operator, wiskunde
≻	komt na, set operator, wiskunde
⊁	komt niet na, set operator, wiskunde
⊂	deelverzameling, deelverzameling van, verzameling
⊃	set operator, superset, verzameling, wiskunde
⊆	deelverzameling gelijk aan
⊇	gelijkheid, verzameling gelijk aan, wiskunde
⊕	plus, plusteken in cirkel
⊖	erosie, minteken in cirkel, symmetrisch verschil
⊗	product, tensor, vermenigvuldigingsteken in cirkel
⊘	schuine streep voorwaarts in cirkel, wiskunde, zoals deling
⊙	XNOR, operator, operator met punt in cirkel
⊚	operator met ring in cirkel
⊛	asterisk, operator, operator met asterisk in cirkel
⊞	plusteken in vierkant, wiskunde, zoals een optelteken
⊟	minteken in vierkant, wiskunde, zoals een aftrekteken
⊥	falsum
⊮	forceert niet
⊰	komt voor onder relatie, set operator, wiskunde
⊱	komt na onder relatie, set operator, wiskunde
⋭	groepstheorie, is gelijk aan bevat geen normale deelverzameling, wiskunde
⊶	origineel
⊹	geconjugeerde hermitische matrix, vierkante matrix, wiskunde, zelf-geadjungeerde matrix
⊿	driehoek met hoek rechts, driehoek rechts, wiskunde
⋁	disjunctie, logisch, n-ary logisch of
⋂	doorsnede, n-ary doorsnede, n-ary doosnede, set operator, wiskunde
⋃	n-ary vereniging, set operator, vereniging, wiskunde
⋅	operator, puntoperator
⋆	operator, steroperator
⋈	binaire operator, natuurlijk samenvoegen, strikje
⋒	doorsnede, dubbele doorsnede, set operator, wiskunde
⋘	heel veel minder dan, ongelijkheid, wiskunde
⋙	heel veel groter dan, ongelijkheid, wiskunde
⋮	ellips, verticale ellips, wiskunde
⋯	ellips, horizontale ellips op middellijn
⋰	ellips, ellips diagonaal rechts omhoog, wiskunde
⋱	ellips, ellips diagonaal rechts omlaag, wiskunde
■	ingevuld vakje
□	leeg vakje
▢	leeg vakje met afgeronde hoeken
▣	leeg vakje met ingevuld vakje
▤	vakje met horizontale invulling
▥	vakje met verticale invulling
▦	vakje met invulling met orthogonale dubbele arcering
▧	vakje met invulling linksboven/rechtsonder
▨	vakje met invulling linksonder/rechtsboven
▩	vakje met invulling met diagonale dubbele arcering
▬	rechthoek met invulling
▭	holle rechthoek
▮	ingevulde verticale rechthoek
▰	ingevuld parallellogram
▲	driehoek, gevuld, gevulde, gevulde, omhoog wijzende driehoek, omhoog, omhoog wijzende driehoek, pijl
△	holle driehoek die naar boven wijst
▴	ingevulde kleine driehoek die naar boven wijst
▵	holle kleine driehoek die naar boven wijst
▷	holle driehoek die naar rechts wijst
▸	ingevulde kleine driehoek die naar rechts wijst
▹	holle kleine driehoek die naar rechts wijst
►	ingevulde pijl die naar rechts wijst
▻	holle pijl die naar rechts wijst
▼	driehoek, gevuld, gevulde, gevulde, omlaag wijzende driehoek, omlaag, omlaag wijzende driehoek, pijl
▽	holle pijl die omlaag wijst
▾	ingevulde kleine driehoek die omlaag wijst
▿	holle kleine driehoek die omlaag wijst
◁	holle driehoek die naar links wijst
◂	ingevulde kleine driehoek die naar links wijst
◃	holle kleine driehoek die naar links wijst
◄	ingevulde pijl die naar links wijst
◅	holle pijl die naar links wijst
◆	ingevulde ruit
◇	holle ruit
◈	holle ruit met ingevulde ruit
◉	concentrische cirkels ingevuld, holle cirkel met ingevulde cirkel, punt in cirkel, pupil, vissenoog
◊	ruit, ruitvorm, ruitvormig
○	cirkel, holle cirkel, ring
◌	gestippelde cirkel
◍	cirkel met verticale invulling
◎	concentrische cirkels, doel, dubbele cirkel
●	cirkel, gevulde cirkel
◐	cirkel met ingevulde linker helft
◑	cirkel met ingevulde rechter helft
◒	cirkel met ingevulde onderste helft
◓	cirkel met ingevulde bovenste helft
◔	cirkel met bovenste kwadrant rechts ingevuld
◕	cirkel met alles ingevuld behalve linker kwadrant
◖	cirkel met linker helft ingevuld
◗	cirkel met rechter helft ingevuld
◘	omgekeerd opsommingsteken
◙	ingevuld vakje met holle cirkel, omgekeerde holle cirkel
◜	ronde boog kwadrant linksboven
◝	ronde boog kwadrant rechtsboven
◞	ronde boog kwadrant rechtsonder
◟	ronde boog kwadrant linksonder
◠	bovenste halve cirkel
◡	onderste halve cirkel
◢	ingevulde driehoek rechtsonder
◣	ingevulde driehoek linksonder
◤	ingevulde driehoek linksboven
◥	ingevulde driehoek rechtsboven
◦	hol opsommingsteken
◯	cirkel, grote holle cirkel, ring
◳	hol vakje kwadrant rechtsboven
◷	holle cirkel met kwadrant rechtsboven
◿	driehoek rechtsonder
♪	achtste, achtste noot, muziek, noot
⨧	plus subscript twee
⨯	vectorkruisproduct
⨼	inwendig product
⩣	logische of dubbele onderbalk
⩽	minder dan of gelijk aan
⪍	minder dan boven soortgelijk aan
⪚	dubbele lijn soortgelijk aan groter dan, ongelijkheid, wiskunde
⪺	komt na boven niet bijna gelijk aan
♭	mol, molteken, muziek, noot
♯	diesis, dièse, kruis, muziek, noot
😀	gezicht, grappig, grijns, grijnzend gezicht, lachen, lachend gezicht met open ogen, leuk, smiley
😃	gaaf, gezicht, grappig, grijnzend gezicht met grote ogen, haha, lach, lachen, lachend gezicht met open mond, leuk, mond, open, smiley
😄	gelukkig, gezicht, grijns, grijnzen, grijnzend gezicht met lachende ogen, lach, lachen, lol, mond, ogen, oog, open
😁	gezicht, glimlach, grappig, grijns, grijnzend, grijnzend gezicht met lachende ogen, lach, lachen, lachende ogen, leuk, oog, smiley, stralend gezicht met lachende ogen
😆	dichtgeknepen ogen, gelukkig, gesloten, gezicht, glimlach, glimlachend, grijnzen, grijnzend gezicht met stijf dichtgeknepen ogen, haha, hahaha, lachen, lol, mond, ogen, open, rofl
😅	gestrest, gezicht, grijnzen, grijnzend gezicht met zweetdruppels, koud, lach, lachen, mond, neerslachtig, nerveus, open, opgewonden, stress, zweet
🤣	gelukkig, gezicht, gezicht dat op de grond rolt van het lachen, grappig, haha, hehe, hilarisch, huilen, lachen, lmao, lol, rofl, roflmao, rollen, traan, vloer, vreugde
😂	gelukkig, gevoelens, gezicht, gezicht met tranen van vreugde, grappig, haha, hehe, hilarisch, huilen, lachen, lmao, lol, rofl, roflmao, traan, vreugde
🙂	enigszins lachend gezicht, gezicht, glimlach, lach, smiley, tevreden
🙃	gezicht, glimlach, hehe, omgekeerd, omgekeerd gezicht
🫠	heet, oplossen, smelten, smeltend gezicht, smiley, verdwijnen, vloeibaar, warm
😉	flirten, gezicht, knipogend gezicht, knipoog, sexy, smiley, zwoel
😊	blosjes, blozen, gezicht, glimlach, lach, lachen, lachend gezicht met lachende ogen, oog, rode wangen, smiley
😇	aureool, engel, fantasie, gezegend, gezicht, glimlach, halo, heilig, lach, lach met halo, lachend gezicht met halo, onschuldig, smiley, stralenkrans
🥰	crush, dol, gezicht, hart, hartjes, jou, lach, lachen, lachend gezicht met hartjes, liefde, romantiek
😍	gevoelens, gezicht, hartjes, hartjesogen, kussen, lach, lachend gezicht met hartvormige ogen, liefde, oog, romantiek, schatje
🤩	gezicht, grijnzend, lach, ogen, opgewonden, ster, sterren als ogen, sterren in de ogen, wauw
