😀	fuula, fuula kolfaa jiru, gammadaa, ilkaan, kolfa, kolfaa jiraachuu
😃	banaa, bareeda, fuula, fuula kolfaa jiru afaan banaa waliin, gaarii, gammachuu, ilkaan, kolfa
😄	afaan, banaa, fuula, fuula kolfaa jiru afaan banaatiin fi ija kolfaa jiru, gammachuu, ija, kolfa, kolfuu
😁	fuula, fuula seequ, gaarii, gammachuu, ija, ilkaan, qummaaduu, seequu
😆	afaan, banaa, fuula, gammachuu, hahaha, kkk, kolfuu, qummaaduu, quufe
😅	banaa, dafqa, dhiphina, fuula, fuula kolfaa jiruu fi afaan banaa dafqa qorraa waliin, gammadaa, kolfa, mufataa, wereeraa
🤣	ajaa’ibsiisaa, fuula, gammachuu, gammaduu, haha, hahaha, hehe, imimmaan, kofalchiisaa, kolfa, kolfaa boo’uu, kolfuu, lafa buusuu, raawwate
😂	bohaarsaa, boo’uu, fuula, hahaha, imimmaan, imimmaan gammachuu, kofalchiisaa, kolfa, kolfaan gaggabuu, miira
🙂	fuula, fuula xiqqoo seequ, gammaduu, qummaaduu
🙃	fuula, fuula gadi garagalaa, gombifamaa, kolfa
🫠	haha, qoosaa, qoosuu, qummaaduu, saalfii
😉	fuula, fuula ija tokko dhaamsu, garaa nama nyaata, hawwataa, ija tokko dhaamsuu, itti qoosuu, mucucaachuu, saalfachuu
😊	fuula, gammachuu, ija, ijaa fi fuulaan kolfuu, kolfa
😇	eebbifamaa, ergamaa, ergamoota, fuula, gammachuu, hafuura, macaafa qulqulluu, minaaba, nagaa, oduu durii, qulqulluu, qummaaduu, sheekkoo
🥰	fuula, fuula kolfaa onnee 3 qabu, jaalalaan, jaalalaan qabamuu, jaallachuu, miira jaalalaa, onnee, onneewwan, onneewwan seeqan, qummaaduu, sin jaalladha
😍	143, dhungoo, fuula, fuula seequ fi ija onnee qabu, ija, jaalala, jaalalaan, jaallachuu, miira, onnee, seequu, sin jaalladha
🤩	ajab, dinqisiifannaa, fuula, gammaduu, ija, ija urjii qabu, kolfuu, qummaaduu, urjii
😘	143, akkam bulte, dhungoo, fuula, haasaa jaalalaa, jaalallee, nagaan buli, onnee, sin jaalladha, sin yaada
😗	143, dhungachuu, dhungoo, fuula, fuula dhungachaa jiru, guyyaa, haasaa jaalalaa, hariiroo jaalalaa, jaalala
☺️	fuula, fuula kolfaa jiru, gammachuu, gammadaa, kolfa, kolfuu
😚	143, cufaa, dhungoo, fuula, hariiroo jaalalaa, ija, jaalala, jaallee
😙	143, beellama jaalalaa, dhungoo, fuula, fuula dhungachaa jiruu fi ija kolfaa jiru, haasaa jaalalaa, halkan, hariiroo jaalalaa, ija, ija deebi’aa, kolfa
🥲	boonuu, dhukkubbii, galateeffachuu, gammachuu, garaa nama nyaachuu, imimmaan, kolfa
😋	beela’uu, fuula, fuula nyaata mi’aawaa mi’eeffatu, guutuu, mi’aawaa, mi’eeffachuu, nyaachuu, nyaata, qummaaduu
😛	affeerraa, ajaa’iba, arraba, baay’ee gaarii, fuula, fuula arraba baase, misha, mi’aawaa
😜	affeerraa, arraba, fuula, ija, maraataa, qoosaa, tapha
🤪	fuula maraataa, guddaa, ija, maraataa, xiqqoo
😝	arraba, dhamdhama, fuula, fuula arraba baasee fi ija dunuunfate, ija, suukaneessaa, waanuma fedhe, yaa rabbi
🤑	afaan, fuula, fuula afaanii-maallaqa qabu, kaffalame, maallaqa
🤗	fuula, fuula hammatu, hammachuu, harka
🤭	ajaa’ibsifachuu, fuula harka afaan irraa, icciitii, kolfuu, rifachuu, tasa hubachuu
🫢	afaan qabachuu, callisuu, raajeffachuu, rifachuu, yaa Waaq
🫣	dhokachuu, ilaaluu, qaaneffachuu, sodaachuu
🤫	callisaa, callisi, fuulaa qaanii, usi
🤔	areeda, beekuuf fedhii qabaachuu, fuula, fuula yaadaa jiru, ihim, ilaalcha keessa galchuu, mee itti yaadi, xiinxaluu, yaaduu
🫡	ajajamaadha, carraa gaarii, eeyyee, eeyyee giiftii, eeyyee gooftaa, kabaja, nagaa gaafachuu
🤐	afaan, afaan kee qabi, callisuu, fuula, fuula afaaniirraa ziippii qabu, hin himiin, iccitii, ziippii
🤨	amantaa dhabuu, amanuu diduu, dinqisiisuu, fudhatama dhabuu, fuula nyaara olka’e qabu, ihim, maal, miira-ibsituu koolbartii, shakkii qabaachuu, shakkuu
😐️	badaa, bu’uura, callisaa, du’aa, fuula, fuula hin ajaa’ibsiifanne, gadhee, giddugaleessa, goomii, homaa, homaa hin fakkaatu, nama hin bohaarsu
😑	baasii, badaa, bitaa galaa, bu’uura, du’aa, fuula homaa hin ibsanne, fuula mufataa, gammachuu kan hin qabne, goomii, hin ajaa’ibsiifamne, inaaffaa, kan nama hin dinqine, miira maleessa, nama hin raaju, tole, waan fe’e
😶	afaan, callisa, callisuu, cookkoo, dhoksaa, duwwaa, fuula, fuula afaan malee, icciitii, jecha dhabuu, kan hin dubbifamne, ukkaamsuu
🫥	cinqii, dhokataa, homaayyuu, waan fedhellee ta’u, yaaddessaa
😏	fuula, fuula seequ, gaaddisa, hawwataa, hawwisiisaa, haxxummaa, hoogganaa, ija tokko dhaamsuu, kolfuu, mucaa manaa, mucucaachuu, nyaara ijaa, of tuuluu, qaanfachuu, qoosuu, seequu, shakkisiisaa
😒	..., fuula, fuula hin gammanne, gaarii, gammachuu dhabuu, hin gammanne, hinaafuu, kan hin baramne, mufachuu, mukaa’aa, seenaa gaarii obbolee, waanuma fedhe
🙄	fuula, fuula fi ija garagalaa, gaaddidduu, ija, ija garagalchuu, naannessuu, waan fe’e
😬	fuula kolfaa jiru, homaa, kolfa, kolfuu, nuffisiisaa, ogeessa fayyaa ilkaanii
😮‍💨	afuufuu, dadhabuu, hafuura baafachuu, kolfa
🤥	fuula, pinoochiyoo, soba, sobduu
🫨	ajaa’iba, kirkira lafaa, kirkiruu, maraataa, naasisuu, raafamuu, rifaatuu, rifachuu, yaa rabbi
😌	boqonnaa argachuu, fuula, fuula boqonnaa argate, nagaa, tasgabbii
😔	baduu, dhabuu, dhukkubbii, du’e, fuula, fuula yaadaan bade, gaddisiisaa, jibbisiisaa, laphee cabuu, mufate, mukaa’aa, xiinxaluu
😪	boo’uu, dadhabuu, fuula, fuula hirriibaa, gadda, hirriiba, rafuu
🤤	fuula, gomja’uu, gororuu
😴	dadhabe, fuula, fuula nama rafaa jiru, halkan, halkan gaarii, hamuummachuu, hirriiba, nagaan buli, rafuu, siree, waanuma fedhe, yeroo hirriibaa
😷	dhukkubsataa, diilalla’aa, doktora, dr, fuula, fuula golgituu fuulaa kan yaalaa uffate, golgituu fuulaa, jarmoota, ogeessa yaalaa gogaa, ogeessa yaalaa ilkaanii, qoricha
🤒	dhukkubsachuu, dhukkubsataa, fuula, fuula safartuu ho’aa qabu, safartuu ho’aa
🤕	dhukkubbii, fuula, fuula mataa hidhame qabu, hidhaa, miidhama, miidhuu
🤢	balaqqama, dhukkubsataa, fuula, garaa kaasaa, jibbisiisaa
🤮	balaqqama, dhibamaa, duuchaa, fuula balaqqamu, ol deebisiisuu
🤧	dhaqna gubaa, dhibamaa, fuula, haxxiffachuu, utaalloo
🥵	arraba ba’e, dafquu, du’uu, fuula, fuula diimate, harganuu, ho’aa, ho’insa qaamaa, ho’isaa
🥶	cuquliisa, diilalla, fuula, fuula cuquliisa’e, fuula qorraa, ilkaan qorraa, qabbanaa’uu, qorra cimaa, tuullaa cabbii, zeeroo gadi
🥴	afaan sosocho’u, dunquqqaa’aa, fuula qaanii, ija walcaalu, machaa’aa
😵	dadhabe, dhibamaa, dhukkubsataa, dunquqqaa’aa, du’aa, fuula
😵‍💫	Kolfa, ajaa’ib, bitaa galuu, yaa Waaqakoo
🤯	dhoohuu, gonkumaa hin ta’u, mataa dhoo’e, rifate, sammuu afuufame
🤠	barneexaa, dhiira loon tiksu, dubartii loon tksitu, fuula
🥳	ayyaana, ayyaaneffachuu, bashannana, fuula, fuula bashannanaa, gaanfa, gammachuu, gammaduu, gonfoo, guyyaa dhaloota gaarii, guyyaa dhalootaa
🥸	areeda, basaastuu, fuullee ijaa, nama, nyaara
😎	ajaa’iba, ajaa’ibsiifachuu, akkaataa, baay’ee gaarii, basha’uu, bohaaruu, fuula, gaaddisa, ifaa, injifachuu, kishaafa, kolfa, obboleesso, qabbaneessuu, qarqara galaanaa, qorraa
🤓	fuula, fuullee ijaa, gowwaa, nama boodatti hafaa, nama kennaa qabu, ogeessa, qaroo, qaxalee, sammuu cimaa
🧐	dureessa, faashinii, qaalii, sooressa, ukkaamamaa
😕	ani hin beeku, burjaaja’e, burjaajessaa, dhiifama, fuula, gadda, ihim, itti bitaacha’e, mirkanaa’aa miti
🫤	akka wallaaluu, bitaa galuu, maal, muffii, shakkii, shakkisiisaa, shakkuu
😟	aarii, billaacha, dhiphachuu, dhiphuu, fuula, gadda, yaadda’uu
🙁	fuula, fuula guuruu, fuula xiqqoo shuntuure, gadduu
☹️	fuula, fuula nyaara guure, gadda, nyaata guuraa
😮	afaan, ajaa’ib, ajaa’iba, banaa, dagachuu, fuula, fuula afaan banaa waliin, garaa laafummaa, hin amanamu, irraanfachuu, nahuu, raajii, sin amanu, soba
😯	ajaa’ib, ajaa’ibsiifamaa, callisaa, fuula, fuula haguugamaa, raajii
😲	ajaa’ibsiifate, baasii, fuula, gonkumaa hin ta’u, guutummaatti, rifate, yaa rabbi
😳	ajaa’ibsiifate, cookkoo, dinqisiise, du’aa, fuula, ho’a, jaanja’uu, komachuu, kufrii, maal, qaana’e, rakkisaa, sochii qaamaa, sun maraatummaa
🥺	araara, fuula kadhannnaa, gadda, ija buchillaa, ija gurguddaa, kadhachuu, maaliif hin ta’u, maaloo, mee maaloo
🥹	dinqisiifannaa, gadda, galfata, gara-laafina, imimmaan gammachuu, maaloo, miira, rifaatuu
😦	aarii, afaan, ajaa’ib, banaa, fuula, fuula mufataa afaan banaa waliin, maal, nahaa, waan hin eegamne
😧	ajaa’ibsiisaa, cinqame, dhiphate, dinqii, fuula, fuula dhiphinaa, gammachuu dhabuu, irraanfachuu, maal, sodaachisaa, sodaachuu
😨	cinqamuu, fuula, fuula sodaa qabu, komachuu, sodaa, sodaachisaa, sodaachuu, sodaate, yaaddoo
😰	afaan, ariifannaa, banaa, cuquliisa, dafquu, diilalla, fuula, fuula afaan banaa & dafqa qabbanaawaa, nahuu, rifachuu
😥	dafqa, furame, fuula, fuula mufate garuu boqonnaa argate, gaddisiisaa, jalaa bahuu, mufate, uuff, walxaxaa, yaadda’aa, yeroo kana miti
😢	boo’uu, dhabuu, fuula, fuula boo’u, gaddisiisaa, gammachuu dhabuu, imimmaan, jibbisiisaa, miira
😭	boo’icha, boo’uu, fuula, fuula sagalee guddaadhaan boo’aa jiru, gadda, gammachuu dhabuu, imimmaan
😱	caraanuu, dinqisiifachuu, fuula, fuula sodaan iyyu, habbuuquu, iyyuu, rifate, sodaa, sodaachisaa, sodaachuu
😖	aare, bitaa galaa, burjaaja’e, fuula, gadduu, itti bitaacha’e, itti dhagaa’amuu, mogoleen buute, mufate, naasuu, yaadda’e
😣	ciniinnachuu, fuula, fuula obsaa, mataa bowwoo, obsuu, qabxii xiyyeeffannoo, xiyyeeffachuu, xiyyeeffannoo
😞	fuula, gadda, gaddisiisaa, gammachuu dhabuu, jibbisiisaa, komachuu, kufaatii, mo’amuu, mufate
😓	dafqa, diilalla, fuula, fuula dafqa qorraa qabu, gaddisiisaa, mataa bowwoo, miira, sodaa, sodaate, sun dhiyoo ture
😩	beela’uu, boo’uu, dadhabbii, dadhabuu, fuula, gadda, gammachuu dhabuu, hirriibaan qabamuu, kufuu, lakki, maraataa, miira
😫	baasii, dadhabuu, fuula, fuula dadhabbii, gadda, haxxiffachuu, hirriiba, miira
🥱	dadhabuu, fuula, fuula hamuummataa, halkan, halkan gaarii, hamuummachuu, hirriiba, hirriiba rafuu, hirriibaan qabamuu, muuka’uu, waanuma fedhe, yeroo ciisichaa
😤	aara, aara aarsuu, aarii, aarii garmalee, dheekkamsa, fuula, fuula aara funyaaniin yaasu, gammachuu dhabuu, maraachuu, miira, mufate
😡	aarii, aaruu, dheekkamsa, fuula, gaaddisa, gammachuu dhabuu, hidhii xuuxuu, maraachuu, maraataa, miira, mufachuu
😠	aarii, aaruu, dheekkamsa, fuula, hamileen bu’uu, komachuu, maraachuu, maraataa, miira, mufachuu
🤬	aare, abaaruu, arrabsuu, fuula mallattoolee afaaniiraa qabu, gulaaluu, maraataa
😈	fuula, fuula qummaadu fi gaanfa qabu, gaaddisa, gaanfa, hammeenya, minaaba, oduu durii, qummaaduu, sheekkoo
👿	abjuu, fuula, fuula aarii gaanfa qabu, gaaddisa, hamaa, jeequmsa, jinnii, oduu durii, seexana, sheekkoo
💀	bulguu, buqqee sammuu, du’a, du’aa, fuula, oduu durii, qaama
☠️	bulguu, buqqee mataa, buqqee mataa fi lafee walqaxxaamuraa, du’a, du’aa, lafee
💩	bobbaa, bulguu, fuula, kofalchiisaa, urgaa’aa, urgooftuu
🤡	fuula, nama qoosu
👹	Jaappaan, abjuu, bulguu, fuula, golgituu fuulaa, seexana, sheekkoo, sodaachisaa, uumama
👺	Jaappaan, aaruu, abjuu, bulguu, fuula, golgituu fuulaa, hammeenya, oduu durii, sheekkoo, uumama
👻	abjuu, bulguu, ekeraa, fuula, gammaduu, gowwaa, haalowiinii, hawwisiisaa, oduu durii, sodaachisaa, uumama
👽️	abjaata, alagaa, bulguu, fuula, hawwaa, lafaan ala, oduu durii, uumama, yuufoo
👾	abjuu, alagaa, bineensa alagaa, bulguu, fuula, hawaa, oduu durii, sheekkoo, tapha, taphataa, taphoota, uumama, weerartoota hawaa
🤖	bulguu, fuula, roobootii
😺	adurree, afaan, banaa, bashoo, beeylada, fuula, fuula adurree seeqxu fi afaan banaa, qummaaduu
😸	adurree, beeylada, fuula, ija, kolfuu, qummaaduu, seequu
😹	adurree, beeylada, fuula, fuula adurree fi imimmaan gammachuu, gammachuu, imimmaan, kolfuu
😻	adurree, bineelda, fuula, fuula adurree kolfaa jiruu fi ija ofirraa onnee qabu, ija, jaalala, kolfa, onnee
😼	adurree, beeylada, fuula, fuula adurree kolfa qoosaa, kofalchiisaa, qoosaa, qummaaduu
😽	adurree, bineelda, dhungoo, fuula, fuula adurree ija cufattee dhungachaa jirtu, ija
🙀	adurree, ajaa’ibsiifamuu, bineelda, dadhabbii, fuula, fuula adurree dadhabdee, oh
😿	adurree, beeylada, boo’uu, fuula, fuula adurree boossuu, gadda, imimmaan
😾	adurree, adurree hidhii gatte, beeylada, fuula, hidhii gatuu
