‾	nadcrta
_	crta, donja crta
-	crtica, minus, spojnica, spojnica-minus
‐	crtica, spojnica
–	crtica, pravopisni znak
—	crta, pravopisni znak
―	crta, crtica, vodoravna crta
・	katakana, srednja točka, srednja točka u katakana pismu, točke
,	zarez
،	zarez, zarez u arapskom pismu
、	ideografsko pismo, zarez, zarez u ideografskom pismu
;	točka sa zarezom
؛	arapsko pismo, točka sa zarezom, točka sa zarezom u arapskom pismu
:	dvotočka
!	usklik, uskličnik
¡	obrnuti, obrnuti uskličnik, usklik, uskličnik
?	pitanje, upitnik
¿	obrnuti, obrnuti upitnik, pitanje, upitnik
؟	arapsko pismo, pitanje, upitnik, upitnik u arapskom pismu
‽	upitnik s uskličnikom, uskličnik-upitnik
.	točka, točka na kraju rečenice, završna točka
…	izostavljanje, točke, trotočka
。	ideografsko pismo, točka, točka u ideografskom pismu
·	sredina, srednja točka, točka
'	apostrof, jednostruki navodnik, navodnik, polunavodnik na pisaćem stroju
‘	apostrof, jednostruki, lijevi polunavodnik, navodnik, polunavodnik
’	apostrof, desni polunavodnik, jednostruki, navodnik, polunavodnik
‚	apostrof, donji desni polunavodnik, donji navodnik, polunavodnik
“	dvostruki navodnici, lijevi navodnik, navodnik
”	desni navodnik, dvostruki navodnici, navodnik
„	donji desni navodnik, dvostruki navodnici, navodnik, polunavodnik
«	kareti, lijevo, lijevo usmjereni šiljasti navodnik, navodnik, ukošeno, zagrade, ševron
»	desno, desno usmjereni šiljasti navodnik, kareti, navodnik, ukošeno, zagrade, ševron
)	desna zagrada, okrugla zagrada, zagrada
[	lijeva uglata zagrada, uglata zagrada, zagrada
]	desna uglata zagrada, uglata zagrada, zagrada
{	lijeva vitičasta zagrada, vitica, vitičasta zagrada, zagrada
}	desna vitičasta zagrada, vitica, vitičasta zagrada, zagrada
〈	dijamantne zagrade, izlomljena zagrada, lijeva izlomljena zagrada, zagrada, šiljasta zagrada
〉	desna izlomljena zagrada, dijamantne zagrade, izlomljena zagrada, zagrada, šiljasta zagrada
《	dvostruka izlomljena zagrada, lijeva dvostruka izlomljena zagrada, zagrada
》	desna dvostruka izlomljena zagrada, dvostruka izlomljena zagrada, zagrada
「	jednouglata zagrada, lijeva jednouglata zagrada, zagrada
」	desna jednouglata zagrada, jednouglata zagrada, zagrada
『	jednouglata zagrada bez ispune, lijeva jednouglata zagrada bez ispune, zagrada
』	desna jednouglata zagrada bez ispune, jednouglata zagrada bez ispune, zagrada
【	crna lijeva konkavna zagrada, lentikularna zagrada, lećasta zagrada, zagrada
