‾	garis atas
_	dash, dash bawah, dash rendah, garis, garis bawah
-	dash, minus, tanda hubung, tanda hubung-minus, tanda kurang
‐	dash, tanda hubung
–	en, en dash, tanda pisah
—	em, em dash, tanda pisah
―	batang, batang horizontal, dash, garis
・	katakana, tanda baca penghubung, tanda titik, titik tengah, titik tengah katakana
,	koma
،	arab, koma, koma arab
、	ideograf, koma, koma ideograf
;	titik koma
؛	arab, titik koma, titik koma arab
:	titik dua
!	dor, seru, tanda seru
¡	dor, seru, tanda seru, tanda seru terbalik, terbalik
?	pertanyaan, tanda tanya
¿	pertanyaan, tanda tanya, tanda tanya terbalik, terbalik
؟	arab, pertanyaan, tanda tanya, tanda tanya arab
‽	interabang, interobang
.	dot, titik
…	elipsis, penghilangan, titik-titik
。	ideografis, titik, titik ideografis
·	interpunct, tengah, titik, titik tengah
'	apostrof, apostrof mesin tik, kutipan, tanda petik tunggal
‘	apostrof, apostrof kiri, kutipan, tanda petik, tanda petik tunggal
’	apostrof, apostrof kanan, kutipan, tanda petik, tanda petik tunggal
‚	apostrof, apostrof kanan bawah, kutipan, tanda petik bawah
“	kutipan, kutipan cerdas, tanda petik ganda, tanda petik kiri
”	kutipan, kutipan cerdas, tanda petik ganda, tanda petik kanan
„	kutipan, kutipan cerdas, tanda petik bawah, tanda petik ganda, tanda petik kanan bawah
«	caret, chevron, guillemet kiri, kiri, sudut, tanda kurung, tanda petik
»	caret, chevron, guillemet kanan, kanan, sudut, tanda kurung, tanda petik
)	kurung, kurung lengkung, kurung tutup, tanda kurung
[	kurung, kurung siku buka, siku, tanda kurung
]	kurung, kurung siku tutup, siku, tanda kurung
{	kurawal, kurung kurawal, kurung kurawal buka, tanda kurung
}	kurawal, kurung kurawal, kurung kurawal tutup, tanda kurung
〈	chevron, kurung lancip, kurung sudut, kurung sudut buka, tanda kurung, tuple
〉	chevron, kurung lancip, kurung sudut, kurung sudut tutup, tanda kurung, tuple
《	kurung sudut ganda, kurung sudut ganda buka, tanda kurung
》	kurung sudut ganda, kurung sudut ganda tutup, tanda kurung
「	kurung tekuk, kurung tekuk buka, tanda kurung
」	kurung tekuk, kurung tekuk tutup, tanda kurung
『	kurung tekuk bolong, kurung tekuk bolong buka, tanda kurung
』	kurung tekuk bolong, kurung tekuk bolong tutup, tanda kurung
【	kurung lensa, kurung lensa penuh buka, kurung lentikular, tanda kurung
】	kurung lensa, kurung lensa penuh tutup, kurung lentikular, tanda kurung
〔	kurung tempurung, tanda kurung, tanda kurung tempurung, tanda kurung tempurung buka
〕	kurung tempurung, tanda kurung, tanda kurung tempurung, tanda kurung tempurung tutup
〖	kurung lensa bolong, kurung lensa bolong buka, kurung lentikular bolong, tanda kurung
〗	kurung lensa bolong, kurung lensa bolong tutup, kurung lentikular bolong, tanda kurung
§	bagian, paragraf, seksi, silcrow
¶	alinea, paragraf, tanda paragraf
@	ampersat, et, tanda et, tanda et komersial
*️	asterisk, bintang, bintang kecil, tanda bintang
/	garis, garis miring, goresan, miring
\	garis miring, garis miring terbalik, terbalik
&	ampersan, dan, et
#️	angka, hashtag, lb, pagar, pound, tanda pagar
%	per seratus, persen, persentase, perseratus
‰	per seribu, permil, perseribu
†	dagger, obelisk, obelus, tanda dagger
‡	dagger, ganda, obelisk, obelus, tanda dagger ganda
•	bullet, titik
‧	dash, tanda hubung, titik, titik hubung
′	prime
″	prime, prime ganda
‴	prime, prime tripel
‸	caret
※	tanda referensi
⁂	asterisme, bintang, dinkus
`	aksen, nada, rendah, tanda aksen rendah
