‾	horná čiara
_	podčiarkovník
-	mínus, mínusový spojovník, pomlčka, spojovník
‐	pomlčka, spojovník
–	krátka, pomlčka
—	dlhá, dlhá pomlčka
―	pomlčka, vodorovná čiara, čiara
・	katakana, katakanová stredná bodka, stredná bodka
,	čiarka
،	arabská čiarka, arabčina, čiarka
、	ideograf, ideografická čiarka, čiarka
;	bodkočiarka, stredník
؛	arabská bodkočiarka, arabčina, bodkočiarka
:	dvojbodka
!	buch, výkrik, výkričník, zvolanie
¡	buch, obrátený, obrátený výkričník, výkrik, výkričník, zvolanie
?	otázka, otáznik, čo
¿	obrátený, obrátený otáznik, otázka, čo
؟	arabský otáznik, arabčina, otázka, čo
‽	interrobang
.	bodka, koniec, koniec vety
…	bodky, tri bodky, vynechanie
。	bodka, ideograf, ideografická bodka, koniec
·	bodka, stredná, stredná bodka, znak
'	apostrof, rovný apostrof, úvodzovka
‘	apostrof, úvodzovka, ľavý apostrof
’	apostrof, pravý apostrof, úvodzovka
‚	apostrof, pravý dolný apostrof, úvodzovka dole
“	dvojité úvodzovky, priama reč, úvodzovka vľavo hore
”	dvojité úvodzovky, priama reč, úvodzovka vpravo hore
„	dvojité úvodzovky, priama reč, úvodzovka vpravo dole
«	citácia, francúzske, lomené, uhlové, ľavá bočná úvodzovka, ľavé, ľavé bočné úvodzovky, ľavé úvodzovky
»	citácia, francúzske, lomené, pravá bočná úvodzovka, pravé, pravé bočné úvodzovky, pravé úvodzovky, uhlové
)	jednoduchá zátvorka, pravá zátvorka, zátvorky
[	hranatá zátvorka, zátvorky, ľavá hranatá zátvorka
]	hranatá zátvorka, pravá hranatá zátvorka, zátvorky
{	zložená zátvorka, zátvorky, ľavá zložená zátvorka
}	pravá zložená zátvorka, zložená zátvorka, zátvorky
〈	lomená zátvorka, ostrá zátvorka, ľavá lomená zátvorka
〉	lomená zátvorka, ostrá zátvorka, pravá lomená zátvorka
《	dvojitá lomená zátvorka, dvojitá ľavá lomená zátvorka
》	dvojitá lomená zátvorka, dvojitá pravá lomená zátvorka
「	rohová zátvorka, ľavá rohová zátvorka
」	pravá rohová zátvorka, rohová zátvorka
『	dutá, dutá ľavá rohová zátvorka, rohová zátvorka
』	dutá, dutá pravá rohová zátvorka, rohová zátvorka
【	plná, plná ľavá šošovková zátvorka, šošovková zátvorka
】	plná, plná pravá šošovková zátvorka, šošovková zátvorka
〔	ázijská komentárová zátvorka, ľavá ázijská komentárová zátvorka
〕	pravá ázijská komentárová zátvorka, ázijská komentárová zátvorka
〖	dutá, dutá ľavá šošovková zátvorka, šošovková zátvorka
〗	dutá, dutá pravá šošovková zátvorka, šošovková zátvorka
§	odsek, paragraf, znak paragrafu, časť
¶	odsek, znak odseku
@	at, zavináč
*️	hviezda, hviezdička
/	lomka, lomítko
\	lomítko, opačná, opačná lomka
&	a, ampersand, et
#️	hashtag, znak čísla, číslo
%	na sto, percento, percentá
‰	na tisíc, promile
†	kríž, krížik, znak kríža, znak krížika
‡	dvojitý, dvojkríž, kríž, krížik, znak dvojitého kríža
•	guľka, odrážka
‧	bodka, pomlčka, spojovacia bodka, spojovník
