‾	nadčrtano
_	podčrtaj, podčrtati, spodnja črta, črta, črtica
-	minus, vezaj, znak minus, črtica
‐	vezaj, črtica
–	kratek, pomišljaj
—	dolg, dolgi pomišljaj, pomišljaj
―	linija, pomišljaj, vodoravna črta, črta
・	katakana, katakanska srednja pika, ločilo, pike, srednja pika
,	vejica
،	arabska, arabska vejica, vejica
、	ideografska, ideografska vejica, vejica
;	podpičje
؛	arabsko, arabsko podpičje, podpičje
:	dvopičje
!	klicaj, vzklik
¡	klicaj, narobe obrnjen, obrnjen, obrnjen klicaj, vzklik
?	vprašaj, vprašanje
¿	obrnjen, obrnjen vprašaj, vprašaj, vprašanje
؟	arabski, arabski vprašaj, vprašaj, vprašanje
‽	klicajvprašaj
.	končno ločilo, pika, pikica
…	elipsa, izpust, tri pike
。	ideografska, ideografska pika, pika
·	ločilo, pika, srednja, srednja pika
'	enojni narekovaj, narekovaj, opuščaj, strojepisni opuščaj
‘	enojni narekovaj, levi opuščaj, narekovaj, opuščaj
’	desni opuščaj, enojni narekovaj, narekovaj, opuščaj
‚	narekovaj, nizki desni opuščaj, nizki narekovaj, opuščaj
“	dvojni narekovaj, dvojni srednji narekovaj, levi narekovaj, narekovaj, navedek
”	desni narekovaj, dvojni narekovaj, dvojni srednji narekovaj, narekovaj, navedek
„	dvojni narekovaj, dvojni srednji narekovaj, narekovaj, navedek, nizki desni narekovaj, nizki narekovaj
«	kotni, levi, levi francoski narekovaj, narekovaji, navednica, znak, škarnice
»	desni, desni francoski narekovaj, kotni, narekovaji, navednica, znak, škarnice
)	oklepaj, oklepaji, okrogli oklepaj, zaklepaj
[	oglati oklepaj, oglati uklepaj, oklepaj
]	oglati oklepaj, oglati zaklepaj, oklepaj
{	oklepaj, zaviti oklepaj, zaviti uklepaj
}	oklepaj, zaviti oklepaj, zaviti zaklepaj
〈	koničasti oklepaj, kotni oklepaj, kotni uklepaj, oklepaj
〉	koničasti oklepaj, kotni oklepaj, kotni zaklepaj, oklepaj
《	dvojni kotni oklepaj, dvojni kotni uklepaj, oklepaj
》	dvojni kotni oklepaj, dvojni kotni zaklepaj, oklepaj
「	oklepaj, vogalni oklepaj, vogalni uklepaj
」	oklepaj, vogalni oklepaj, vogalni zaklepaj
『	oklepaj, votli vogalni oklepaj, votli vogalni uklepaj
』	oklepaj, votli vogalni oklepaj, votli vogalni zaklepaj
【	lečasti oklepaj, oklepaj, polni lečasti uklepaj
】	lečasti oklepaj, oklepaj, polni lečasti zaklepaj
〔	oklepaj, rombasti oklepaj, rombasti uklepaj
〕	oklepaj, rombasti oklepaj, rombasti zaklepaj
〖	oklepaj, votli lečasti oklepaj, votli lečasti uklepaj
〗	oklepaj, votli lečasti oklepaj, votli lečasti zaklepaj
§	del, razdelek, znak za razdelek, člen
¶	alineja, odstavek, znak za odstavek
@	afna, ajka, obkrožena črka a, polžek, znak @, znak at, znak pri, znak za afno
*️	asterisk, nadomestni znak, zvezdica
/	desna poševnica, poševna črta, poševnica, poševnica v desno, solidus
\	leva poševnica, levo nagnjena poševnica, obratni solidus, poševnica v levo
&	in, znak &, znak et
#️	grabljice, ključnik, lojtra, znak #, znak za številko
%	odstotek, procent
‰	na tisoč, odtisoček, promile
†	bodalo, križec, znak za bodalo, znamenje
‡	bodalo, dvojno, križec, znak za dvojno bodalo, znamenje
•	pika, vrstična oznaka
‧	delilna pika, pika, pomišljaj, vezaj
′	znak za kotne minute in čevlje
″	znak za kotne sekunde in inče
‴	znak za linijo
‸	spodnja strešica
※	referenčna oznaka
⁂	asterizem
`	krativec, naglas, naglasno znamenje
´	naglas, naglasno znamenje, ostrivec
^	cirkumfleks, kazalec, kljukica, krmilka, naglas, strešica, znak xor, znamenje za dodano
¨	diereza, preglas
°	količina, stopinja, ura
℗	avtorske pravice, avtorske pravice za zvočni posnetek, posnetek, zvočni
←	levo, obrnjena v levo, puščica, puščica, obrnjena v levo
↚	puščica levo s poševnico
→	desno, obrnjena v desno, puščica, puščica, obrnjena v desno
↛	puščica desno s poševnico
↑	navzgor, obrnjena navzgor, puščica, puščica, obrnjena navzgor
↓	navzdol, obrnjena navzdol, puščica, puščica, obrnjena navzdol
↜	vijugasta puščica levo
↝	vijugasta puščica desno
↞	puščica z dvojno glavo levo
↟	puščica z dvojno glavo navzgor
↠	puščica z dvojno glavo desno
↡	puščica z dvojno glavo navzdol
↢	puščica z repom levo
↣	puščica z repom desno
↤	puščica od črte levo
↥	puščica od črte navzgor
↦	puščica od črte desno
↧	puščica od črte navzdol
↨	puščica gor-dol z osnovno črto
↫	zankasta puščica levo
↬	zankasta puščica desno
↭	vijugasta puščica levo-desno
↯	cikcakasta puščica navzdol
↰	puščica navzgor levo
↱	puščica navzgor desno
↲	puščica navzdol levo
↳	puščica navzdol desno
↴	kotna puščica desno navzdol
↵	kotna puščica levo navzdol
↶	zgornja polkrožna puščica v nasprotni smeri urnega kazalca
↷	zgornja polkrožna puščica v smeri urnega kazalca
↸	puščica severozahod z dolgo črtico zgoraj
↹	puščica levo s črtico nad puščico desno s črtico
↺	odprta krožna puščica v nasprotni smeri urnega kazalca
↻	odprta krožna puščica v smeri urnega kazalca
↼	harpuna levo z ostjo navzgor
↽	harpuna levo z ostjo navzdol
↾	harpuna navzgor z desno ostjo
↿	harpuna navzgor z levo ostjo
⇀	harpuna desno z ostjo navzgor
⇁	harpuna desno z ostjo navzdol
⇂	harpuna navzdol z desno ostjo
⇃	harpuna navzdol z levo ostjo
⇄	puščica desno nad puščico levo
⇅	Puščici, navzdol, navzgor, obrnjeni navzgor in navzdol, puščica, puščici, obrnjeni navzgor in navzdol
⇆	desno, levo, nad puščico, obrnjena v levo, obrnjeno v desno, puščica, puščica v levo nad puščico v desno
⇇	par puščic levo
⇈	par puščic navzgor
⇉	par puščic desno
⇊	par puščic navzdol
⇋	harpuna levo nad harpuno desno
⇌	harpuna desno nad harpuno levo
⇐	dvojna puščica levo
⇍	dvojna prečrtana puščica levo
⇑	dvojna puščica navzgor
⇒	dvojna puščica desno
⇏	dvojna prečrtana puščica desno
⇓	dvojna puščica navzdol
⇔	dvojna puščica levo-desno
⇎	dvojna prečrtana puščica levo-desno
⇖	dvojna puščica severozahod
⇗	dvojna puščica severovzhod
⇘	dvojna puščica jugovzhod
⇙	dvojna puščica jugozahod
⇚	trojna puščica levo
⇛	trojna puščica desno
⇜	valovita puščica levo
⇝	valovita puščica desno
⇞	dvakrat prečrtana puščica navzgor
⇟	dvakrat prečrtana puščica navzdol
⇠	črtkana puščica levo
⇡	črtkana puščica navzgor
⇢	črtkana puščica desno
⇣	črtkana puščica navzdol
⇤	puščica levo s črtico
⇥	puščica desno s črtico
⇦	votla puščica levo
⇧	votla puščica navzgor
⇨	votla puščica desno
⇩	votla puščica navzdol
⇪	votla puščica od črte navzgor
⇵	puščica navzdol levo od puščice navzgor
∀	dano, karkoli, univerzalno, vse, za vse
∂	diferencial, parcialni diferencial
∃	obstaja
∅	matematika, operator množic, prazna množica
∆	razlika, trikotnik
∇	nabla, trikotnik
∈	element, je element množice, množica, vsebuje, članstvo
∉	element, ni element
∋	element, vključuje kot element
∎	halmos, nagrobnik, q.e.d., qed, znak za konec
∏	logika, produkt, produkt n-skupine
∑	matematika, vsota, vsota n-skupine
+	plus, seštevanje, znak za plus
±	znak plus/minus
÷	deli, deljenje, znak za deljenje
×	krat, množenje, množi, znak za množenje
<	manjše od, oznaka, začetna oznaka
≮	matematika, ne manjše od, neenakost
=	enačaj, znak za enakost
≠	neenak, neenakost, ni enako
>	oznaka, večje od, zaključna oznaka
≯	matematika, ne večje od, neenakost
¬	ne, negacija
|	cev, navpična črta, navpičnica, paličica, pokončna črta, pokončnica, črta
~	tilda, vijuga
−	minus, odštevanje, znak za minus
⁻	minus, nadpis, nadpisani minus
∓	minus ali plus, plus-minus
∕	poševnica, poševnica za deljenje
⁄	poševnica, poševnica ulomka
∗	operator zvezdice, zvezdica
∘	kompozicija, operator, operator obroča
∙	operator, operator vrstične oznake
√	iracionalno število, koren, korenski, kvadratni, kvadratni koren
∝	sorazmerno, sorazmernost
∞	neskončno, znak za neskončno
∟	matematika, pravi kot
∠	kot, ostrivec
∣	delitelj, deljenje
∥	vzporedno
∧	logični in, strešica
∩	množica, presek
∪	množica, unija, zbirka
∫	integral, integralni račun
∬	dvojni integral, integralni račun
∮	obrisni integral
∴	logika, zato
∵	ker, logika
∶	razmerje
∷	sorazmerje, sorazmernost
∼	operator, operator vijuge
∽	obrnjena vijuga, vijuga
∾	obrnjen ležeči s
≃	asimptota, asimptotično enako, matematika
≅	enakost, izomorfizem, kongruenca, matematika, približno enako
≈	približek, približno, skoraj enako
≌	enakost, matematika, vse enako
≒	približno enako preslikavi
≖	enakost, matematika, obroč v enačaju
≡	enako, je enako, točno
≣	enakost, matematika, povsem enako
≤	enako, enakovredno, manjše, manjše ali enako, neenakovrednost
≥	enako, enakovredno, neenakovrednost, večje, večje ali enako
≦	manjše od nad enačajem, matematika, neenakost
≧	matematika, neenakost, večje od nad enačajem
≪	matematika, neenakost, veliko manjše od
≫	matematika, neenakost, veliko večje od
≬	med
≳	matematika, neenakost, večje od enakovredno
≺	matematika, predhodnik
≻	matematika, naslednik
⊁	matematika, ni naslednik
⊂	je podmnožica množice, množica, podmnožica
⊃	matematika, nadmnožica
⊆	je podmnožica
⊇	enakost, je nadmnožica, matematika
⊕	plus, plus v krogu
⊖	erozija, minus v krogu, simetrična razlika
⊗	krat v krogu, produkt
⊘	matematika, podobno deljenju, poševnica za deljenje v krogu
⊙	XNOR, operator, operator pike v krogu
⊚	operator obroča v krogu
⊛	operator, operator zvezdice v krogu, zvezdica
⊞	matematika, plus v kvadratu, podobno seštevanju
⊟	matematika, minus v kvadratu, podobno odštevanju
⊥	žebljiček navzgor
⊮	ne vsiljuje
⊰	matematika, predhodnik v razmerju
⊱	matematika, naslednik v razmerju
⋭	enaka, matematika, ne vsebuje kot običajna podskupina, ne vsebuje kot običajna podskupina, enaka, teorija skupin
⊶	original
⊹	hermitska konjugirana matrika
⊿	matematika, pravokotni trikotnik
⋁	disjunkcija, logika, logična n-skupina ali
⋂	matematika, presek, presek n-skupin
⋃	matematika, unija, unija n-skupin
⋅	operator, operator pike
⋆	operator, operator zvezde
⋈	binarni operator, metuljček, naravna združitev
⋒	dvojni presek, matematika, presek
⋘	matematika, neenakost, zelo veliko manj kot
⋙	matematika, neenakost, zelo veliko več kot
⋮	matematika, navpične tri pike, tri pike
⋯	tri pike, tri pike v sredi vodoravno
⋰	matematika, tri pike, tri pike v diagonali gor desno
⋱	matematika, tri pike, tri pike v diagonali dol desno
■	poln kvadrat
□	prazen kvadrat
▢	prazen kvadrat z zaobljenimi koti
▣	poln kvadrat v praznem kvadratu
▤	kvadrat z vodoravnim polnilom
▥	kvadrat z navpičnim polnilom
▦	kvadrat s pravokotnim križnim polnilom
▧	kvadrat s poševnim polnilom od leve navzdol
▨	kvadrat s poševnim polnilom od desne navzgor
▩	kvadrat z diagonalnim križnim polnilom
▬	poln pravokotnik
▭	prazen pravokotnik
▮	poln navpičen pravokotnik
▰	poln paralelogram
▲	navzgor, poln, poln navzgor obrnjen trikotnik, puščica, trikotnik
△	obrnjen navzgor, prazen trikotnik, prazen trikotnik, obrnjen navzgor
▴	obrnjen navzgor, poln majhen trikotnik, poln majhen trikotnik, obrnjen navzgor
▵	obrnjen navzgor, prazen majhen trikotnik, prazen majhen trikotnik, obrnjen navzgor
▷	obrnjen v desno, prazen trikotnik, prazen trikotnik, obrnjen v desno
▸	obrnjen v desno, poln majhen trikotnik, poln majhen trikotnik, obrnjen v desno
▹	obrnjen v desno, prazen majhen trikotnik, prazen majhen trikotnik, obrnjen v desno
►	obrnjen v desno, poln kazalec, poln kazalec, obrnjen v desno
▻	obrnjen v desno, prazen kazalec, prazen kazalec, obrnjen v desno
▼	navzdol, poln, poln navzdol obrnjen trikotnik, puščica, trikotnik
▽	obrnjen navzdol, prazen trikotnik, prazen trikotnik, obrnjen navzdol
▾	obrnjen navzdol, poln majhen trikotnik, poln majhen trikotnik, obrnjen navzdol
▿	obrnjen navzdol, prazen majhen trikotnik, prazen majhen trikotnik, obrnjen navzdol
◁	obrnjen v levo, prazen trikotnik, prazen trikotnik, obrnjen v levo
◂	obrnjen v levo, poln majhen trikotnik, poln majhen trikotnik, obrnjen v levo
◃	obrnjen v levo, prazen majhen trikotnik, prazen majhen trikotnik, obrnjen v levo
◄	obrnjen v levo, poln kazalec, poln kazalec, obrnjen v levo
◅	obrnjen v levo, prazen kazalec, prazen kazalec, obrnjen v levo
◆	poln karo
◇	prazen karo
◈	poln karo v praznem karu
◉	napolnjen koncentrični krogi, obkrožena pika, poln krog v praznem krogu, ribje oko
◊	romb, rombast lik
○	krog, obroč, votel krog
◌	pikčast krog
◍	krog z navpičnim polnilom
◎	dvojni krog, koncentrična kroga, tarča
●	krog, poln krog
◐	krog s polno levo polovico
◑	krog s polno desno polovico
◒	krog s polno spodnjo polovico
◓	krog s polno zgornjo polovico
◔	krog s polno desno zgornjo četrtino
◕	poln krog s prazno levo zgornjo četrtino
◖	polna leva polovica kroga
◗	polna desna polovica kroga
◘	obratna vrstična oznaka
◙	prazen krog v polnem kvadratu
◜	zgornja leva četrtina krožnega loka
◝	zgornja desna četrtina krožnega loka
◞	spodnja desna četrtina krožnega loka
◟	spodnja leva četrtina krožnega loka
◠	zgornji polkrog
◡	spodnji polkrog
◢	poln spodnji desni trikotnik
◣	poln spodnji levi trikotnik
◤	poln zgornji levi trikotnik
◥	poln zgornji desni trikotnik
◦	prazna vrstična oznaka
◯	krog, obroč, velik votel krog
◳	prazen kvadrat z zgornjo desno četrtino
◷	prazen krog z zgornjo desno četrtino
◿	spodnji desni trikotnik
♪	glasba, nota, osma, osminka
⨧	plus s podpisano številko 2
⨯	vektorski produkt
⨼	notranji produkt
⩣	logična ali dvojna podčrta
⩽	manjše od s poševnim enačajem
⪍	manjše od nad približno enako
⪚	dvočrtni enačaj nad večje od, matematika, neenakost
⪺	naslednik nad skoraj enako
♭	glasba, nižaj, nota, znižani ton
♯	glasba, nota, višaj, zvišani ton
😀	nasmeh, obraz, prijazen, režanje, režeči obraz, smeh, vesel, zobje
😃	nasmeh, obraz, odprto, smejoči obraz z odprtimi usti, usta
😄	nasmeh, obraz, odprto, oči, smejoči obraz z odprtimi usti in smejočimi očmi, usta
😁	lepo, nasmeh, obraz, oči, režanje, režeči obraz s smejočimi očmi, vesel
😆	haha, lol, nasmeh, obraz, odprt, odprto, smeh, smejoči obraz z odprtimi usti in trdno zaprtimi očmi, usta, zadovoljen, zadovoljno
😅	mrzlo, nasmeh, obraz, odprto, pot, smejoči obraz z odprtimi usti in mrzlim potom
🤣	krohotanje, lol, rofl, smeh, smeh do solz, smejanje, smešno, solze, tla, valjanje po tleh
😂	haha, lol, obraz, obraz s solzami veselja, rofl, smeh, smeh do solz, smeško, solze, veselje
🙂	nasmeh, obraz, rahlo smejoči obraz, smehljanje, vesel
🙃	na glavo obrnjen obraz, narobe obrnjeno, nasmeh, obraz
🫠	haha, izginjanje, nerodno mi je, raztapljanje, sarkazem, taleči se obraz, taljenje, tekočina, topim se, topim se od vročine, vroče, vročina
😉	obraz, obraz s pomežikom, pomežik, seksi, spogledovanje
😊	nasmeh, obraz, oči, smejoči obraz s smejočimi očmi, zardevanje
😇	angel, avra, blagoslovljen, fantazija, nasmeh, nedolžno, obraz, pravljica, smejoči obraz s svetniškim sijem
🥰	3 srčki, RTM, ljubezen, oboževanje, simpatija, smejoči obraz s srčki, srčki, zaljubljenost
😍	ljubezen, nasmeh, obraz, oči, smejoči obraz z očmi v obliki srčka, srce
🤩	nasmeh, navdušenje, obraz z očmi v obliki zvezdic, uau, zvezdice
😘	ki pošlje ljubčka, ljubčki, obraz, obraz, ki pošlje ljubčka, pogrešam te, poljub, romantično, srce, srček
😗	ki poljublja, ljubezen, obraz, obraz, ki poljublja, poljub, poljubljanje
☺️	nasmeh, obraz, obris, rdečica, smejoči obraz, sproščen, sproščeno, vesel
😚	ljubezen, objem, obraz, obraz z zaprtimi očmi, ki poljublja, oko, oči, poljub, rdečica, spogledovanje, zaprto, zmenek
😙	ljubezen, nasmeh, noč, obraz, obraz s smejočimi očmi, ki poljublja, oko, oči, poljub, spogledovanje, zaprto, zmenek
🥲	ganjenost, hvaležnost, nasmeh, olajšanje, ponos, smejoči obraz s solzo, smeško, solza, veselje
😋	hrana, jesti, lačen, nasmeh, njami, obraz, obraz, ki z užitkom pomalica okusno hrano, okusno, poln, slastno, zaužiti
😛	jezik, kul, obraz, obraz z molečim jezikom, odlično
😜	jezik, mežik, obraz, obraz z molečim jezikom in pomežikom, oči, šala
🤪	majhen, nor obraz, nore oči, oko, oči, velik
😝	grozno, jezik, obraz, obraz z molečim jezikom in trdno zaprtimi očmi, obraz z molečim jezikom in zaprtimi očmi, ogabno, okus, oči
🤑	denar, obraz, obraz z denarjem namesto ust, plačilo, usta
🤗	nasmeh, objem, obraz, obraz, ki objema, odprt, roki
🤭	hihitanje, obraz z roko čez usta, skrivnost, ups, šok
🫢	nejevera, obraz z razprtimi očmi in roko pred usti, osuplost, presenečen, presenečenost, prestrašenost, sram, začuden, začudenje, začudenost, šokiran, šokiranost
🫣	kukanje, kuku, nerodno mi je, obraz s pogledujočim očesom, pogledovanje, prestrašenost, prevzetost, skrivanje, strmenje
🤫	obraz s prstom čez usta, pššt, tiho, tišina, utihni
🤔	hmm, obraz, razmišljanje, razmišljujoči obraz
🫡	da, enote, razumem, salutirajoč obraz, salutiranje, seveda, sončno, spoštovanje, strinjanje, v redu
🤐	obraz, obraz z usti v obliki zadrge, usta, zadrga, zapečateno, zaprto
🤨	hmm, neodobravanje, nezaupljivost, obraz z dvignjenimi obrvmi, presenečenje
😐️	brezizrazen, mrtvo hladno, nevtralni obraz, nevtralno, obraz
😑	brezizrazni obraz, brezizrazno, neprizadeto, obraz, prazno
😶	molčeč, molčeče, obraz, obraz brez ust, tiho, usta
🫥	brezvezno, depresivnost, introvertiranost, izginjanje, nevidnost, obraz s črtkasto črto, potrtost, skrivanje
😶‍🌫	glava v oblakih, obraz v megli, obraz v oblakih, odsoten
😏	nezaupljiv, obraz, obraz s privoščljivim nasmeškom, prebrisan, privoščljiv nasmešek, samovšečen, spogledovanje
😒	jezen, kr neki, ljubosumen, nenaklonjeno, nezadovoljen, nezadovoljno, obraz, obraz s hladnim nasmeškom, čudno
🙄	kr neki, obraz, obraz z zavijajočimi očmi, oči, smeško, zavijanje, zavijanje z očmi
😬	grimasa, nerodno, obraz, spačen obraz, zobozdravnik
😮‍💨	godrnjanje, izdih, obraz med izdihovanjem, obraz, ki izdihne, olajšanje, pihanje, smeško, sopih, utrujen, šepet, žvižganje
🤥	laž, lažnivec, lažnivi obraz, ostržek
🫨	noro, obraz, panika, potres, tresenje, tresoči se obraz, vau, vibriranje, šok
🙂‍↔	ne, odkimavanje, vodoravno premikanje glave
🙂‍↕	da, navpično premikanje glave, prikimavanje
😌	obraz, olajšan obraz, olajšano, spokoj
😔	brezvoljen obraz, brezvoljno, dolgočasno, obraz, pobito, razočaranje
😪	jok, obraz, spanje, utrujen, zaspan obraz
🤤	ki se slini, obraz, obraz, ki se slini, slinjenje
😴	lahko noč, obraz, smeško, spanje, speči obraz, utrujen, zaspan, zzz
