‾	ਪਾਠ ਦੇ ਉੱਤੇ ਖਿੱਚੀ ਰੇਖਾ
_	ਅੰਡਰਡੈਸ਼, ਅੰਡਰਲਾਈਨ, ਡੈਸ਼, ਨੀਵੀਂ ਲੇਟਵੀਂ ਡੰਡੀ, ਨੀਵੀਂ ਲੇਟਵੀਂ ਰੇਖਾ, ਰੇਖਾ, ਲਾਈਨ, ਹੇਠਲੀ ਲੇਟਵੀਂ ਡੰਡੀ
-	ਘਟਾਅ ਚਿੰਨ੍ਹ, ਡੈਸ਼, ਮਨਫ਼ੀ, ਮਾਈਨਸ, ਸਮਾਸ ਚਿੰਨ੍ਹ, ਸਮਾਸ ਚਿੰਨ੍ਹ-ਮਨਫ਼ੀ, ਹਾਈਫ਼ਨ
‐	ਜੋੜਨੀ, ਡੈਸ਼, ਸਮਾਸ ਚਿੰਨ੍ਹ, ਹਾਈਫ਼ਨ
–	ਐੰਨ, ਐੰਨ-ਡੈਸ਼, ਡੈਸ਼
—	ਐਮ, ਐਮ ਡੈਸ਼, ਡੈਸ਼
―	ਡੈਸ਼, ਡੰਡੀ, ਰੇਖਾ, ਲਾਈਨ, ਲੇਟਵੀਂ ਡੰਡੀ
・	ਅੰਤਰ, ਕਾਟਾਕਾਨਾ, ਕਾਟਾਕਾਨਾ ਮੱਧ ਬਿੰਦੀ, ਬਿੰਦੀਆਂ, ਮੱਧ ਬਿੰਦੀ
,	ਅਰਧ-ਵਿਸ਼ਰਾਮ ਚਿੰਨ੍ਹ, ਕਾਮਾ
،	ਅਰਬੀ, ਅਰਬੀ ਕਾਮਾ, ਕਾਮਾ
、	ਆਇਡੀਓਗ੍ਰਾਫ਼ਿਕ, ਕਾਮਾ, ਭਾਵ-ਲਿੱਪੀ, ਭਾਵ-ਲਿੱਪੀ ਕਾਮਾ, ਵਿਚਾਰ-ਲਿੱਪੀ
;	ਸੈਮੀ-ਕਾਲਨ, ਸੈਮੀਕਾਲਨ
؛	ਅਰਬੀ, ਅਰਬੀ ਸੈਮੀਕਾਲਨ, ਸੈਮੀ-ਕਾਲਨ
:	ਕਾਲਨ
!	ਬੈਂਗ, ਵਿਸਮਕ ਚਿੰਨ੍ਹ, ਹੈਰਾਨੀ, ਹੈਰਾਨੀਵਾਚਕ ਚਿੰਨ੍ਹ, ਹੈਰਾਨੀਵਾਚਕ ਨਿਸ਼ਾਨ, ਹੈਰਾਨੀਵਾਚਕ ਨੁਕਤਾ
¡	ਪੁੱਠਾ ਵਿਸਮਕ ਚਿੰਨ੍ਹ, ਪੁੱਠਾ ਹੈਰਾਨੀਵਾਚਕ ਚਿੰਨ੍ਹ, ਬੈਂਗ, ਵਿਸਮਕ ਚਿੰਨ੍ਹ, ਹੈਰਾਨੀ, ਹੈਰਾਨੀਵਾਚਕ ਨਿਸ਼ਾਨ, ਹੈਰਾਨੀਵਾਚਕ ਨੁਕਤਾ
?	ਪ੍ਰਸ਼ਨ, ਪ੍ਰਸ਼ਨ ਚਿੰਨ੍ਹ, ਸਵਾਲ
¿	ਪੁੱਠਾ, ਪੁੱਠਾ ਪ੍ਰਸ਼ਨ ਚਿੰਨ੍ਹ, ਪੁੱਠਾ ਸਵਾਲੀਆ ਨਿਸ਼ਾਨ, ਪ੍ਰਸ਼ਨ, ਪ੍ਰਸ਼ਨ ਚਿੰਨ੍ਹ, ਸਵਾਲ, ਸਵਾਲੀਆ ਨਿਸ਼ਾਨ
؟	ਅਰਬੀ, ਅਰਬੀ ਪ੍ਰਸ਼ਨ ਚਿੰਨ੍ਹ, ਪ੍ਰਸ਼ਨ, ਪ੍ਰਸ਼ਨ ਚਿੰਨ੍ਹ, ਸਵਾਲ, ਸਵਾਲੀਆ ਨਿਸ਼ਾਨ
‽	ਇੰਟਰੋਬੈਂਗ
.	ਡਾਟ, ਪੀਰੀਅਡ, ਪੂਰਨ ਵਿਸ਼ਰਾਮ ਚਿੰਨ੍ਹ, ਫੁੱਲ ਸਟਾਪ, ਬਿੰਦੀ
…	ਖੁੰਝਾਈ, ਪਦ-ਲੋਪ, ਬਿੰਦੂਆਂ
。	ਪੀਰੀਅਡ, ਪੂਰਨ ਵਿਸ਼ਰਾਮ ਚਿੰਨ੍ਹ, ਫੁੱਲ ਸਟਾਪ, ਭਾਵ ਲਿਪੀ, ਭਾਵ ਲਿਪੀ ਪੀਰੀਅਡ
·	ਇੰਟਰਪੰਕਟ, ਬਿੰਦੀ, ਮੱਧ, ਮੱਧ ਬਿੰਦੀ
'	ਇੱਕਲ ਹਵਾਲਾ, ਟਾਈਪਰਾਈਟਰ ਦਾ ਸਬੰਧ ਕਾਰਕ ਚਿੰਨ੍ਹ, ਸਬੰਧ ਕਾਰਕ ਚਿੰਨ੍ਹ, ਹਵਾਲਾ
‘	ਇੱਕਲ ਹਵਾਲਾ, ਖੱਬਾ ਸਬੰਧ ਕਾਰਕ ਚਿੰਨ੍ਹ, ਸਬੰਧ ਕਾਰਕ ਚਿੰਨ੍ਹ, ਸਮਾਰਟ ਹਵਾਲਾ, ਹਵਾਲਾ
’	ਇੱਕਲ ਹਵਾਲਾ, ਸਬੰਧ ਕਾਰਕ ਚਿੰਨ੍ਹ, ਸਮਾਰਟ ਹਵਾਲਾ, ਸੱਜਾ ਸਬੰਧ ਕਾਰਕ ਚਿੰਨ੍ਹ, ਹਵਾਲਾ
‚	ਘੱਟ ਸੱਜਾ ਸਬੰਧ ਕਾਰਕ ਚਿੰਨ੍ਹ, ਘੱਟ ਹਵਾਲਾ, ਸਬੰਧ ਕਾਰਕ ਚਿੰਨ੍ਹ, ਹਵਾਲਾ
“	ਖੱਬਾ ਹਵਾਲਾ ਚਿੰਨ੍ਹ, ਦੁਹਰਾ ਹਵਾਲਾ, ਸਮਾਰਟ ਹਵਾਲਾ, ਹਵਾਲਾ, ਹਵਾਲਾ ਚਿੰਨ੍ਹ
”	ਦੁਹਰਾ ਹਵਾਲਾ, ਸਮਾਰਟ ਹਵਾਲਾ, ਸੱਜਾ ਹਵਾਲਾ ਚਿੰਨ੍ਹ, ਹਵਾਲਾ, ਹਵਾਲਾ ਚਿੰਨ੍ਹ
„	ਘੱਟ ਸੱਜਾ ਹਵਾਲਾ ਚਿੰਨ੍ਹ, ਘੱਟ ਹਵਾਲਾ, ਦੁਹਰਾ ਹਵਾਲਾ, ਸਮਾਰਟ ਹਵਾਲਾ, ਹਵਾਲਾ, ਹਵਾਲਾ ਚਿੰਨ੍ਹ
«	ਕੋਣ, ਖੱਬਾ ਗਿਲੇਮੇਟ, ਖੱਬੇ, ਖੱਬੇ ਗਿਲੇਮੇਟ, ਚੇਵਰਨ, ਦੇਖਭਾਲ, ਬਰੈਕਟ, ਹਵਾਲਾ
»	ਕੋਣ, ਚੇਵਰਨ, ਦੇਖਭਾਲ, ਬਰੈਕਟ, ਸਹੀ, ਸੱਜਾ ਗਿਲੇਮੇਟ, ਹਵਾਲਾ
)	ਗੋਲ ਬਰੈਕਟ, ਪੈਰੇਂਸ, ਪੈਰੇਨ, ਬਰੈਕਟ, ਬੰਦ ਬਰੈਕਟ
[	ਕਰੋਸ਼ੀਆ, ਖੁੱਲ੍ਹਾ ਵਰਗਾਕਾਰ ਬਰੈਕਟ, ਬਰੈਕਟ, ਵਰਗ ਬਰੈਕਟ
]	ਕਰੋਸ਼ੀਆ, ਬਰੈਕਟ, ਬੰਦ ਵਰਗ ਬਰੈਕਟ, ਵਰਗ ਬਰੈਕਟ
{	ਕੁੰਡਲਦਾਰ ਬਰੇਸ, ਕੁੰਡਲਦਾਰ ਬਰੈਕਟ, ਖੁੱਲ੍ਹਾ ਕੁੰਡਲਦਾਰ ਬਰੈਕਟ, ਗੁਲਵਿੰਗ, ਬਰੇਸ, ਬਰੈਕਟ
}	ਕੁੰਡਲਦਾਰ ਬਰੇਸ, ਕੁੰਡਲਦਾਰ ਬਰੈਕਟ, ਗੁਲਵਿੰਗ, ਬਰੇਸ, ਬਰੈਕਟ, ਬੰਦ ਕੁੰਡਲਦਾਰ ਬਰੈਕਟ
〈	ਇੱਟ ਬਰੈਕਟ, ਕੋਣ ਬਰੈਕਟ, ਖੁੱਲ੍ਹਾ ਕੋਣ ਬਰੈਕਟ, ਤਿਗੜੀ, ਬਰੈਕਟ, ਬਿੰਦੂ ਬਰੈਕਟ, ਸ਼ੈਵਰਨ
〉	ਇੱਟ ਬਰੈਕਟ, ਕੋਣ ਬਰੈਕਟ, ਤਿਗੜੀ, ਬਰੈਕਟ, ਬਿੰਦੂ ਬਰੈਕਟ, ਬੰਦ ਕੋਣ ਬਰੈਕਟ, ਸ਼ੈਵਰਨ
《	ਖੁੱਲ੍ਹਾ ਦੂਹਰਾ ਕੋਣ ਬਰੈਕਟ, ਦੂਹਰਾ ਕੋਣ ਬਰੈਕਟ, ਬਰੈਕਟ
》	ਦੂਹਰਾ ਕੋਣ ਬਰੈਕਟ, ਬਰੈਕਟ, ਬੰਦ ਦੂਹਰਾ ਕੋਣ ਬਰੈਕਟ
「	ਖੁੱਲ੍ਹਾ ਕੋਨਾ ਬਰੈਕਟ, ਬਰੈਕਟ
」	ਕੋਨਾ ਬਰੈਕਟ, ਬਰੈਕਟ, ਬੰਦ ਕੋਨਾ ਬਰੈਕਟ
『	ਖੁੱਲ੍ਹਾ ਖੋਖਲਾ ਕੋਨੇ ਦਾ ਬਰੈਕਟ, ਬਰੈਕਟ
』	ਖੋਖਲਾ ਕੋਨੇ ਦਾ ਬਰੈਕਟ, ਬਰੈਕਟ, ਬੰਦ ਖੋਖਲਾ ਕੋਨੇ ਦਾ ਬਰੈਕਟ
【	ਕੰਧ ਬਰੈਕਟ, ਖੁੱਲ੍ਹਾ ਕਾਲਾ ਲੈਂਸ ਬਰੈਕਟ, ਬਰੈਕਟ, ਲੈਂਟਿਕੂਲਰ ਬਰੈਕਟ, ਲੈਂਸ ਬਰੈਕਟ
】	ਕੰਧ ਬਰੈਕਟ, ਬਰੈਕਟ, ਬੰਦ ਕਾਲਾ ਲੈਂਸ ਬਰੈਕਟ, ਲੈਂਟਿਕੂਲਰ ਬਰੈਕਟ, ਲੈਂਸ ਬਰੈਕਟ
〔	ਕੱਛੂ ਸ਼ੈੱਲ ਬਰੈਕਟ, ਖੁੱਲ੍ਹਾ ਕੱਛੂ ਸ਼ੈੱਲ ਬਰੈਕਟ, ਬਰੈਕਟ, ਸ਼ੈੱਲ ਬਰੈਕਟ
〕	ਕੱਛੂ ਸ਼ੈੱਲ ਬਰੈਕਟ, ਬਰੈਕਟ, ਬੰਦ ਕੱਛੂ ਸ਼ੈੱਲ ਬਰੈਕਟ, ਸ਼ੈੱਲ ਬਰੈਕਟ
〖	ਖੁੱਲ੍ਹਾ ਖੋਖਲਾ ਲੈਂਸ ਬਰੈਕਟ, ਖੋਖਲਾ ਕੰਧ ਬਰੈਕਟ, ਖੋਖਲਾ ਲੈਂਸ ਬਰੈਕਟ, ਬਰੈਕਟ
〗	ਖੋਖਲਾ ਕੰਧ ਬਰੈਕਟ, ਖੋਖਲਾ ਲੈਂਸ ਬਰੈਕਟ, ਬਰੈਕਟ, ਬੰਦ ਖੋਖਲਾ ਲੈਂਸ ਬਰੈਕਟ
§	ਪੈਰਾ, ਭਾਗ, ਸਿਲਕ੍ਰੋ, ਸੈਕਸ਼ਨ
¶	ਪਿਲਕਰੋ, ਪਿਲਕ੍ਰੋ, ਪੈਰਫ਼, ਪੈਰਾ, ਪੈਰਾਗ੍ਰਾਫ, ਪੈਰਾਗ੍ਰਾਫ਼, ਪੈਰਾਗ੍ਰਾਫ਼ ਚਿੰਨ੍ਹ
@	ਅਰੋਬੇਸ, ਅੱਰੋਬਾ, ਐਟ ਚਿੰਨ੍ਹ, ਐਟ ਨਿਸ਼ਾਨ, ਐਟ-ਚਿੰਨ੍ਹ, ਐਮਪਰਸੈਟ, ਵਪਾਰਕ ਐਟ, ਸਟਰੁਡੇਲ
*️	ਤਾਰਾ, ਤਾਰਾ ਚਿੰਨ੍ਹ, ਤਾਰਾ ਨਿਸ਼ਾਨ, ਤਾਰੇ ਦਾ ਨਿਸ਼ਾਨ, ਵਾਈਲਡਕਾਰਡ
/	ਕਾਟਵੀਂ ਡੰਡੀ, ਟੇਢੀ ਡੰਡੀ, ਤਿਰਛੀ ਡੰਡੀ, ਸਟ੍ਰਾਕ, ਸਲੈਸ਼
\	ਪੁੱਠੀ ਟੇਢੀ ਡੰਡੀ, ਪੁੱਠੀ ਤਿਰਛੀ ਡੰਡੀ, ਪੁੱਠੀ ਸਲੈਸ਼, ਬੈਕਸਲੈਸ਼
&	et, ਅਤੇ, ਐਮਪਰਸੈਂਡ, ਤੇ, ‘ਤੇ
#️	ਅੰਕ, ਨੰਬਰ, ਪੌਂਡ, ਸੰਖਿਆ, ਹੈਸ਼, ਹੈਸ਼ ਚਿੰਨ੍ਹ, ਹੈਸ਼ਟੈਗ
%	ਪ੍ਰਤਿ ਸੈਂਕੜਾ, ਪ੍ਰਤਿਸ਼ਤ, ਫ਼ੀ ਸੈਂਕੜਾ, ਫ਼ੀਸਦੀ
‰	ਪ੍ਰਤਿ ਹਜ਼ਾਰ, ਪ੍ਰਤਿਹਜ਼ਾਰ, ਫ਼ੀ ਹਜ਼ਾਰ, ਫ਼ੀਹਜ਼ਾਰ
†	ਔਬਲਿਸ, ਔਬਲਿਸਕ, ਡੈਗਰ, ਡੈਗਰ ਚਿੰਨ੍ਹ
‡	ਔਬਲਿਸ, ਔਬਲਿਸਕ, ਡਬਲ, ਡਬਲ ਡੈਗਰ ਚਿੰਨ੍ਹ, ਡੈਗਰ
•	ਬਿੰਦੀ, ਬੁਲੇਟ
‧	ਡੈਸ਼, ਬਿੰਦੂ, ਸਮਾਸ ਚਿੰਨ੍ਹ, ਸਮਾਸ ਚਿੰਨ੍ਹ ਬਿੰਦੂ
′	ਪ੍ਰਾਈਮ
″	ਦੂਹਰਾ ਪ੍ਰਾਈਮ, ਪ੍ਰਾਈਮ
‴	ਤੀਹਰਾ ਪ੍ਰਾਈਮ, ਪ੍ਰਾਈਮ
‸	ਕੈਰੇਟ
※	ਹਵਾਲਾ ਚਿੰਨ੍ਹ
⁂	ਤਿੰਨ ਤਾਰਕ ਚਿੰਨ੍ਹ
`	ਉਚਾਰਨ ਢੰਗ, ਗਰੇਵ, ਗਰੇਵ ਧੁਨੀ ਚਿੰਨ੍ਹ, ਧੁਨੀ, ਭਾਰੀ
´	ਅਕਿਊਟ ਧੁਨੀ ਚਿੰਨ੍ਹ, ਉਚਾਰਨ ਢੰਗ, ਤਿੱਖਾ, ਧੁਨੀ, ਸੂਖਮ, ਸੂਖਮ ਸਵਰਾਘਾਤ
^	ਉਚਾਰਨ ਢੰਗ, ਐਕਸੋਰ ਚਿੰਨ੍ਹ, ਘਾਤ, ਟੋਪੀ, ਦੀਰਘਤਾ ਸੂਚਕ ਚਿੰਨ੍ਹ, ਪੁਆਇੰਟਰ, ਸਰਕਮਫ਼ਲੈਕਸ ਧੁਨੀ ਚਿੰਨ੍ਹ, ਸ਼ੈਵਰੋਨ
¨	ਉਚਾਰਨ ਢੰਗ, ਉਮਲਾਊਟ, ਟਰੇਮਾ, ਡਾਇਰੇਸਿਸ, ਦੋ ਬਿੰਦੀਆਂ, ਧੁਨੀ ਚਿੰਨ੍ਹ
°	ਘੰਟਾ, ਡਿਗਰੀ, ਸਬੂਤ
℗	ਆਵਾਜ਼, ਆਵਾਜ਼ ਰਿਕਾਰਡਿੰਗ ਕਾਪੀਰਾਈਟ, ਕਾਪੀਰਾਈਟ, ਰਿਕਾਰਡਿੰਗ
←	ਖੱਬਾ, ਖੱਬਾ ਸੰਕੇਤ ਦੇਣ ਵਾਲਾ ਤੀਰ, ਤੀਰ
↚	ਖੱਬੇ ਪਾਸੇ ਦਾ ਤੀਰ ਸਟ੍ਰੋਕ
→	ਤੀਰ, ਸੱਜਾ, ਸੱਜਾ-ਸੰਕੇਤ ਦੇਣ ਵਾਲਾ ਤੀਰ
↛	ਸੱਜੇ ਪਾਸੇ ਦਾ ਤੀਰ ਸਟ੍ਰੋਕ
↑	ਉੱਪਰ, ਉੱਪਰ ਵੱਲ ਇਸ਼ਾਰਾ ਕਰਨ ਵਾਲਾ ਤੀਰ, ਉੱਪਰ-ਵੱਲ ਇਸ਼ਾਰਾ ਕਰਨ ਵਾਲਾ ਤੀਰ, ਤੀਰ
↓	ਤੀਰ, ਹੇਠਾਂ, ਹੇਠਾਂ ਵੱਲ ਇਸ਼ਾਰਾ ਕਰਨ ਵਾਲਾ ਤੀਰ
↜	ਖੱਬੇ ਪਾਸੇ ਦਾ ਤਰੰਗ ਤੀਰ
↝	ਸੱਜੇ ਪਾਸੇ ਦਾ ਤਰੰਗ ਤੀਰ
↞	ਖੱਬੇ ਪਾਸੇ ਦਾ ਦੋ ਮੁਖੀ ਤੀਰ
↟	ਉਪਰ ਵੱਲ ਦੋ ਮੁਖੀ ਤੀਰ
↠	ਸੱਜੇ ਪਾਸੇ ਦਾ ਦੋ ਮੁਖੀ ਤੀਰ
↡	ਹੇਠਾਂ ਵੱਲ ਦੋ ਮੁਖੀ ਤੀਰ
↢	ਖੱਬੇ ਪਾਸੇ ਦਾ ਪੂਛ ਵਾਲਾ ਤੀਰ
↣	ਸੱਜੇ ਪਾਸੇ ਦਾ ਪੂਛ ਵਾਲਾ ਤੀਰ
↤	ਪੱਟੀ ਤੋਂ ਖੱਬੇ ਪਾਸੇ ਵੱਲ ਤੀਰ
↥	ਪੱਟੀ ਤੋਂ ਉੱਪਰ ਵੱਲ ਤੀਰ
↦	ਪੱਟੀ ਤੋਂ ਸੱਜੇ ਪਾਸੇ ਵੱਲ ਤੀਰ
↧	ਪੱਟੀ ਤੋਂ ਹੇਠਾਂ ਵੱਲ ਤੀਰ
↨	ਆਧਾਰ ਰੇਖਾ ਵਾਲਾ ਉੱਪਰ ਹੇਠਾਂ ਤੀਰ
↫	ਖੱਬੇ ਪਾਸੇ ਦਾ ਤੀਰ ਲੂਪ
