‾	Überstrich
_	Gedankenstrich unten, Tiefstrich, Unterstreichung, Unterstrich
-	Bindestrich, Bindestrich-Minus, Divis, Minuszeichen, Trennstrich
‐	Bindestrich, Trennstrich
–	Halbgeviertstrich, Langstrich, N-Dash, Strich
—	Geviertstrich, Strich
―	Gedankenstrich, Halbgeviertstrich, Strich, waagerechter Strich
・	Katakana, Katakana-Mittelpunkt, Mediopunkt, Mittelpunkt, Punkt auf Mitte
,	Beistrich, Komma
،	Komma, arabisch, arabisches Komma
、	Komma, ideografisch, ideografisches Komma
;	Semikolon, Strichpunkt
؛	Filament Manque, Semikolon, arabisches Semikolon, umgekehrtes Semikolon
:	Doppelpunkt
!	Ausrufezeichen, Ausrufungszeichen
¡	Ausruf, Ausrufezeichen, spanisch, umgekehrt, umgekehrtes Ausrufezeichen
?	Frage, Fragezeichen
¿	Frage, Fragezeichen, spanisch, umgekehrt, umgekehrtes Fragezeichen
؟	Frage, Fragezeichen, arabisch, arabisches Fragezeichen, spiegelverkehrt
‽	Interrobang
.	Punkt, Satzendepunkt, Schlusspunkt
…	Auslassungszeichen, Ellipse, drei Punkte
。	Punkt, Schlusspunkt, ideografischer Punkt
·	Halbhochpunkt, Mittelpunkt, Punkt
'	Anführungszeichen, Apostroph, einfaches Anführungszeichen oben, gerader Apostroph
‘	Anführungszeichen oben, Apostroph, Apostroph links, Hochkomma, einfaches Anführungszeichen oben
’	Anführungszeichen oben, Apostroph, Apostroph rechts, Hochkomma, einfaches Anführungszeichen oben
‚	Anführungszeichen unten, Apostroph, Apostroph rechts unten, Tiefkomma, einfaches Anführungszeichen unten
“	Anführung, doppeltes Anführungszeichen, öffnendes doppeltes Anführungszeichen oben
”	Anführung, doppeltes Anführungszeichen, schließendes doppeltes Anführungszeichen oben
„	Anführung, Anführungszeichen, doppeltes Anführungszeichen, doppeltes Anführungszeichen unten, öffnendes Anführungszeichen unten, öffnendes doppeltes Anführungszeichen unten
«	Anführungszeichen, Caret, Chevron, Klammer, Spitzzeichen, links, nach links weisendes Guillemet
»	Anführungszeichen, Caret, Chevron, Klammer, Spitzzeichen, nach rechts weisendes Guillemet, rechts
)	Klammer, Parenthese, runde Klammer, schließende runde Klammer
[	eckige Klammer, eckige Klammer links, öffnende eckige Klammer
]	eckige Klammer, eckige Klammer rechts, schließende eckige Klammer
{	geschweifte Klammer, geschwungene Klammer, geschwungene Klammer links, öffnende geschweifte Klammer
}	geschweifte Klammer, geschweifte Klammer rechts, geschwungene Klammer, geschwungene Klammer rechts, schließende geschweifte Klammer
〈	Pfeilspitze links, Winkelklammer, spitze Klammer, öffnende Winkelklammer, öffnende spitze Klammer
〉	Pfeilspitze rechts, Winkelklammer, schließende Winkelklammer, schließende spitze Klammer, spitze Klammer, spitze Klammer rechts
《	Klammer, doppelte spitze Klammer, öffnende doppelte spitze Klammer
》	Klammer, doppelte spitze Klammer, schließende doppelte spitze Klammer
「	Eckklammer, Klammer, öffnende Eckklammer
」	Eckklammer, Klammer, schließende Eckklammer
『	Klammer, hohle Eckklammer, öffnende hohle Eckklammer
』	Klammer, hohle Eckklammer, schließende hohle Eckklammer
【	Klammer, konkave Klammer, schwarze konkave Klammer, öffnende schwarze konkave Klammer
】	Klammer, konkave Klammer, schließende schwarze konkave Klammer, schwarze konkave Klammer
〔	linke stumpfe Klammer, stumpfe Klammer, öffnende stumpfe Klammer
〕	rechte stumpfe Klammer, schließende stumpfe Klammer, stumpfe Klammer
〖	Klammer, hohle konkave Klammer, konkave Klammer, öffnende hohle konkave Klammer
〗	Klammer, hohle konkave Klammer, konkave Klammer, schließende hohle konkave Klammer
§	Absatz, Abschnitt, Paragraf, Paragraph
¶	Absatz, Absatzmarke, Absatzzeichen, Alinea
@	Ad-Zeichen, Adresszeichen, Affenschaukel, Affenschwanz, At, At-Zeichen, Klammeraffe
*️	Asterisk, Stern, Sternchen
/	Schrägstrich, Slash, Solidus, Vorwärtsschrägstrich
\	Backslash, Rückstrich, linksseitiger Schrägstrich, umgekehrter Schrägstrich
&	Et-Zeichen, Und-Zeichen, kaufmännisches Und-Zeichen, und
#️	Doppelkreuz, Hash, Nummernzeichen, Raute
%	Hundertstel, Prozent, Prozentzeichen, vom Hundert
‰	Promille, Promillezeichen, Tausendstel
†	Dagger, Dolch, Kreuz, Langkreuz, Obeliscus, Obelisk
‡	Dagger, Doppelkreuz, Kreuz, Obeliscus, Obelisk, Zweibalkenkreuz, doppeltes Kreuz
•	Aufzählungspunkt, Aufzählungszeichen, Blickfangpunkt, Bullet, Punkt
‧	Bindestrich, Divis, Punkt, Silbentrennungspunkt
′	Hochstrich, Minutenzeichen, Prime, Prime-Zeichen, Strich
″	Doppelprime, Sekundenzeichen, Zoll-Zeichen, Zweistrich
‴	Dreistrich, Linienzeichen
‸	Caret
※	Glyphe, Komejirushi, Reismarke, japanisch
⁂	Asterism
`	Akzent, Betonung, Gravis
´	Akut, Akzent, Betonung
^	Akzentzeichen, Caret, Dach, Zirkumflex
¨	Diärese, Trema, Umlaut
°	Grad, Grad Alkohol, Proof, Stunde, Volumenprozent
℗	Audio, Audioaufnahme, Aufnahme, Aufzeichnung, Copyright, Copyrightzeichen, Copyrightzeichen für Audioaufnahme
←	Pfeil, links, nach links weisend, nach links weisender Pfeil
