‾	bară deasupra, bară superioară, linie deasupra, linie superioară, supralinie
_	linie, linie joasă, linie subliniere, liniuță jos, underscore
-	cratimă, cratimă-minus, liniuță, minus
‐	cratimă, liniuță
–	linie, linie de pauză, pauză
—	dialog, linie, linie de dialog
―	bară, linie, linie orizontală, liniuță
・	interpunct, katakana, median, punct, punct median katakana
,	virgulă
،	arabă, virgulă, virgulă arabă
、	ideografică, virgulă, virgulă ideografică
;	punct și virgulă
؛	arabe, punct și virgulă, punct și virgulă arabe
:	două puncte
!	exclamare, semn de exclamare, semn de exclamație, semnul exclamării, semnul mirării
¡	exclamare, semn de exclamare, semn de exclamație, semnul exclamării, semnul exclamării întors, semnul mirării, întors
?	semn de întrebare, semnul întrebării, întrebare
¿	semn de întrebare, semnul întrebării întors, întors, întrebare
؟	arab, semnul întrebării, semnul întrebării arab, întrebare
‽	semnul exclamării și întrebării
.	final, propoziție, punct
…	omisiune, puncte de suspensie, trei puncte
。	final, ideografic, propoziție, punct, punct ideografic
·	interpunct, mijloc, punct, punct de mijloc, punct la mijloc, punct median
'	apostrof, apostrof mașină de scris, citat, ghilimele simple
‘	apostrof, apostrof stânga, citat, ghilimele simple
’	apostrof, apostrof dreapta, citat, ghilimele simple
‚	apostrof, apostrof dreapta jos, citat, citat jos
“	citat, citat inteligent, ghilimele duble, ghilimele stânga
”	citat, citat inteligent, ghilimele dreapta, ghilimele duble
„	citat, citat inteligent, ghilimele dreapta jos, ghilimele duble, ghilimele jos
«	accente circumflexe, ascuțite, ghilimele ascuțite stânga, ghilimele unghiulare, paranteze, semnele citării, stânga
»	accente circumflexe, ascuțite, dreapta, ghilimele ascuțite dreapta, ghilimele unghiulare, paranteze, semnele citării
)	paranteză, paranteză închisă, rotundă, închisă
[	croșetă, paranteză, paranteză pătrată, paranteză pătrată deschisă
]	croșetă, paranteză, paranteză pătrată, paranteză pătrată închisă
{	acoladă, acoladă deschisă, deschisă, paranteză
}	acoladă, acoladă închisă, paranteză, închisă
〈	chevron, deschisă, paranteză ascuțită, paranteză ascuțită deschisă, paranteză unghiulară, șevron
〉	chevron, paranteză ascuțită, paranteză ascuțită închisă, închisă
《	paranteză, paranteză ascuțită dublă, paranteză ascuțită dublă deschisă, paranteză unghiulară dublă
》	paranteză, paranteză ascuțită dublă, paranteză ascuțită dublă închisă, paranteză unghiulară dublă
「	paranteză, paranteză colț, paranteză colț deschisă
」	paranteză, paranteză colț, paranteză colț închisă
『	paranteză, paranteză colț goală, paranteză colț goală deschisă
』	paranteză, paranteză colț goală, paranteză colț goală închisă
【	paranteză, paranteză lentilă, paranteză lentilă neagră deschisă
】	paranteză, paranteză lentilă, paranteză lentilă neagră închisă
〔	paranteză, paranteză tortoise shell, paranteză tortoise shell deschisă
〕	paranteză, paranteză tortoise shell, paranteză tortoise shell închisă
〖	paranteză, paranteză lentilă goală, paranteză lentilă goală deschisă
〗	paranteză, paranteză lentilă goală, paranteză lentilă goală închisă
§	paragraf, parte, secțiune, semnul secțiune
¶	alineat, paragraf, semn de paragraf
@	a rond, coadă de maimuță, la, semn adresă
*️	asterisc, metacaracter, steluță, wildcard
/	bară, bară oblică, dreapta, linie, oblică, slash
\	bară, bară oblică inversă, inversă, oblică, stânga
&	ampersand, et, și
#️	cifră, diez, hashtag, tastă
%	la sută, procent
‰	la mie, miime, promilă
†	cruciuliță, obelisc, semn cruciuliță
‡	cruciuliță, dublă, obelisc, semn cruciuliță dublă
•	marcator, punct
‧	cratimă, liniuță, punct, punct de despărțire
′	prim
″	secund
‴	terț
‸	semn de omisiune
※	semn de referință
⁂	asterism, stele
`	accent, accent grav, grav, ton
´	accent, accent ascuțit, ascuțit, ton
^	accent, accent circumflex, circumflex, căciuliță, indicator, putere
¨	tremă, umlaut
°	grad, oră
℗	audio, copyright, drepturi de autor, drepturi de autor pentru înregistrare audio, înregistrare
←	stânga, săgeată, săgeată spre stânga
↚	săgeată spre stânga cu bară oblică
→	dreapta, săgeată, săgeată spre dreapta
↛	săgeată spre dreapta cu bară oblică
↑	sus, săgeată, săgeată în sus
↓	jos, săgeată, săgeată în jos
↜	săgeată ondulată spre stânga
↝	săgeată ondulată spre dreapta
↞	săgeată cu două vârfuri spre stânga, săgeată cu vârf dublu spre stânga
↟	săgeată cu două vârfuri în sus, săgeată cu vârf dublu în sus
↠	săgeată cu două vârfuri spre dreapta, săgeată cu vârf dublu spre dreapta
↡	săgeată cu două vârfuri în jos, săgeată cu vârf dublu în jos
↢	săgeată spre stânga cu coadă
↣	săgeată spre dreapta cu coadă
↤	săgeată spre stânga dinspre bară
↥	săgeată în sus dinspre bară
↦	săgeată spre dreapta dinspre bară
↧	săgeată în jos dinspre bară
↨	săgeată sus-jos cu bază
↫	săgeată spre stânga cu buclă
↬	săgeată spre dreapta cu buclă
↭	săgeată ondulată bidirecțională
↯	săgeată în zigzag în jos
↰	săgeată în sus cu vârf spre stânga
↱	săgeată în sus cu vârf spre dreapta
↲	săgeată în jos cu vârf spre stânga
↳	săgeată în jos cu vârf spre dreapta
↴	săgeată spre dreapta cu colțul în jos
↵	săgeată spre stânga cu colțul în jos
↶	săgeată în semicerc în sus în sens antiorar
↷	săgeată în semicerc în sus în sens orar
↸	săgeată spre nord-vest către bară lungă
↹	bară, spre dreapta, spre stânga, săgeată, săgeată spre stânga către bară peste săgeată spre dreapta către bară, săgeată spre stânga peste săgeată spre dreapta cu bare
↺	săgeată cerc deschis în sens antiorar
↻	săgeată cerc deschis în sens orar
↼	harpon spre stânga cu vârful în sus, vârf
↽	harpon spre stânga cu vârful în jos
↾	harpon în sus cu vârful spre dreapta, vârf
↿	harpon în sus cu vârful spre stânga, vârf
⇀	harpon spre dreapta cu vârful în sus, vârf
⇁	harpon spre dreapta cu vârful în jos, vârf
⇂	harpon în jos cu vârful spre dreapta, vârf
⇃	barb, harpon în jos cu vârful spre stânga
⇄	săgeată spre dreapta peste săgeată spre stânga
⇅	jos, sus, săgeată, săgeată în sus și săgeată în jos
⇆	dreapta, stânga, săgeată, săgeată la stânga pe săgeată la dreapta, săgeată spre stânga peste săgeata spre dreapta
⇇	două săgeți spre stânga
⇈	două săgeți în sus
⇉	două săgeți spre dreapta
⇊	două săgeți în jos
⇋	harpon spre stânga peste harpon spre dreapta
⇌	harpon spre dreapta peste harpon spre stânga
⇐	săgeată dublă spre stânga
⇍	săgeată dublă spre stânga barată
⇑	săgeată dublă în sus
⇒	săgeată dublă spre dreapta
⇏	săgeată dublă spre dreapta barată
⇓	săgeată dublă în jos
⇔	săgeată dublă bidirecțională
⇎	săgeată dublă bidirecțională barată
⇖	săgeată dublă spre nord-vest
⇗	săgeată dublă spre nord-est
⇘	săgeată dublă spre sud-est
⇙	săgeată dublă spre sud-vest
⇚	săgeată triplă spre stânga
⇛	săgeată triplă spre dreapta
⇜	săgeată zigzagată spre stânga
⇝	săgeată zigzagată spre dreapta
⇞	săgeată în sus cu două bare orizontale
⇟	săgeată în jos cu două bare orizontale
⇠	săgeată cu linie întreruptă spre stânga
⇡	săgeată cu linie întreruptă în sus
⇢	săgeată cu linie întreruptă spre dreapta
⇣	săgeată cu linie întreruptă în jos
⇤	săgeată spre stânga către bară
⇥	săgeată spre dreapta către bară
⇦	săgeată goală spre stânga
⇧	săgeată goală în sus
⇨	săgeată goală spre dreapta
⇩	săgeată goală în jos
⇪	săgeată goală în sus dinspre bară
⇵	săgeată în jos lângă săgeată în sus
∀	cuantificator universal, oricare ar fi, orice, pentru orice, pentru toate, toate, universal
∂	derivată, derivată parțială
∃	cuantificator existențial, există
∅	matematică, mulțimea vidă, operator pe mulțimi
∆	creștere, increment, triunghi
∇	nabla, triunghi
∈	apartenență, aparține, conține, element, element al, mulțime
∉	element, nu aparține lui, nu este un element al
∋	conține ca element, element, include, include ca element
∎	ceea ce era de demonstrat, q.e.d., sfârșitul demonstrației
∏	logică, produs, produs cartezian, produs n-ar
∑	adunare, matematică, sumă, sumă n-ară, sumă peste
+	adunare, plus, semnul plus
±	plus-minus
÷	semnul împărțirii, împărți, împărțire
×	ori, semnul înmulțirii, înmulți, înmulțire
<	deschidere tag, mai mic decât, tag
≮	inegalitate, matematică, nu mai mic decât
=	egal, egalitate
≠	inecuație, inegalitate, nu este egal
>	etichetă, etichetă de închidere, mai mare decât
≯	inegalitate, matematică, nu mai mare decât
¬	negare, nu
|	băț, lance, linie, linie verticală, suliță, țeavă
~	tildă
−	minus, scădere, semnul minus
⁻	exponent, exponent minus, minus
∓	minus sau plus, plus-minus
∕	bară oblică de împărțire, slash
⁄	bară oblică de fracție
∗	operator asterisc, steluță
∘	compunere, funcții compuse, operator, operator inel
∙	operator punct
√	număr irațional, pătrat, radical, rădăcină, rădăcină pătrată
∝	este proporțional cu, proporțional, proporționalitate
∞	infinit, semnul infinit
∟	matematică, unghi de 90 de grade, unghi drept
∠	ascuțit, unghi
∣	divide, divizor
∥	paralel cu
∧	și logic
∩	intersecție, mulțime
∪	colecție, mulțime, reuniune
∫	analiză matematică, integrală
∬	analiză matematică, integrală dublă
∮	integrală pe contur
∴	logică, prin urmare
∵	deoarece, logică
∶	raport
∷	proporție, proporționalitate
∼	operator, operator tildă
∽	tildă, tildă inversată
∾	s orizontal inversat
≃	asimptotic egal cu, asimptotă, matematică
≅	aproximativ egal cu, congruență, egalitate, izomorfism, matematică
≈	aproape egal, aproximare, aproximativ
≌	egalitate, matematică, toate egale cu
≒	aproximativ egal cu imaginea
≖	egalitate, inel în egal cu, matematică
≡	congruent, exact, identic, identic cu, triplu
≣	strict echivalent cu
≤	egal, egalitate, inegalitate, mai mic decât, mai mic sau egal cu
≥	egal, egalitate, inegalitate, mai mare decât, mai mare sau egal cu
≦	inegalitate, mai mic decât peste egal cu, matematică
≧	inegalitate, mai mare decât peste egal cu, matematică
≪	inegalitate, matematică, mult mai mic decât
≫	inegalitate, matematică, mult mai mare decât
≬	între
≳	inegalitate, mai mare decât sau echivalent cu, matematică
≺	matematică, operator de mulțimi, precedă
≻	matematică, operator de mulțimi, succedă
⊁	matematică, nu succedă, operator de mulțimi
⊂	mulțime, submulțime, submulțime a
⊃	este o supramulțime pentru, este supramulțime a lui, include, matematică, operator de mulțimi
⊆	este inclusă sau egală cu, este o submulțime pentru, este o submulțime pentru sau egală cu, este submulțime a lui
⊇	egalitate, este o supramulțime pentru sau egală cu, include sau este egală cu, matematică
⊕	dilatare binară, plus, plus încercuit
⊖	diferență simetrică, eroziune binară, minus încercuit
⊗	ori încercuit, produs, produs tensorial, tensor
⊘	bară împărțire încercuită, matematică, similar împărțirii
⊙	NOR exclusiv, XNOR, operator, operator punct încercuit
⊚	operator inel încercuit
⊛	asterisc, operator, operator asterisc încercuit
⊞	matematică, plus în pătrat, similar adunării
⊟	matematică, minus în pătrat, similar scăderii
⊥	e perpendicular pe, fals, perpendicular
⊮	nu forțează
⊰	matematică, operator de mulțimi, precedă sub relație
⊱	matematică, operator de mulțimi, succedă sub relație
⋭	matematică, nu conține ca submulțime normală pe sau este egală cu, teoria grupurilor
⊶	original
⊹	hermitic conjugată, matematică, matrice autoadjunctă, matrice hermitic conjugată, matrice hermitică conjugată
⊿	matematică, triunghi dreptunghic
⋁	disjuncție, logică, sau logic n-ar
⋂	intersecție, intersecție n-ară, matematică, operator de mulțimi
⋃	matematică, operator de mulțimi, reuniune, reuniune n-ară
⋅	operator, operator punct de înmulțire
⋆	operator, operator stea
⋈	joncțiune naturală, operator binar, papion
⋒	intersecție, intersecție dublă, matematică, operator de mulțimi
⋘	foarte mult mai mic decât, inegalitate, matematică
⋙	foarte mult mai mare decât, inegalitate, matematică
⋮	este divizibil cu, matematică, puncte de suspensie, puncte de suspensie verticale
⋯	puncte de suspensie, puncte de suspensie orizontale pe linia mediană
⋰	matematică, puncte de suspensie, puncte de suspensie diagonale dreapta sus
⋱	matematică, puncte de suspensie, puncte de suspensie diagonale dreapta jos
■	pătrat umplut
□	pătrat gol
▢	pătrat gol cu colțuri rotunjite
▣	pătrat gol cu un pătrat umplut înăuntru
▤	pătrat umplut cu linii orizontale
▥	pătrat umplut cu linii verticale
▦	pătrat umplut cu hașură dreaptă
▧	pătrat umplut cu dungi diagonale din stânga sus în dreapta jos
▨	pătrat umplut cu dungi diagonale din dreapta sus în stânga jos
▩	pătrat umplut cu hașură oblică
▬	dreptunghi umplut
▭	dreptunghi gol
▮	dreptunghi vertical umplut
▰	paralelogram umplut
▲	plină, sus, săgeată, triunghi, triunghi cu vârful în sus, triunghi plin cu vârful în sus
△	triunghi gol cu vârful în sus
▴	triunghi mic umplut cu vârful în sus
▵	triunghi mic gol cu vârful în sus
▷	triunghi gol cu vârful în dreapta
▸	triunghi mic umplut cu vârful în dreapta
▹	triunghi mic gol cu vârful în dreapta
►	săgeată umplută cu vârful în dreapta
▻	săgeată goală cu vârful în dreapta
▼	jos, plin, săgeată, triunghi, triunghi plin cu vârful în jos
▽	triunghi gol cu vârful în jos
▾	triunghi mic umplut cu vârful în jos
▿	triunghi mic gol cu vârful în jos
◁	triunghi gol cu vârful în stânga
◂	triunghi mic umplut cu vârful în stânga
◃	triunghi mic gol cu vârful în stânga
◄	săgeată umplută cu vârful în stânga
◅	săgeată goală cu vârful în stânga
◆	romb umplut
◇	romb gol
◈	romb gol cu un romb umplut înăuntru
◉	cerc gol cu un cerc umplut înăuntru
◊	caro, romb
○	cerc, cerc gol, inel
◌	cerc punctat
◍	cerc umplut cu dungi verticale
◎	cerc dublu, cercuri concentrice, țintă
●	cerc, cerc plin
◐	cerc umplut pe jumătatea stângă
◑	cerc umplut pe jumătatea dreaptă
◒	cerc umplut pe jumătatea inferioară
◓	cerc umplut pe jumătatea superioară
◔	cerc umplut în sfertul din dreapta sus
◕	cerc umplut în toate sferturile mai puțin cel din stânga sus
◖	jumătate de cerc umplut în stânga
◗	jumătate de cerc umplut în dreapta
◘	marcator invers
◙	pătrat umplut cu un cerc gol înăuntru
◜	arc de cerc în sfertul din stânga sus
◝	arc de cerc în sfertul din dreapta sus
◞	arc de cerc în sfertul din dreapta jos
◟	arc de cerc în sfertul din stânga jos
◠	semicerc superior
◡	semicerc inferior
◢	triunghi umplut cu unghi drept în dreapta jos
◣	triunghi umplut cu unghi drept în stânga jos
◤	triunghi umplut cu unghi drept în stânga sus
◥	triunghi umplut cu unghi drept în dreapta sus
◦	marcator gol
◯	cerc, cerc gol mare, inel
◳	pătrat gol cu sfertul din dreapta sus gol
◷	cerc gol cu sfertul din dreapta sus gol
◿	triunghi cu unghi drept în dreapta jos
♪	muzicală, muzică, notă, optime
⨧	plus indice doi
⨯	produs vectorial
⨼	produs interior
⩣	disjuncție logică cu bară dublă
⩽	mai mic sau egal
⪍	mai mic peste aproximativ egal
⪚	inegalitate, mai mare sau egal cu două linii, matematică
⪺	succedă peste nu aproape egal
♭	bemol, muzică, notă
♯	diez, muzică, notă
😀	bucurie, bucuros, dinți, drăguț, față, față zâmbitoare, față încântată, fericire, fericit, râs, râset, vesel, veselie, zâmbet larg, încântare
😃	deschisă, dinți, față, față zâmbitoare cu gura deschisă, față încântată cu ochii mari, fericire, fericit, gură, super, zâmbet, zâmbitor
😄	deschisă, dinți, față, față zâmbitoare cu gura deschisă și ochi zâmbitori, față încântată cu ochi zâmbitori, fericire, fericit, gură, lol, ochi, râde, râs, râset, zâmbet, zâmbitor
😁	dinți, drăguț, față, față radioasă cu ochi zâmbitori, față încântată cu ochi zâmbitori, fericire, fericit, ochi, zâmbet, zâmbitor, încântare
